epoch,rule_variant,error_broadcast_mode,parameter_name,component,numel,cosine_similarity,local_grad_norm,backprop_grad_norm,norm_ratio
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branch_inhibition.pre_w,inhibitory_synapse,47040,-0.2464834159573357,7.844452920835465e-05,0.00011964095756411552,0.6556661710990578
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.branches_to_output.log_weight,dendritic_conductance,180,0.20012199655510013,3.5363824281375855e-05,6.12194708082825e-05,0.5776564749222717
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.b,reactivation,60,-0.11046065888040255,0.0016810433007776737,0.023689772933721542,0.07096071817192508
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1.reactivation.log_m,reactivation,60,0.8133929021442389,0.005431442055851221,0.008062005043029785,0.6737085906282589
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.branches_to_output.log_weight,dendritic_conductance,60,0.9996455711738832,0.0001101606321753934,7.22341937944293e-05,1.5250482474249023
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.b,reactivation,20,1.0000000070176929,0.12679816782474518,0.04755152016878128,2.6665428859480436
6,5f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2.reactivation.log_m,reactivation,20,0.9999999396077193,0.03747248649597168,0.014052833430469036,2.6665431337183674
10,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_excitation.pre_w,excitatory_synapse,141120,0.02909058076631619,0.00210451683960855,0.002776534529402852,0.7579653040739249
10,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.branch_inhibition.pre_w,inhibitory_synapse,141120,-0.3805333737368787,0.0006395064410753548,0.0006510277162306011,0.9823029406424407
10,3f,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0.reactivation.b,reactivation,180,-0.013902119128786783,0.02106490358710289,0.02419048175215721,0.8707930582801896
