seed,reliability_heterogeneity,method,step_size,initial_test_loss,test_loss_after_one_step,one_step_test_loss_decrease,final_train_loss,final_test_loss,final_test_accuracy,mean_final_gain,minimum_input_rate
8208,0,exact_clean_bp,23.92891166,0.3942736183,0.3899987337,0.004274884601,0.3525105729,0.3521482525,0.9990234375,1,0
8208,0,noisy_no_shunt,23.92891166,0.3942736183,0.3897196894,0.004553928927,0.3556030741,0.3552875579,0.9995117188,1,0
8208,0,initial_oracle_shunt,23.92891166,0.3942736183,0.3897196894,0.004553928927,0.3556030741,0.3552875579,0.9995117188,1,0
8208,0,adaptive_local_shunt,23.92891166,0.3942736183,0.3902831473,0.003990471,0.3649142228,0.3649620657,0.9990234375,0.4454524727,0
8208,0,adaptive_global_shunt,23.92891166,0.3942736183,0.3898593228,0.004414295577,0.3640173992,0.3640179162,0.998046875,0.4983081934,0
8208,0,adaptive_shuffled_shunt,23.92891166,0.3942736183,0.3906845354,0.003589082906,0.3672777787,0.3672204354,0.9985351562,0.476809514,0
8208,0,adaptive_point_gate,23.92891166,0.3942736183,0.3902831473,0.003990471,0.3649142228,0.3649620657,0.9990234375,0.4454524727,0
8208,1,exact_clean_bp,23.92891166,0.3942736183,0.3899987337,0.004274884601,0.3525105729,0.3521482525,0.9990234375,1,0
8208,1,noisy_no_shunt,23.92891166,0.3942736183,0.3910433464,0.003230271897,0.3570814523,0.3565210725,0.9990234375,1,0
8208,1,initial_oracle_shunt,23.92891166,0.3942736183,0.3913862962,0.00288732209,0.3631287021,0.3627891639,0.9990234375,0.7598785813,0
8208,1,adaptive_local_shunt,23.92891166,0.3942736183,0.391740504,0.002533114331,0.36564129,0.3651343344,0.9990234375,0.5635406371,0
8208,1,adaptive_global_shunt,23.92891166,0.3942736183,0.3913394072,0.002934211145,0.3685369712,0.368290289,0.998046875,0.2897528555,0
8208,1,adaptive_shuffled_shunt,23.92891166,0.3942736183,0.3911067433,0.003166875003,0.3644010006,0.3649182737,0.9990234375,0.6037319037,0
8208,1,adaptive_point_gate,23.92891166,0.3942736183,0.391740504,0.002533114331,0.36564129,0.3651343344,0.9990234375,0.5635406371,0
8208,2,exact_clean_bp,23.92891166,0.3942736183,0.3899987337,0.004274884601,0.3525105729,0.3521482525,0.9990234375,1,0
8208,2,noisy_no_shunt,23.92891166,0.3942736183,0.3895280383,0.004745580045,0.3548260156,0.3530869654,0.9985351562,1,0
8208,2,initial_oracle_shunt,23.92891166,0.3942736183,0.3908053612,0.003468257115,0.3658812251,0.3656275992,0.9990234375,0.6464538489,0
8208,2,adaptive_local_shunt,23.92891166,0.3942736183,0.3898871446,0.004386473731,0.3632136031,0.3629463357,0.9985351562,0.5549473389,0
8208,2,adaptive_global_shunt,23.92891166,0.3942736183,0.391658751,0.002614867372,0.3777799294,0.3778526444,0.9990234375,0.1363547143,0
8208,2,adaptive_shuffled_shunt,23.92891166,0.3942736183,0.3898435667,0.004430051612,0.3620504775,0.3606526388,0.9931640625,0.6698292896,0
8208,2,adaptive_point_gate,23.92891166,0.3942736183,0.3898871446,0.004386473731,0.3632136031,0.3629463357,0.9985351562,0.5549473389,0
