seed,reliability_heterogeneity,branch,oracle_initial_gain,adaptive_final_gain
8224,1,7,1,0.998823556
8224,2,0,0.03597241992,0.03
8224,2,1,0.1086265323,0.03
8224,2,2,0.3052173297,0.4818690655
8224,2,3,0.7218145097,0.03
8224,2,4,1,0.8433539972
8224,2,5,1,0.7365229628
8224,2,6,1,1
8224,2,7,1,1
8225,0,0,1,0.4977995246
8225,0,1,1,0.5820610866
8225,0,2,1,0.8115174685
8225,0,3,1,1
8225,0,4,1,0.8559308162
8225,0,5,1,0.2727069587
8225,0,6,1,0.1889153085
8225,0,7,1,0.2002237311
8225,1,0,0.238405844,0.03
8225,1,1,0.3866427396,0.3383679566
8225,1,2,0.5958732602,0.1006387473
8225,1,3,0.8581068062,0.5388246828
8225,1,4,1,0.4988155398
8225,1,5,1,0.8318805974
8225,1,6,1,1
8225,1,7,1,0.4889408489
8225,2,0,0.03597241992,0.428456689
8225,2,1,0.1086265323,0.03
8225,2,2,0.3052173297,0.4594247893
8225,2,3,0.7218145097,0.3841983878
8225,2,4,1,0.5342668712
8225,2,5,1,0.4894150882
8225,2,6,1,1
8225,2,7,1,1
8226,0,0,1,0.7157838027
8226,0,1,1,0.6588645521
8226,0,2,1,0.5366700353
8226,0,3,1,0.7875874631
8226,0,4,1,0.7434515129
8226,0,5,1,0.2058929108
8226,0,6,1,0.5027728474
8226,0,7,1,0.8249419565
8226,1,0,0.238405844,0.03
8226,1,1,0.3866427396,0.2153352568
8226,1,2,0.5958732602,0.2215229768
8226,1,3,0.8581068062,0.4765430164
8226,1,4,1,0.03
8226,1,5,1,0.9318038999
8226,1,6,1,0.8768106561
8226,1,7,1,1
8226,2,0,0.03597241992,0.3896807775
8226,2,1,0.1086265323,0.03
8226,2,2,0.3052173297,0.759524728
8226,2,3,0.7218145097,0.7118330131
8226,2,4,1,0.5480786346
8226,2,5,1,0.6505142614
8226,2,6,1,1
8226,2,7,1,1
8227,0,0,1,0.7974860695
8227,0,1,1,0.4752507896
8227,0,2,1,0.461549077
8227,0,3,1,0.03
8227,0,4,1,0.1438527808
8227,0,5,1,0.898985679
8227,0,6,1,0.9608837484
8227,0,7,1,0.6402004791
8227,1,0,0.238405844,0.08313235377
8227,1,1,0.3866427396,0.270874187
8227,1,2,0.5958732602,0.2307970517
8227,1,3,0.8581068062,0.03
8227,1,4,1,0.5995247856
8227,1,5,1,0.5017424306
8227,1,6,1,0.4820510313
8227,1,7,1,0.4682917306
8227,2,0,0.03597241992,0.03
8227,2,1,0.1086265323,0.1272209736
8227,2,2,0.3052173297,0.03
8227,2,3,0.7218145097,0.3772283595
8227,2,4,1,0.7402403237
8227,2,5,1,1
8227,2,6,1,1
8227,2,7,1,1
8228,0,0,1,0.0520989141
8228,0,1,1,1
8228,0,2,1,0.03200382879
8228,0,3,1,1
8228,0,4,1,0.8234448129
8228,0,5,1,0.2154233888
8228,0,6,1,0.06777171148
8228,0,7,1,0.4177454894
8228,1,0,0.238405844,0.5964936963
8228,1,1,0.3866427396,0.6457446343
8228,1,2,0.5958732602,0.1362114767
8228,1,3,0.8581068062,0.2059250387
8228,1,4,1,0.5739184091
8228,1,5,1,0.5515681607
8228,1,6,1,1
8228,1,7,1,1
8228,2,0,0.03597241992,0.03
8228,2,1,0.1086265323,0.6361083356
8228,2,2,0.3052173297,0.6665741053
8228,2,3,0.7218145097,0.2598436388
8228,2,4,1,1
8228,2,5,1,1
8228,2,6,1,1
8228,2,7,1,1
8229,0,0,1,0.05046577435
8229,0,1,1,0.4133645084
8229,0,2,1,0.03
8229,0,3,1,0.7702847513
8229,0,4,1,0.8861689487
8229,0,5,1,0.8761854819
8229,0,6,1,0.1648521738
8229,0,7,1,0.3481152928
8229,1,0,0.238405844,0.03
8229,1,1,0.3866427396,0.1418169
8229,1,2,0.5958732602,0.06285490531
8229,1,3,0.8581068062,0.1726749399
8229,1,4,1,0.7995540676
8229,1,5,1,0.5424801295
8229,1,6,1,0.6167891731
8229,1,7,1,1
8229,2,0,0.03597241992,0.04650279874
8229,2,1,0.1086265323,0.1961963544
8229,2,2,0.3052173297,0.03
8229,2,3,0.7218145097,0.4313448853
8229,2,4,1,0.4941272944
8229,2,5,1,1
8229,2,6,1,1
8229,2,7,1,1
8230,0,0,1,0.03
8230,0,1,1,0.3648278284
8230,0,2,1,0.5759008492
8230,0,3,1,0.5032969874
8230,0,4,1,0.82903561
8230,0,5,1,0.2768397563
8230,0,6,1,0.7321033473
8230,0,7,1,0.7460566621
8230,1,0,0.238405844,0.03
8230,1,1,0.3866427396,0.1966156042
8230,1,2,0.5958732602,0.3400474273
8230,1,3,0.8581068062,0.7355704153
8230,1,4,1,0.722357784
8230,1,5,1,0.9208178713
8230,1,6,1,0.877986671
8230,1,7,1,1
8230,2,0,0.03597241992,0.03
8230,2,1,0.1086265323,0.1432539916
8230,2,2,0.3052173297,0.03
8230,2,3,0.7218145097,0.04031662447
8230,2,4,1,0.7736016651
8230,2,5,1,1
8230,2,6,1,1
8230,2,7,1,1
8231,0,0,1,0.1147100045
8231,0,1,1,0.3601263314
8231,0,2,1,0.7139353294
8231,0,3,1,0.921846247
8231,0,4,1,0.03
8231,0,5,1,0.3747985299
8231,0,6,1,0.4578863023
8231,0,7,1,0.420356871
8231,1,0,0.238405844,0.2314614736
8231,1,1,0.3866427396,0.03
8231,1,2,0.5958732602,0.4120407069
8231,1,3,0.8581068062,0.3968839747
8231,1,4,1,0.6667021658
8231,1,5,1,0.9264457667
8231,1,6,1,1
8231,1,7,1,0.9237394187
8231,2,0,0.03597241992,0.03
8231,2,1,0.1086265323,0.1013142203
8231,2,2,0.3052173297,0.03
8231,2,3,0.7218145097,0.2200458686
8231,2,4,1,0.2220042969
8231,2,5,1,1
8231,2,6,1,1
8231,2,7,1,1
8232,0,0,1,0.6925574281
8232,0,1,1,0.5005764844
8232,0,2,1,0.1871956891
8232,0,3,1,0.03
8232,0,4,1,0.7676704115
8232,0,5,1,0.03
8232,0,6,1,0.8591325613
8232,0,7,1,0.4520868809
8232,1,0,0.238405844,0.03
8232,1,1,0.3866427396,0.4932380466
8232,1,2,0.5958732602,0.6156645903
8232,1,3,0.8581068062,1
8232,1,4,1,0.3397843311
8232,1,5,1,0.6323419614
8232,1,6,1,0.8494777167
8232,1,7,1,1
8232,2,0,0.03597241992,0.2105095229
8232,2,1,0.1086265323,0.520518248
8232,2,2,0.3052173297,0.03
8232,2,3,0.7218145097,0.06182410471
8232,2,4,1,0.8528920114
8232,2,5,1,0.5832919563
8232,2,6,1,1
8232,2,7,1,1
8233,0,0,1,0.718279549
8233,0,1,1,0.2369795019
8233,0,2,1,0.8786047588
8233,0,3,1,0.4041700497
8233,0,4,1,0.4910787685
8233,0,5,1,0.4242253288
8233,0,6,1,0.05680006416
8233,0,7,1,0.728239937
8233,1,0,0.238405844,0.03
8233,1,1,0.3866427396,0.5085162547
8233,1,2,0.5958732602,0.03
8233,1,3,0.8581068062,0.4858309233
8233,1,4,1,0.4410794164
8233,1,5,1,0.6599039642
8233,1,6,1,0.7028813852
8233,1,7,1,0.6359433585
8233,2,0,0.03597241992,0.1578030534
8233,2,1,0.1086265323,0.1846914429
8233,2,2,0.3052173297,0.03
8233,2,3,0.7218145097,0.4041778866
8233,2,4,1,0.8980088867
8233,2,5,1,0.2523574204
8233,2,6,1,1
8233,2,7,1,1
8234,0,0,1,0.6210249571
8234,0,1,1,1
8234,0,2,1,0.6044760159
8234,0,3,1,0.5399338254
8234,0,4,1,0.8657113702
8234,0,5,1,0.05937455657
8234,0,6,1,0.701121091
8234,0,7,1,0.5421098933
8234,1,0,0.238405844,0.09294205425
8234,1,1,0.3866427396,0.805180225
8234,1,2,0.5958732602,0.2760302309
8234,1,3,0.8581068062,0.2295276282
8234,1,4,1,0.369525523
8234,1,5,1,0.1927762496
8234,1,6,1,1
8234,1,7,1,1
8234,2,0,0.03597241992,0.03
8234,2,1,0.1086265323,0.03
8234,2,2,0.3052173297,0.5656743365
8234,2,3,0.7218145097,0.03
8234,2,4,1,0.576474441
8234,2,5,1,0.5786920192
8234,2,6,1,1
8234,2,7,1,1
8235,0,0,1,0.118074744
8235,0,1,1,0.8254717382
8235,0,2,1,0.2800178396
8235,0,3,1,0.03
8235,0,4,1,0.4459410362
8235,0,5,1,0.3735942753
8235,0,6,1,0.2188921566
8235,0,7,1,0.617242891
8235,1,0,0.238405844,0.6124558168
