task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,regime,checkpoint,test_loss,population_loss
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,comb_contiguous_k4,comb_contiguous,comb,4,0.6,0.5,1.0,64,64,32,fixed_cache,256,0.28203817940128606,0.29031777501903566
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,comb_contiguous_k8,comb_contiguous,comb,8,1.1,1.0,1.0,64,64,64,fixed_cache,256,0.2869391546018714,0.2952582293581682
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,fresh_iid,16,0.6346959588229373,0.6436003238082044
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,fresh_iid,16,0.49592470428537394,0.5041939763203379
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,fresh_iid,16,0.42946012317764815,0.43669102216803457
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,fresh_iid,16,0.3379002037267087,0.34673654573613794
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_interleaved_k1,balanced_interleaved,balanced,1,0.19088469787505546,0.125,0.6588469787505544,64,64,8,fresh_iid,16,0.6193646777090379,0.6287584632881364
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.31588469787505546,0.25,0.6588469787505544,64,64,16,fresh_iid,16,0.5274233790761005,0.5362729041036438
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,fresh_iid,16,0.3478883929141129,0.3583360874614875
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_interleaved_k8,balanced_interleaved,balanced,8,1.0658846978750554,1.0,0.6588469787505544,64,64,64,fresh_iid,16,0.3006632568826989,0.3100790209213147
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_permutation_a_k1,balanced_permutation_a,balanced,1,0.18899250811836066,0.125,0.6399250811836067,64,64,8,fresh_iid,16,0.6130537640430744,0.6226552197267401
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_permutation_a_k2,balanced_permutation_a,balanced,2,0.31399250811836066,0.25,0.6399250811836067,64,64,16,fresh_iid,16,0.4981672580232959,0.5092714038763406
s9303_r2_n750_a375,confirmatory,9303,2,0.75,0.375,joint_forward_feedback,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,fresh_iid,16,0.3652243796581214,0.37492523131042643
