seed,phase,optimizer,rate_scope,rule,contrast,value
1110,fresh,sgd,selected,unit_broadcast,control_gap,-0.00027325606352610597
1111,fresh,sgd,selected,unit_broadcast,control_gap,-0.0005482310674521302
1112,fresh,sgd,selected,unit_broadcast,control_gap,-0.00031133991368857694
1113,fresh,sgd,selected,unit_broadcast,control_gap,-0.00085352219376
1114,fresh,sgd,selected,unit_broadcast,control_gap,-0.00015324640463245341
1115,fresh,sgd,selected,unit_broadcast,control_gap,-0.00047600646201787866
1116,fresh,sgd,selected,unit_broadcast,control_gap,-0.0012489869658043186
1117,fresh,sgd,selected,unit_broadcast,control_gap,-0.0001948131505820524
1118,fresh,sgd,selected,unit_broadcast,control_gap,-0.0005699818563416377
1119,fresh,sgd,selected,unit_broadcast,control_gap,-0.0013186588897242633
1120,fresh,sgd,selected,unit_broadcast,control_gap,-0.0004414130812466883
1101,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.002222667177216
1102,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.000568051368481403
1103,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0015159335862719365
1104,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0012946192577359245
1105,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0014096799121707303
1106,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0017020478259242152
1107,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0022451016894257003
1108,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.000430542917281487
1109,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0004880314019079161
1110,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0007868672330539059
1111,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0008498222072556303
1112,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0008649102699131769
1113,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0021280430423151
1114,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0008148066732649395
1115,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0008609966332117787
1116,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0011728670910725186
1117,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0005523352885592525
1118,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0013134809420170376
1119,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.003678730716242363
1120,fresh,sgd,selected,unit_broadcast,task_difference_in_gap,0.0011835359009642883
1101,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00037669267745169997
1102,fresh,sgd,selected,calibrated_broadcast,target_gap,6.179914182580107e-05
1103,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00035091989910039997
1104,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00012117566924999999
1105,fresh,sgd,selected,calibrated_broadcast,target_gap,0.0002348413018492
1106,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00037528430022190005
1107,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00027529386675320005
1108,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00022233966583269998
1109,fresh,sgd,selected,calibrated_broadcast,target_gap,3.05593109426e-05
1110,fresh,sgd,selected,calibrated_broadcast,target_gap,8.170525146779998e-05
1111,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00010984124057640001
1112,fresh,sgd,selected,calibrated_broadcast,target_gap,-8.589836496000162e-07
1113,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00022307407812760006
1114,fresh,sgd,selected,calibrated_broadcast,target_gap,8.56451728826861e-05
1115,fresh,sgd,selected,calibrated_broadcast,target_gap,6.005186908679999e-05
1116,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00039749339280349997
1117,fresh,sgd,selected,calibrated_broadcast,target_gap,5.643120856300011e-06
1118,fresh,sgd,selected,calibrated_broadcast,target_gap,0.00034852291326530006
1119,fresh,sgd,selected,calibrated_broadcast,target_gap,0.0006971915678474001
1120,fresh,sgd,selected,calibrated_broadcast,target_gap,7.886042016400001e-05
1101,fresh,sgd,selected,calibrated_broadcast,control_gap,9.310122712249995e-05
