seed,branches,epoch,state_comparison,interpolated_zero_alignment,no_observed_positive_to_negative_crossing
11012,4,250,common_exact_state,0.272879108711,False
11012,4,250,own_state,0.654104870063,False
11012,8,0,common_exact_state,0.570346397372,False
11012,8,0,own_state,0.570346397372,False
11012,8,1,common_exact_state,0.56864562412,False
11012,8,1,own_state,0.570332477148,False
11012,8,10,common_exact_state,0.553343869583,False
11012,8,10,own_state,0.57021013134,False
11012,8,50,common_exact_state,0.489739311829,False
11012,8,50,own_state,0.569687929242,False
11012,8,100,common_exact_state,0.426527465101,False
11012,8,100,own_state,0.568968953439,False
11012,8,250,common_exact_state,0.30971292375,False
11012,8,250,own_state,0.565909494792,False
11013,2,0,common_exact_state,,True
11013,2,0,own_state,,True
11013,2,1,common_exact_state,,True
11013,2,1,own_state,,True
11013,2,10,common_exact_state,0.895222319283,False
11013,2,10,own_state,,True
11013,2,50,common_exact_state,0.595830325098,False
11013,2,50,own_state,,True
11013,2,100,common_exact_state,0.457110350717,False
11013,2,100,own_state,,True
11013,2,250,common_exact_state,0.409391556393,False
11013,2,250,own_state,,True
11013,4,0,common_exact_state,0.673138000306,False
11013,4,0,own_state,0.673138000306,False
11013,4,1,common_exact_state,0.668619854779,False
11013,4,1,own_state,0.672971638947,False
11013,4,10,common_exact_state,0.631274044355,False
11013,4,10,own_state,0.671629880466,False
11013,4,50,common_exact_state,0.501035868115,False
11013,4,50,own_state,0.668015713358,False
11013,4,100,common_exact_state,0.39997699277,False
11013,4,100,own_state,0.665860222133,False
11013,4,250,common_exact_state,0.275856673367,False
11013,4,250,own_state,0.662210648661,False
11013,8,0,common_exact_state,0.57817946823,False
11013,8,0,own_state,0.57817946823,False
11013,8,1,common_exact_state,0.576318173057,False
11013,8,1,own_state,0.578157342775,False
11013,8,10,common_exact_state,0.559926522142,False
11013,8,10,own_state,0.577959557946,False
11013,8,50,common_exact_state,0.49340865844,False
11013,8,50,own_state,0.577106835642,False
11013,8,100,common_exact_state,0.427869649388,False
11013,8,100,own_state,0.576091806455,False
11013,8,250,common_exact_state,0.309490164552,False
11013,8,250,own_state,0.573299793947,False
11014,2,0,common_exact_state,0.990450581988,False
11014,2,0,own_state,0.990450581988,False
11014,2,1,common_exact_state,0.978071719642,False
11014,2,1,own_state,0.990298437204,False
11014,2,10,common_exact_state,0.872277707295,False
11014,2,10,own_state,0.988972096901,False
11014,2,50,common_exact_state,0.583833631588,False
11014,2,50,own_state,0.984154897269,False
11014,2,100,common_exact_state,0.442044256571,False
11014,2,100,own_state,0.980770574663,False
11014,2,250,common_exact_state,0.394752483792,False
11014,2,250,own_state,0.981069042915,False
11014,4,0,common_exact_state,0.672325881445,False
11014,4,0,own_state,0.672325881445,False
11014,4,1,common_exact_state,0.668083047205,False
11014,4,1,own_state,0.672239973901,False
11014,4,10,common_exact_state,0.629803874589,False
11014,4,10,own_state,0.671504563542,False
11014,4,50,common_exact_state,0.502569298498,False
11014,4,50,own_state,0.668909770883,False
11014,4,100,common_exact_state,0.399620055109,False
11014,4,100,own_state,0.666777213323,False
11014,4,250,common_exact_state,0.282198971144,False
11014,4,250,own_state,0.658123661792,False
11014,8,0,common_exact_state,0.571381944395,False
11014,8,0,own_state,0.571381944395,False
11014,8,1,common_exact_state,0.56969946085,False
11014,8,1,own_state,0.571368095238,False
11014,8,10,common_exact_state,0.554553585924,False
11014,8,10,own_state,0.57124505754,False
11014,8,50,common_exact_state,0.491472081956,False
11014,8,50,own_state,0.570693533203,False
11014,8,100,common_exact_state,0.429075987434,False
11014,8,100,own_state,0.569887256875,False
11014,8,250,common_exact_state,0.313233064793,False
11014,8,250,own_state,0.566335190753,False
11015,2,0,common_exact_state,0.994135229288,False
11015,2,0,own_state,0.994135229288,False
11015,2,1,common_exact_state,0.982621043984,False
11015,2,1,own_state,0.993861165747,False
11015,2,10,common_exact_state,0.882618386208,False
11015,2,10,own_state,0.9918016811,False
11015,2,50,common_exact_state,0.590983135384,False
11015,2,50,own_state,0.985662612563,False
11015,2,100,common_exact_state,0.454542065552,False
11015,2,100,own_state,0.980114086097,False
11015,2,250,common_exact_state,0.426039875751,False
11015,2,250,own_state,0.986968605852,False
11015,4,0,common_exact_state,0.675315773753,False
11015,4,0,own_state,0.675315773753,False
11015,4,1,common_exact_state,0.671022096222,False
11015,4,1,own_state,0.675227381364,False
11015,4,10,common_exact_state,0.633753747619,False
11015,4,10,own_state,0.674476280885,False
11015,4,50,common_exact_state,0.502183234125,False
11015,4,50,own_state,0.671910155982,False
11015,4,100,common_exact_state,0.398167112866,False
11015,4,100,own_state,0.669863716163,False
11015,4,250,common_exact_state,0.267285143107,False
11015,4,250,own_state,0.667035170913,False
11015,8,0,common_exact_state,0.573156128372,False
11015,8,0,own_state,0.573156128372,False
11015,8,1,common_exact_state,0.571440022028,False
11015,8,1,own_state,0.573148294741,False
11015,8,10,common_exact_state,0.555587676585,False
11015,8,10,own_state,0.573082973068,False
11015,8,50,common_exact_state,0.491732369632,False
11015,8,50,own_state,0.572878096833,False
11015,8,100,common_exact_state,0.429036281617,False
11015,8,100,own_state,0.572735758255,False
11015,8,250,common_exact_state,0.315468615072,False
11015,8,250,own_state,0.572524441423,False
