family,calibration_rows,calibration_noise_sd,policy,seed_count,mean_test_nmse,mean_regret,regret_ci_low,regret_ci_high
nested_prefix,64,0.0,oracle_best_trained_menu,20,0.3480536413006393,0.0,0.0,0.0
nested_prefix,64,0.0,oracle_full_target_cut,20,0.3596791828288676,0.011625541528228358,0.0002174304135686811,0.030098951412585638
nested_prefix,64,0.0,two_sweep_pilot,20,0.5657361987738904,0.21768255747325105,0.1452024859306564,0.29530210054040784
nested_prefix,64,0.0,uniform_random_expectation,20,0.5702378068100196,0.22218416550938014,0.18099317559591502,0.26079594334337314
nested_prefix,64,0.5,development_best_fixed,20,0.5426056331147154,0.19455199181407606,0.13420718659233546,0.2566846745514953
nested_prefix,64,0.5,estimated_cut,20,0.39901235096304993,0.05095870966241067,0.01573989247765158,0.09441167808136379
nested_prefix,64,0.5,fixed_balanced,20,0.5426056331147154,0.19455199181407606,0.13420718659233546,0.2566846745514953
nested_prefix,64,0.5,fixed_comb,20,0.5855960941680121,0.2375424528673728,0.18490293450842413,0.2857537669545004
nested_prefix,64,0.5,fixed_mixed,20,0.5996267585840368,0.2515731172833976,0.18214745740876867,0.3266765698590616
nested_prefix,64,0.5,observed_rank_only,20,0.5426056331147154,0.19455199181407606,0.13420718659233546,0.2566846745514953
nested_prefix,64,0.5,oracle_best_trained_menu,20,0.3480536413006393,0.0,0.0,0.0
nested_prefix,64,0.5,oracle_full_target_cut,20,0.3596791828288676,0.011625541528228358,0.0002174304135686811,0.030098951412585638
nested_prefix,64,0.5,two_sweep_pilot,20,0.5796004597957085,0.23154681849506908,0.17051643790093177,0.29089986452945044
nested_prefix,64,0.5,uniform_random_expectation,20,0.5702378068100196,0.22218416550938014,0.18099317559591502,0.26079594334337314
nested_prefix,256,0.0,development_best_fixed,20,0.5426056331147154,0.19455199181407606,0.13420718659233546,0.2566846745514953
nested_prefix,256,0.0,estimated_cut,20,0.3596791828288676,0.011625541528228358,0.0002174304135686811,0.030098951412585638
nested_prefix,256,0.0,fixed_balanced,20,0.5426056331147154,0.19455199181407606,0.13420718659233546,0.2566846745514953
nested_prefix,256,0.0,fixed_comb,20,0.5855960941680121,0.2375424528673728,0.18490293450842413,0.2857537669545004
nested_prefix,256,0.0,fixed_mixed,20,0.5996267585840368,0.2515731172833976,0.18214745740876867,0.3266765698590616
nested_prefix,256,0.0,observed_rank_only,20,0.5426056331147154,0.19455199181407606,0.13420718659233546,0.2566846745514953
nested_prefix,256,0.0,oracle_best_trained_menu,20,0.3480536413006393,0.0,0.0,0.0
nested_prefix,256,0.0,oracle_full_target_cut,20,0.3596791828288676,0.011625541528228358,0.0002174304135686811,0.030098951412585638
