family,calibration_rows,calibration_noise_sd,policy,mean_test_nmse,ci95_low,ci95_high,n_seeds
nested_prefix,1024,0.5,development_best_fixed,0.5426056331147154,0.4805237163786227,0.601935821566554,20
nested_prefix,1024,0.5,estimated_cut,0.37722477491508466,0.31795049104122686,0.4409906354700665,20
nested_prefix,1024,0.5,fixed_balanced,0.5426056331147154,0.4805237163786227,0.601935821566554,20
nested_prefix,1024,0.5,fixed_comb,0.5855960941680121,0.5410512836975077,0.6278255373333107,20
nested_prefix,1024,0.5,fixed_mixed,0.5996267585840368,0.5394657185795171,0.663519849638533,20
nested_prefix,1024,0.5,observed_rank_only,0.5426056331147154,0.4805237163786227,0.601935821566554,20
nested_prefix,1024,0.5,oracle_best_trained_menu,0.3480536413006393,0.30000332797440804,0.39893229922737883,20
nested_prefix,1024,0.5,oracle_full_target_cut,0.3596791828288676,0.30406039847739846,0.4199210998201476,20
nested_prefix,1024,0.5,two_sweep_pilot,0.46516032875433055,0.41272617533637296,0.5198757605504859,20
nested_prefix,1024,0.5,uniform_random_expectation,0.5702378068100195,0.5352173040320896,0.605071130004622,20
quartet,64,0.0,development_best_fixed,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,64,0.0,estimated_cut,0.3247944016272378,0.24758822580131254,0.4015492974753705,20
quartet,64,0.0,fixed_balanced,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,64,0.0,fixed_comb,0.42869228947134974,0.3506403688596221,0.5142420326524355,20
quartet,64,0.0,fixed_mixed,0.3650993841701226,0.30450685374848635,0.43003302560687495,20
quartet,64,0.0,observed_rank_only,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,64,0.0,oracle_best_trained_menu,0.28978920052124535,0.22825945720933483,0.3469853687755196,20
quartet,64,0.0,oracle_full_target_cut,0.3247944016272378,0.24758822580131254,0.4015492974753705,20
quartet,64,0.0,two_sweep_pilot,0.33540269349093965,0.2684169843057555,0.4019364210685092,20
quartet,64,0.0,uniform_random_expectation,0.3870836635053097,0.3480651716792873,0.42375691673345106,20
quartet,64,0.5,development_best_fixed,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,64,0.5,estimated_cut,0.3024366498171335,0.2350697771838917,0.3677199255392144,20
quartet,64,0.5,fixed_balanced,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,64,0.5,fixed_comb,0.42869228947134974,0.3506403688596221,0.5142420326524355,20
quartet,64,0.5,fixed_mixed,0.3650993841701226,0.30450685374848635,0.43003302560687495,20
quartet,64,0.5,observed_rank_only,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,64,0.5,oracle_best_trained_menu,0.28978920052124535,0.22825945720933483,0.3469853687755196,20
quartet,64,0.5,oracle_full_target_cut,0.3247944016272378,0.24758822580131254,0.4015492974753705,20
quartet,64,0.5,two_sweep_pilot,0.40218377208491807,0.31446480962883777,0.49272775948045183,20
quartet,64,0.5,uniform_random_expectation,0.3870836635053097,0.3480651716792873,0.42375691673345106,20
quartet,256,0.0,development_best_fixed,0.3539371822189416,0.28011645512791394,0.4287335369332755,20
quartet,256,0.0,estimated_cut,0.3247944016272378,0.24758822580131254,0.4015492974753705,20
