root_id,alignment,method,credit_capture,one_step_progress,iterative_progress
864691135277186789,0.6,ancestry-shuffled paths,0.11699439886194381,0.29887165629467405,0.11033631256254599
864691135324623260,0.6,ancestry-shuffled paths,0.24126410853430702,0.4488592789423175,0.2375273456289555
864691135409937097,0.6,ancestry-shuffled paths,0.14795831746955618,0.33550116174991496,0.1400091799801188
864691135739661169,0.6,ancestry-shuffled paths,0.2728158116744128,0.48325761878344065,0.26143025571536854
864691135810666525,0.6,ancestry-shuffled paths,0.08407828960712993,0.24027417647296137,0.08053810945791764
864691136043380566,0.6,ancestry-shuffled paths,0.15635750417476196,0.34866628535337885,0.1544063874644189
864691135060651419,0.6,depth bins,0.09496679793544262,0.26072146305419364,0.0859710203252664
864691135196576298,0.6,depth bins,0.38821606261873215,0.5931753615951747,0.3727082012106233
864691135277186789,0.6,depth bins,0.14983474451277032,0.3455976692752315,0.1368723624686105
864691135324623260,0.6,depth bins,0.28073200336820214,0.49585254955899377,0.2609792663573346
864691135409937097,0.6,depth bins,0.15274289426394494,0.3457534289182405,0.14236414731721123
864691135739661169,0.6,depth bins,0.2886455785489025,0.5027938682453185,0.2695883778693301
864691135810666525,0.6,depth bins,0.12002471068110007,0.29990907082597235,0.11018375640211056
864691136043380566,0.6,depth bins,0.20177540783260278,0.4091993735822018,0.18587805719091405
864691135060651419,0.6,morphology-selected paths,0.5999999999999999,0.7641730819815511,0.5806474258502943
864691135196576298,0.6,morphology-selected paths,0.5999999999999999,0.7633904807893871,0.590004808181747
864691135277186789,0.6,morphology-selected paths,0.5999999999999999,0.7637190489549137,0.5593953648177027
864691135324623260,0.6,morphology-selected paths,0.5999999999999999,0.7639071886577665,0.5899071490769319
864691135409937097,0.6,morphology-selected paths,0.5999999999999999,0.7635026616423392,0.5753920012681641
864691135739661169,0.6,morphology-selected paths,0.5999999999999999,0.7637180803410941,0.5830805796052565
864691135810666525,0.6,morphology-selected paths,0.5999999999999999,0.764028206952619,0.5745972466265061
864691136043380566,0.6,morphology-selected paths,0.6000000000000001,0.7638700535708978,0.583631673607135
864691135060651419,0.6,random paths,0.10556281761800299,0.2684037931238802,0.1044623492448683
864691135196576298,0.6,random paths,0.43054518407033004,0.6274233451216886,0.4181508804045901
864691135277186789,0.6,random paths,0.1605461540324784,0.3489568947447185,0.15600768695139494
864691135324623260,0.6,random paths,0.26350870246458086,0.4709405128285466,0.2533048520127877
864691135409937097,0.6,random paths,0.17968252006707552,0.3707086027235505,0.16798025990386622
864691135739661169,0.6,random paths,0.32940884657871305,0.537813768724717,0.31928620222392945
864691135810666525,0.6,random paths,0.1322328471480958,0.3030376595207751,0.1294274835568579
864691136043380566,0.6,random paths,0.2201059358455856,0.4222535327661755,0.21239479922846388
864691135060651419,0.8,ancestry-shuffled paths,0.07310025933618716,0.2113254976313399,0.06937745045510615
864691135196576298,0.8,ancestry-shuffled paths,0.37235882171751,0.5715167238921285,0.3696482008508901
864691135277186789,0.8,ancestry-shuffled paths,0.1299178131157439,0.316141839720496,0.12272090928485986
864691135324623260,0.8,ancestry-shuffled paths,0.2516665316668547,0.45077335087089365,0.2472446443998996
864691135409937097,0.8,ancestry-shuffled paths,0.16299933559145455,0.34826856803993855,0.15480712227893217
864691135739661169,0.8,ancestry-shuffled paths,0.28744108589822553,0.49207165404241265,0.27550238343989225
864691135810666525,0.8,ancestry-shuffled paths,0.08944617962471806,0.24339911461769637,0.08549556562296526
864691136043380566,0.8,ancestry-shuffled paths,0.16238944372069447,0.3475769777578191,0.15936460601810093
864691135060651419,0.8,depth bins,0.1071337543184431,0.2767964670199138,0.09710986800683048
864691135196576298,0.8,depth bins,0.3948741630188136,0.5966507206238763,0.37991784874840656
864691135277186789,0.8,depth bins,0.17518808869139674,0.37679321413712386,0.16032857534657946
864691135324623260,0.8,depth bins,0.30539343427791243,0.5197693225085392,0.2855845542979367
864691135409937097,0.8,depth bins,0.16870046773828729,0.3612794669752625,0.15797951277618402
864691135739661169,0.8,depth bins,0.3102745812523505,0.5226138766919732,0.29110271061565396
864691135810666525,0.8,depth bins,0.13903843883061065,0.323529882609677,0.1279086046773352
864691136043380566,0.8,depth bins,0.22633559534519215,0.4342916004805838,0.20940669028758335
864691135060651419,0.8,morphology-selected paths,0.8000000000000004,0.8895654197961866,0.7722003045270609
864691135196576298,0.8,morphology-selected paths,0.8,0.8891407311178318,0.7895185273468323
864691135277186789,0.8,morphology-selected paths,0.7999999999999999,0.8893183265065326,0.7462528505307607
864691135324623260,0.8,morphology-selected paths,0.8,0.8894216626061627,0.7870284701797975
864691135409937097,0.8,morphology-selected paths,0.7999999999999999,0.889208133048547,0.7701950475042592
864691135739661169,0.8,morphology-selected paths,0.8000000000000004,0.8893225875245194,0.7776931961328744
864691135810666525,0.8,morphology-selected paths,0.8000000000000002,0.8894877449618266,0.7653293539029631
864691136043380566,0.8,morphology-selected paths,0.8000000000000004,0.8894014121167115,0.778691967939195
864691135060651419,0.8,random paths,0.12143285766690541,0.2817128056643291,0.12085093217324043
864691135196576298,0.8,random paths,0.47920784792111676,0.6621829787645684,0.4657023395828347
