seed,reliability_heterogeneity,branch,signal_energy,noise_energy,signal_to_noise,optimal_reliability_gain,coefficient_noise_sd
7104,0,4,3.924963712e-05,3.924963712e-05,1,0.5,1.273831439
7104,0,5,2.155965883e-05,2.155965883e-05,1,0.5,0.9450142856
7104,0,6,2.965971965e-05,2.965971965e-05,1,0.5,1.103804861
7104,0,7,2.699931435e-05,2.699931435e-05,1,0.5,1.056044293
7104,0.5,0,2.132619113e-05,5.797059781e-05,0.3678794412,0.2689414214,1.547287248
7104,0.5,1,2.728770598e-05,5.574133568e-05,0.4895416596,0.3286525465,1.522918446
7104,0.5,2,2.912616791e-05,4.471050296e-05,0.6514390575,0.3944675128,1.349815415
7104,0.5,3,2.813691301e-05,3.245775792e-05,0.8668778998,0.4643463292,1.161033757
7104,0.5,4,3.924963712e-05,3.402464299e-05,1.153564995,0.5356536708,1.186017041
7104,0.5,5,2.155965883e-05,1.404480383e-05,1.535063009,0.6055324872,0.7627378011
7104,0.5,6,2.965971965e-05,1.451966838e-05,2.04272707,0.6713474535,0.7723019478
7104,0.5,7,2.699931435e-05,9.932492674e-06,2.718281828,0.7310585786,0.6405232416
7104,1,0,2.132619113e-05,0.0001575804226,0.1353352832,0.119202922,2.551045398
7104,1,1,2.728770598e-05,0.0001138643353,0.2396510364,0.1933213698,2.176616009
7104,1,2,2.912616791e-05,6.863343922e-05,0.4243728457,0.2979366301,1.67238971
7104,1,3,2.813691301e-05,3.744213334e-05,0.7514772931,0.4290534031,1.246998358
7104,1,4,3.924963712e-05,2.949521105e-05,1.330712197,0.5709465969,1.104256323
7104,1,5,2.155965883e-05,9.149333769e-06,2.356418442,0.7020633699,0.6156192155
7104,1,6,2.965971965e-05,7.107982555e-06,4.172733884,0.8066786302,0.5403584634
7104,1,7,2.699931435e-05,3.653959854e-06,7.389056099,0.880797078,0.3884969843
7104,1.5,0,2.132619113e-05,0.0004283479993,0.04978706837,0.04742587318,4.20596281
7104,1.5,1,2.728770598e-05,0.0002325937601,0.1173191661,0.105000585,3.110906736
7104,1.5,2,2.912616791e-05,0.0001053566537,0.2764530466,0.2165790958,2.072051712
7104,1.5,3,2.813691301e-05,4.319193436e-05,0.6514390575,0.3944675128,1.3393279
7104,1.5,4,3.924963712e-05,2.556874661e-05,1.535063009,0.6055324872,1.028131961
7104,1.5,5,2.155965883e-05,5.960233368e-06,3.617250785,0.7834209042,0.4968771943
7104,1.5,6,2.965971965e-05,3.479653576e-06,8.523756461,0.894999415,0.3780739772
7104,1.5,7,2.699931435e-05,1.344216709e-06,20.08553692,0.9525741268,0.2356353322
7104,2,0,2.132619113e-05,0.001164370583,0.01831563889,0.03,6.934460349
