model,task,optimizer,rule,step,gradient_cosine,optimizer_update_cosine,path_uniform_oracle_capture,path_calibrated_oracle_capture,path_sign_oracle_capture,path_best_rank_one_capture,path_effective_rank,path_full_rank_capture,path_delivered_relative_squared_error,path_delivered_cosine,path_energy,credit_uniform_oracle_capture,credit_calibrated_oracle_capture,credit_sign_oracle_capture,credit_best_rank_one_capture,credit_effective_rank,credit_full_rank_capture,credit_delivered_relative_squared_error,credit_delivered_cosine,credit_energy
conductance,0,sgd,calibrated_broadcast,1024,0.9261895127861532,0.9261895127861532,0.7201403989500532,0.9172458739956116,0.7201403989500532,0.991114470093919,1.017969289417551,1.0,0.0967081261827715,0.956350919164568,259.0600798797417,0.7284973637178135,0.9171399760866894,0.7284973637178135,0.9914635001382754,1.0172559698931873,1.0,0.09637839736355648,0.9562645498283604,1297.119574429373
conductance,0,sgd,exact,0,1.0,1.0,0.6907500773331103,0.9907420564039049,0.6907500773331103,0.9907909685816405,1.0186289288718622,1.0,0.0,1.0,275.3308490282163,0.6903490519015276,0.9903546396582368,0.6903490519015276,0.9913188283658456,1.0175527372427229,1.0,0.0,1.0,28813.304619249662
conductance,0,sgd,exact,1,1.0,1.0,0.6910580479411246,0.9907379563212586,0.6910580479411246,0.9907880324219052,1.0186348702253267,1.0,0.0,1.0,275.0922575690903,0.690633069474488,0.9903494271010839,0.690633069474488,0.9912966954358847,1.0175978467205031,1.0,0.0,1.0,27823.24062220913
conductance,0,sgd,exact,16,1.0,1.0,0.6950523860236204,0.989940836732748,0.6950523860236204,0.9907489258234614,1.0187143866132093,1.0,0.0,1.0000000000000002,272.1117583845847,0.6945293184648416,0.9895221245165609,0.6945293184648416,0.9910056600062926,1.0181917856216254,1.0,0.0,1.0,17427.984712817615
conductance,0,sgd,exact,64,1.0,1.0,0.7027427559879624,0.9839447256819585,0.7027427559879624,0.9907467243807412,1.0187195616524076,1.0,0.0,1.0,267.0914145256741,0.7032720439013518,0.9833400350987823,0.7032720439013518,0.9904130761424581,1.0194048807213207,1.0,0.0,1.0,7529.180349880329
conductance,0,sgd,exact,256,1.0,1.0,0.7163386900332603,0.9574605342608862,0.7163386900332603,0.9908652223686361,1.0184792291481075,1.0,0.0,1.0,260.46223063736545,0.72244228361721,0.9575057769181141,0.72244228361721,0.9908479242073678,1.0185117351964557,1.0,0.0,1.0000000000000002,3319.8783860289113
conductance,0,sgd,exact,512,1.0,1.0,0.7196853911596975,0.934531687530642,0.7196853911596975,0.9909846958864786,1.0182347269279997,1.0,0.0,1.0,259.2665758947548,0.727607589586859,0.934901074187185,0.727607589586859,0.9914134675887292,1.0173556733646278,1.0,0.0,1.0,2046.3506171479887
conductance,0,sgd,exact,1024,1.0,1.0,0.7208076317823575,0.9182605242418841,0.7208076317823575,0.9911313885555204,1.0179341685089325,1.0,0.0,1.0,259.4582106951368,0.7287065187484013,0.9182638067609835,0.7287065187484013,0.9915022325904808,1.0171768049205796,1.0,0.0,1.0,1084.0143612729098
conductance,0,sgd,sign_broadcast,0,0.8145164267594194,0.8145164267594194,0.6907500773331103,0.9907420564039049,0.6907500773331103,0.9907909685816405,1.0186289288718622,1.0,6.6909982309025935,0.8281493540460583,275.3308490282163,0.6903490519015276,0.9903546396582368,0.6903490519015276,0.9913188283658456,1.0175527372427229,1.0,6.685593886183757,0.8279348625331631,28813.304619249662
conductance,0,sgd,sign_broadcast,1,0.8152532066439552,0.8152532066439552,0.6910353280845797,0.9907351072324083,0.6910353280845797,0.9907843250586635,1.0186423833799698,1.0,6.696971662735924,0.8283296953879749,275.0554371142266,0.6902191214669202,0.9902696334277605,0.6902191214669202,0.9912405040901137,1.0177125094037183,1.0,6.696851053505054,0.8278492291887165,25569.062929165975
conductance,0,sgd,sign_broadcast,16,0.7937184670027202,0.7937184670027202,0.6949244886938842,0.9900866600232552,0.6949244886938842,0.9907543684556377,1.0187031455511242,1.0,6.7589261972489165,0.8307631402987914,272.17441541710747,0.6923453738927063,0.9887192034895909,0.6923453738927063,0.9898613712306001,1.0205342280188379,1.0,6.773800358680639,0.8290634426470664,9629.303069672105
conductance,0,sgd,sign_broadcast,64,0.8588662353888582,0.8588662353888582,0.7040984061232618,0.9860394604845542,0.7040984061232618,0.9908151010648989,1.0185796451498714,1.0,6.865314477518416,0.8365091656810522,267.0844095287795,0.705929754247694,0.9848356042977017,0.705929754247694,0.9895906169592814,1.0210885277676185,1.0,6.8203450604823574,0.8374267022700144,6342.313241886621
conductance,0,sgd,sign_broadcast,256,0.8728873540947621,0.8728873540947621,0.7203209732501609,0.9564167939099765,0.7203209732501609,0.9909870191160944,1.0182290287787226,1.0,7.04827380487024,0.846561583020474,259.47144903459883,0.7239973446129188,0.9557492992450696,0.7239973446129188,0.9903260434920282,1.0195813077087386,1.0,6.993987924008278,0.848561993465738,2311.375052994572
conductance,0,sgd,sign_broadcast,512,0.8617554285161881,0.8617554285161881,0.7231748558961509,0.9285187547216406,0.7231748558961509,0.9911253596448537,1.0179460675737588,1.0,7.064366324183652,0.8483739105104412,259.0268517685311,0.7291513782075711,0.9279822508757499,0.7291513782075711,0.9911340332001226,1.0179286795019802,1.0,6.9873305084463695,0.8517264998141867,971.7167274929336
conductance,0,sgd,sign_broadcast,1024,0.8425424810386071,0.8425424810386071,0.7241324486057366,0.9125554805073814,0.7241324486057366,0.9912425848504995,1.0177068094393038,1.0,7.03397139305722,0.8489991885203647,259.97096849950026,0.7327015701025921,0.9119933481594051,0.7327015701025921,0.9917571355160015,1.0166602471267563,1.0,6.918802589837361,0.8539579936333107,389.1545532849819
conductance,0,sgd,unit_broadcast,0,0.8145164267594194,0.8145164267594194,0.6907500773331103,0.9907420564039049,0.6907500773331103,0.9907909685816405,1.0186289288718622,1.0,6.6909982309025935,0.8281493540460583,275.3308490282163,0.6903490519015276,0.9903546396582368,0.6903490519015276,0.9913188283658456,1.0175527372427229,1.0,6.685593886183757,0.8279348625331631,28813.304619249662
conductance,0,sgd,unit_broadcast,1,0.8152532066439552,0.8152532066439552,0.6910353280845797,0.9907351072324083,0.6910353280845797,0.9907843250586635,1.0186423833799698,1.0,6.696971662735924,0.8283296953879749,275.0554371142266,0.6902191214669202,0.9902696334277605,0.6902191214669202,0.9912405040901137,1.0177125094037183,1.0,6.696851053505054,0.8278492291887165,25569.062929165975
