sensitivity,model,task,optimizer,contrast,seed,difference
selected_rate,algebraic,nested,sgd,unit_broadcast minus exact,211219,0.5847031220185877
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211200,0.6744125724784352
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211201,0.5710149196648902
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211202,0.9160438379008187
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211203,0.7838169712242354
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211204,0.2695007399644527
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211205,0.7557934556491885
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211206,0.0009395754566525749
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211207,0.5749750835432008
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211208,0.7369847047992482
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211209,0.23657499461317355
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211210,0.3774563626359833
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211211,0.34845699626480553
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211212,0.8235468522676405
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211213,0.6646581317406149
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211214,0.4093464566517252
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211215,1.0321203368623486
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211216,0.2803742702588672
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211217,0.3130489586082327
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211218,0.7583064678488384
selected_rate,algebraic,nested,sgd,calibrated_broadcast minus exact,211219,0.7164919648341025
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211200,0.660878826631261
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211201,0.4602608008610393
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211202,0.7561839214513795
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211203,0.763796299778441
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211204,0.26644400270649915
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211205,0.758481724760204
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211206,0.0018682051275393796
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211207,0.5765424301608546
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211208,0.7351968484333533
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211209,0.23448977883790367
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211210,0.36532649819113977
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211211,0.3505739354712418
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211212,0.5572191864964814
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211213,0.6834389299934175
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211214,0.22012090240795046
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211215,0.7978936543694991
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211216,0.27834493051025566
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211217,0.2597126388232731
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211218,0.7542964892898554
selected_rate,algebraic,nested,sgd,sign_broadcast minus exact,211219,0.7172235551631071
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211200,-0.025353826155066095
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211201,-0.2012814730743342
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211202,-0.1544803202762014
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211203,-0.027699641030665578
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211204,0.0015025253886590262
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211205,-0.0008300413481254765
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211206,-0.0031397210575357937
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211207,-0.02073802152192683
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211208,0.014369202319826746
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211209,0.001438144297448929
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211210,-0.006220261999877574
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211211,-0.009341238846927613
selected_rate,algebraic,nested,sgd,unit_broadcast minus calibrated_broadcast,211212,-0.26755643922857864
