panel,record,latent_feature,increasing,decreasing,task,rule,rate,step,mean,ci_low,ci_high,budget,seed,best_step,test_nmse,fixed_endpoint_test_nmse,n_changed_parameters,g_i0_changed,g_i1_changed,n,mean_fixed_endpoint,context,z1,quantity
C,curve band,,,,aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,64.0,0.015520977251798965,0.012775968136135202,0.01859013724449723,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,256.0,0.0015702645588366632,0.0013379587161715324,0.001803740061003257,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,512.0,0.0003638148216281439,0.0003164317023791705,0.0004128499847068224,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,1024.0,0.00010888017317365773,9.26589349025466e-05,0.0001259033814921918,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,2048.0,3.2422300444308364e-05,2.546919369488495e-05,4.0265485182420615e-05,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,4096.0,9.072781017205191e-06,7.495093854913186e-06,1.078601572506745e-05,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,8192.0,1.1205580771473505e-06,4.2936527574067107e-07,1.980413488698024e-06,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,12288.0,1.8230045677174137e-06,7.331209985653095e-07,3.11283980978382e-06,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,ancestry_two_leaf_oracle_unit_proximal,0.03,16384.0,8.740010491317558e-07,3.8253127364829507e-07,1.484042818539794e-06,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,0.0,1.1286356722719426,1.0090235115396273,1.2654763813155165,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,1.0,1.0547634685050924,0.9394118342043121,1.1891687590381628,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,16.0,0.34466152431166724,0.28101950842195406,0.41876397038371965,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,64.0,0.015570821635286036,0.012834063788999983,0.018643417834451975,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,256.0,0.0015988709330490348,0.0013642537901667727,0.0018373686722287896,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,512.0,0.0003713482240710485,0.00032061633440121394,0.0004247519383491979,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,1024.0,0.00012889895884561988,0.00010851993254267297,0.00015117032645457044,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,2048.0,3.311618576667414e-05,2.6536140296951643e-05,4.0550075175480075e-05,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,4096.0,7.5315087317338315e-06,6.102471295516877e-06,9.114975634327545e-06,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,8192.0,6.123516050059421e-06,1.431088980217101e-06,1.20276755734579e-05,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,12288.0,4.204037026401204e-06,1.4966421319971499e-06,7.85935496270638e-06,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,exact,0.03,16384.0,1.6530196341592218e-05,4.346200117781044e-06,3.2755295681761065e-05,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,hard_distal_unit_proximal,0.03,0.0,1.1286356722719426,1.0080561860298138,1.2685628684904362,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,hard_distal_unit_proximal,0.03,1.0,1.0559177489599674,0.9390074847949371,1.1904643518842188,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,hard_distal_unit_proximal,0.03,16.0,0.3555767998431138,0.2897117142872989,0.43567750096574603,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,hard_distal_unit_proximal,0.03,64.0,0.01573404581369582,0.01346647182986651,0.018327566770312595,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,hard_distal_unit_proximal,0.03,256.0,0.0019685303778367155,0.001628413015260837,0.002408452671722895,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,hard_distal_unit_proximal,0.03,512.0,0.00039701141764109755,0.0003473462906243568,0.00045108718056998976,,,,,,,,,,,,,
C,curve band,,,,aligned_strong,hard_distal_unit_proximal,0.03,1024.0,0.00011526565870006902,0.00010097551028235285,0.00012919806145795246,,,,,,,,,,,,,
