seed,network_type,trained_broadcast_mode,diagnostic_feedback,branch_numel_weighted_cosine,branch_macro_cosine,branch_concatenated_cosine,branch_local_exact_norm_ratio,cohort
53,dendritic_shunting,per_soma_shared,scalar_fallback,0.14627457598766,0.1048814035952091,0.1559799825260641,0.0426336180923823,extension
54,dendritic_additive,per_soma,neuron_wise,0.5510497561678943,0.6057500123977662,0.5180728109128195,0.5096084486138694,extension
54,dendritic_additive,per_soma,scalar_fallback,0.2326890709248197,0.3095535844564437,0.1717560593364136,0.1344967444906847,extension
54,dendritic_additive,per_soma_shared,neuron_wise,0.6391649770071782,0.7037757515907288,0.6473710073610989,2.156998647629736,extension
54,dendritic_additive,per_soma_shared,scalar_fallback,0.0749333698032386,0.1032207243144512,0.0640656437079638,0.1959435600855247,extension
54,dendritic_shunting,per_soma,neuron_wise,0.4680517674822256,0.5111951708793641,0.4425488732332008,3.5814572135718468,extension
54,dendritic_shunting,per_soma,scalar_fallback,0.2813022879442846,0.274514901638031,0.2649425867321978,0.5532884455816058,extension
54,dendritic_shunting,per_soma_shared,neuron_wise,0.6829804941002591,0.7767639756202698,0.6722563378063656,2.6885424808786227,extension
54,dendritic_shunting,per_soma_shared,scalar_fallback,-0.0212176289679519,-0.0506610423326492,0.0263989350614218,0.095483707082935,extension
55,dendritic_additive,per_soma,neuron_wise,0.3748468708137117,0.4225954473018646,0.3527340828576468,1.0769413932446397,extension
55,dendritic_additive,per_soma,scalar_fallback,0.2260619541610854,0.2622706234455109,0.183137100015576,0.2988353663676564,extension
55,dendritic_additive,per_soma_shared,neuron_wise,0.5961390853973024,0.6947554230690003,0.5920828016305674,1.4460852711317875,extension
55,dendritic_additive,per_soma_shared,scalar_fallback,-0.0865552640008736,-0.1384560104459524,-0.0699745395109884,0.1082841459566235,extension
55,dendritic_shunting,per_soma,neuron_wise,0.4324519989879957,0.5096559584140777,0.4338916089892616,1.5410264678958916,extension
55,dendritic_shunting,per_soma,scalar_fallback,-0.1319762021136948,0.0646397054195404,-0.2499666893043784,0.2407486891768308,extension
55,dendritic_shunting,per_soma_shared,neuron_wise,0.6478872596220191,0.7490187168121338,0.6209473693070254,3.023561025850544,extension
55,dendritic_shunting,per_soma_shared,scalar_fallback,0.034000301912605,0.0050861991941928,0.0484500153265378,0.0471766275065878,extension
56,dendritic_additive,per_soma,neuron_wise,0.4140558180486063,0.5234410643577576,0.3474381105028022,1.2708558203054217,extension
56,dendritic_additive,per_soma,scalar_fallback,0.3077748475321735,0.4222304254770279,0.2260217541927781,0.4154569478949072,extension
56,dendritic_additive,per_soma_shared,neuron_wise,0.5982221687172513,0.688253128528595,0.6233308389392193,1.721167148226766,extension
56,dendritic_additive,per_soma_shared,scalar_fallback,-0.0277111194190751,-0.0787538398057222,-0.0466119490014304,0.1059127085693946,extension
56,dendritic_shunting,per_soma,neuron_wise,0.4747372238949475,0.5880801856517792,0.4518324866991644,2.2353771580529145,extension
56,dendritic_shunting,per_soma,scalar_fallback,0.0214840304899025,0.060661394521594,0.0300982468878281,0.2761992463141668,extension
56,dendritic_shunting,per_soma_shared,neuron_wise,0.6587086357253481,0.7608588218688965,0.6078998106993813,3.1695379642989603,extension
56,dendritic_shunting,per_soma_shared,scalar_fallback,-0.0179348905010527,-0.000401066802442,-0.0171518110683789,0.0487492464760946,extension
