JobID	JobName	Partition	Account	AllocCPUS	ElapsedRaw	TotalCPU	State	ExitCode	Start	End	NodeList
44624938_8	tree_select_step1	shared	kempner_dev	1	15	00:03.367	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24503
44624938_8.batch	batch		kempner_dev	1	15	00:03.367	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24503
44624938_8.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24503
44624938_9	tree_select_step1	shared	kempner_dev	1	15	00:03.835	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24501
44624938_9.batch	batch		kempner_dev	1	15	00:03.835	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24501
44624938_9.extern	extern		kempner_dev	1	15	00:00:00	COMPLETED	0:0	2026-09-05T12:18:57	2026-09-05T12:19:12	holy7c24501
44624938_10	tree_select_step1	shared	kempner_dev	1	6	00:03.291	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:29	holy7c24604
44624938_10.batch	batch		kempner_dev	1	6	00:03.291	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:29	holy7c24604
44624938_10.extern	extern		kempner_dev	1	6	00:00:00	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:29	holy7c24604
44624938_11	tree_select_step1	shared	kempner_dev	1	6	00:03.304	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:29	holy7c24604
44624938_11.batch	batch		kempner_dev	1	6	00:03.304	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:29	holy7c24604
44624938_11.extern	extern		kempner_dev	1	6	00:00:00	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:29	holy7c24604
44624938_12	tree_select_step1	shared	kempner_dev	1	6	00:03.294	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:29	holy7c24604
44624938_12.batch	batch		kempner_dev	1	6	00:03.294	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:29	holy7c24604
44624938_12.extern	extern		kempner_dev	1	6	00:00:00	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:29	holy7c24604
44624938_13	tree_select_step1	shared	kempner_dev	1	8	00:03.346	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:31	holy7c24603
44624938_13.batch	batch		kempner_dev	1	8	00:03.346	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:31	holy7c24603
44624938_13.extern	extern		kempner_dev	1	8	00:00:00	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:31	holy7c24603
44624938_14	tree_select_step1	shared	kempner_dev	1	8	00:03.356	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:31	holy7c24603
44624938_14.batch	batch		kempner_dev	1	8	00:03.356	COMPLETED	0:0	2026-09-05T12:19:23	2026-09-05T12:19:31	holy7c24603
