variant,forward,trained_rule,delivered_rule,block,relation,seed,cosine,defined
interaction,shunt,broadcast,resistance,proximal,cross,2026092207,-0.019925842550488473,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092208,-0.018875915884153344,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092209,0.022568364612315265,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092210,-0.024871549425513294,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092211,0.0457893988548708,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092212,0.115053943643158,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092213,-0.02961631806629896,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092214,0.08033175799140747,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092215,-0.03988646547318785,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092216,-0.031580800823037485,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092217,-0.015356050486091212,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092218,-0.006592679130379412,12
interaction,shunt,broadcast,resistance,proximal,cross,2026092219,0.0032531886773917358,12
interaction,shunt,broadcast,resistance,proximal,within,2026092200,0.5574095404334258,4
interaction,shunt,broadcast,resistance,proximal,within,2026092201,0.7207733990432086,4
interaction,shunt,broadcast,resistance,proximal,within,2026092202,0.6268582009038772,4
interaction,shunt,broadcast,resistance,proximal,within,2026092203,0.649102941960619,4
interaction,shunt,broadcast,resistance,proximal,within,2026092204,0.6600076474290608,4
interaction,shunt,broadcast,resistance,proximal,within,2026092205,0.6009516947481702,4
interaction,shunt,broadcast,resistance,proximal,within,2026092206,0.7307296337790491,4
interaction,shunt,broadcast,resistance,proximal,within,2026092207,0.5923594139048941,4
interaction,shunt,broadcast,resistance,proximal,within,2026092208,0.7723085473142338,4
interaction,shunt,broadcast,resistance,proximal,within,2026092209,0.7355356084373843,4
interaction,shunt,broadcast,resistance,proximal,within,2026092210,0.7115759311019016,4
interaction,shunt,broadcast,resistance,proximal,within,2026092211,0.6358544468272008,4
interaction,shunt,broadcast,resistance,proximal,within,2026092212,0.6507088314436371,4
interaction,shunt,broadcast,resistance,proximal,within,2026092213,0.7203388261288091,4
interaction,shunt,broadcast,resistance,proximal,within,2026092214,0.7401445186823978,4
interaction,shunt,broadcast,resistance,proximal,within,2026092215,0.6694750595121219,4
interaction,shunt,broadcast,resistance,proximal,within,2026092216,0.8185933904335345,4
interaction,shunt,broadcast,resistance,proximal,within,2026092217,0.5777597665408559,4
interaction,shunt,broadcast,resistance,proximal,within,2026092218,0.7369310079765882,4
interaction,shunt,broadcast,resistance,proximal,within,2026092219,0.8447796688758403,4
interaction,shunt,broadcast,resistance,readout,cross,2026092200,0.829919432309025,12
