panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,optimizer,bound
I,seed outcome,exact,,,,,,current,ood_3.0,2026092204.0,0.2613226704509156,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092205.0,0.2667768543380329,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092206.0,0.3857932508955052,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092207.0,0.3903757239745119,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092208.0,0.2966779733689123,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092209.0,0.4418574800768787,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092210.0,0.3300028241136516,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092211.0,0.3482815429308519,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092212.0,0.2810873537884957,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092213.0,0.1563276105344716,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092214.0,0.344233194965958,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092215.0,0.3765890407842591,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092216.0,0.2160092393552813,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092217.0,0.2330011215276368,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092218.0,0.4017458932485296,,,,
I,seed outcome,exact,,,,,,current,ood_3.0,2026092219.0,0.3192342217291675,,,,
I,mean and bootstrap interval,broadcast,,0.5144470944844327,0.47464644827430535,0.5530329978926786,20.0,current,ood_3.0,,,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092200.0,0.4495807384908127,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092201.0,0.3919163469267639,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092202.0,0.5199979400373873,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092203.0,0.601622051663386,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092204.0,0.3755210947890246,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092205.0,0.6004334842562811,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092206.0,0.6387854749296007,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092207.0,0.349109635695798,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092208.0,0.4951955929025176,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092209.0,0.6378955453367857,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092210.0,0.5246506672234451,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092211.0,0.6142434053647969,,,,
