model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
90,1,0.790467460524,0.19873046875,-0.964999269686,52001,64,1,1,frozen_profile,0.25,0.1875,0
91,1,0.77070803914,0.21142578125,-0.953171945557,52001,64,1,1,mismatched_encoder,0.240234375,0.229775445855,2.22044604925e-16
92,1,0.654312698329,0.7392578125,0.974567212811,52001,64,1,4,oracle_context,1,0,0
93,1,0.770955919285,0.21044921875,-0.957841783285,52001,64,1,4,learned_local_cue,0.2509765625,0.228383121203,2.22044604925e-16
94,1,0.790467460524,0.19873046875,-0.964999269686,52001,64,1,4,frozen_profile,0.25,0.1875,0
95,1,0.767943691488,0.2119140625,-0.947339513705,52001,64,1,4,mismatched_encoder,0.2529296875,0.229670623993,2.22044604925e-16
96,1,0.654312698329,0.7392578125,0.974567212811,52001,256,1,0,oracle_context,1,0,0
97,1,0.753102788579,0.22509765625,-0.939836561273,52001,256,1,0,learned_local_cue,0.44287109375,0.170493635854,2.22044604925e-16
98,1,0.790467460524,0.19873046875,-0.964999269686,52001,256,1,0,frozen_profile,0.25,0.1875,0
99,1,0.781201577696,0.201171875,-0.961484103441,52001,256,1,0,mismatched_encoder,0.1748046875,0.243250311414,2.22044604925e-16
100,1,0.654312698329,0.7392578125,0.974567212811,52001,256,1,1,oracle_context,1,0,0
101,1,0.773773173987,0.2099609375,-0.959082576174,52001,256,1,1,learned_local_cue,0.25341796875,0.222583533965,2.22044604925e-16
102,1,0.790467460524,0.19873046875,-0.964999269686,52001,256,1,1,frozen_profile,0.25,0.1875,0
103,1,0.773471018184,0.20703125,-0.956429949287,52001,256,1,1,mismatched_encoder,0.24658203125,0.221192839531,2.22044604925e-16
104,1,0.654312698329,0.7392578125,0.974567212811,52001,256,1,4,oracle_context,1,0,0
105,1,0.771078395734,0.2138671875,-0.950518564145,52001,256,1,4,learned_local_cue,0.2490234375,0.22030664002,2.22044604925e-16
106,1,0.790467460524,0.19873046875,-0.964999269686,52001,256,1,4,frozen_profile,0.25,0.1875,0
107,1,0.771275718276,0.208984375,-0.958847983384,52001,256,1,4,mismatched_encoder,0.25732421875,0.223958408078,2.22044604925e-16
0,10,0.488901378667,0.80517578125,0.922930637636,52001,16,0,0,oracle_context,1,0,0
1,10,1.38586955283,0.1923828125,-0.946763019539,52001,16,0,0,learned_local_cue,1,0.121504601024,1.11022302463e-16
2,10,2.41095939123,0.18603515625,-0.973009646943,52001,16,0,0,frozen_profile,0.25,0.1875,0
3,10,2.57375553606,0.1875,-0.974716509259,52001,16,0,0,mismatched_encoder,0,0.219004744256,1.11022302463e-16
4,10,0.488901378667,0.80517578125,0.922930637636,52001,16,0,1,oracle_context,1,0,0
5,10,2.29660297329,0.1875,-0.971473845137,52001,16,0,1,learned_local_cue,0.25146484375,0.194486885972,1.11022302463e-16
6,10,2.41095939123,0.18603515625,-0.973009646943,52001,16,0,1,frozen_profile,0.25,0.1875,0
7,10,2.28761015678,0.1884765625,-0.972292696275,52001,16,0,1,mismatched_encoder,0.25732421875,0.19391559607,1.11022302463e-16
8,10,0.488901378667,0.80517578125,0.922930637636,52001,16,0,4,oracle_context,1,0,0
9,10,2.28123526958,0.189453125,-0.969178075438,52001,16,0,4,learned_local_cue,0.26318359375,0.193344306169,1.11022302463e-16
10,10,2.41095939123,0.18603515625,-0.973009646943,52001,16,0,4,frozen_profile,0.25,0.1875,0
