panel,task,rule,rate,step,mean,ci95_low,ci95_high,n_seeds,positive_seeds,sensitivity,model,optimizer,contrast,k
H,quartet,,,1024.0,0.4610013238828853,0.4168013820137493,0.5088904772052506,20.0,20.0,,,,,1
H,quartet,,,1024.0,0.7094386165582556,0.6630265955178207,0.7607236634268411,20.0,20.0,,,,,2
H,quartet,,,1024.0,0.8446461284888473,0.8182033662709755,0.8731671162712251,20.0,20.0,,,,,3
H,quartet,,,1024.0,0.9388583105126675,0.928270485980376,0.9507757336046501,20.0,20.0,,,,,4
H,quartet,,,1024.0,0.999206533326031,0.9979564716305029,0.9999935919411098,20.0,20.0,,,,,5
H,quartet,,,1024.0,0.9999999999999998,0.9999999999999998,0.9999999999999998,20.0,20.0,,,,,6
H,quartet,,,1024.0,0.16863996449337196,0.1395789879015547,0.1960326458113097,20.0,20.0,,,,,uniform
H,nested,,,1024.0,0.44824518872542407,0.4039689754378512,0.5006697540323899,20.0,20.0,,,,,1
H,nested,,,1024.0,0.6850671269132407,0.6563260770460375,0.716334286309418,20.0,20.0,,,,,2
H,nested,,,1024.0,0.8361380049151425,0.8203223087801286,0.8539837108637454,20.0,20.0,,,,,3
H,nested,,,1024.0,0.9172507022941611,0.9072610542515546,0.9279744296624785,20.0,20.0,,,,,4
H,nested,,,1024.0,0.9687346594761819,0.9627481840038382,0.974725916778165,20.0,20.0,,,,,5
H,nested,,,1024.0,0.9999999999999998,0.9999999999999997,0.9999999999999998,20.0,20.0,,,,,6
H,nested,,,1024.0,0.17568604718523687,0.15382962257484786,0.19752164913679354,20.0,20.0,,,,,uniform
caption,matching,,,0.0,1.672173341372897,1.4262673208890508,1.9428628232378566,20.0,20.0,,,,,effective_rank
caption,matching,,,1024.0,1.005646321236068,1.0002489690884782,1.0143360940835384,20.0,20.0,,,,,effective_rank
caption,nested,,,0.0,1.6771706165137743,1.3988491963737533,2.0018251863837397,20.0,20.0,,,,,effective_rank
caption,nested,,,1024.0,3.416701778685855,3.1073728761437702,3.6957314420161405,20.0,20.0,,,,,effective_rank
caption,quartet,,,0.0,1.672173341372897,1.4262673208890508,1.9428628232378566,20.0,20.0,,,,,effective_rank
caption,quartet,,,1024.0,3.2382521758495715,2.932276321167155,3.5307015389973078,20.0,20.0,,,,,effective_rank
caption,matching,,,0.0,2.1738111563211477,1.8654626298743031,2.5135895669070485,20.0,20.0,,,,,gauge_effective_rank
caption,matching,,,1024.0,1.0056929770352068,1.0002701043905682,1.0148557682062012,20.0,20.0,,,,,gauge_effective_rank
caption,nested,,,0.0,2.3119801419118713,1.9896944510933199,2.6309087031289806,20.0,20.0,,,,,gauge_effective_rank
caption,nested,,,1024.0,4.694460327578764,4.690977815986076,4.698715983976187,20.0,20.0,,,,,gauge_effective_rank
caption,quartet,,,0.0,2.1738111563211477,1.8654626298743031,2.5135895669070485,20.0,20.0,,,,,gauge_effective_rank
caption,quartet,,,1024.0,4.273367598309337,3.9644765827319497,4.501188704993362,20.0,20.0,,,,,gauge_effective_rank
