post_soma_id,routes,method,capture,null_sd
256512,1,dense SVD oracle,0.5267605876853942,
256512,1,morphology-selected actual routes,0.5092085729190907,
256512,1,random actual routes,0.07882260366237685,0.1271498420027098
256512,1,depth-preserving ancestry shuffle,0.26535879259596507,0.030133546508141252
256512,1,depth bins,0.3607941327746941,
256512,2,dense SVD oracle,0.6316601065877507,
256512,2,morphology-selected actual routes,0.6173052701939663,
256512,2,random actual routes,0.15644573957265995,0.1713346532604203
256512,2,depth-preserving ancestry shuffle,0.38927268387621267,0.01885722720292085
256512,2,depth bins,0.3909469277263745,
256512,4,dense SVD oracle,0.7404798459323316,
256512,4,morphology-selected actual routes,0.7045146098286944,
256512,4,random actual routes,0.27808543612049874,0.19516529457920756
256512,4,depth-preserving ancestry shuffle,0.42831091501639845,0.019539331386396394
256512,4,depth bins,0.4601068242387032,
256512,8,dense SVD oracle,0.8559813653551455,
256512,8,morphology-selected actual routes,0.8400132154355994,
256512,8,random actual routes,0.4990978291227349,0.17843006303147518
256512,8,depth-preserving ancestry shuffle,0.4800467522630098,0.026270673643714843
256512,8,depth bins,0.4858204116127275,
256512,16,dense SVD oracle,0.9566929030421515,
256512,16,morphology-selected actual routes,0.944191259562016,
256512,16,random actual routes,0.7431078737701623,0.10393216860514691
256512,16,depth-preserving ancestry shuffle,0.5683341585552045,0.026357891156233663
256512,16,depth bins,0.5361419921604675,
256521,1,dense SVD oracle,0.4807721289991567,
256521,1,morphology-selected actual routes,0.41041126755376767,
256521,1,random actual routes,0.06472985219568524,0.1100821166239229
256521,1,depth-preserving ancestry shuffle,0.22350462362248946,0.027214390040195543
256521,1,depth bins,0.3460927947770779,
256521,2,dense SVD oracle,0.6229648041569411,
256521,2,morphology-selected actual routes,0.6078979120899701,
256521,2,random actual routes,0.12297881500232989,0.13569281006335282
256521,2,depth-preserving ancestry shuffle,0.3918454069571357,0.020377339642639138
256521,2,depth bins,0.3725931447104107,
256521,4,dense SVD oracle,0.72066695300817,
256521,4,morphology-selected actual routes,0.6943132595129914,
256521,4,random actual routes,0.2379722820863172,0.16787255775527532
256521,4,depth-preserving ancestry shuffle,0.4357414814795679,0.01807696535566796
256521,4,depth bins,0.4622541106379756,
256521,8,dense SVD oracle,0.8214353813465811,
256521,8,morphology-selected actual routes,0.7974122296318393,
256521,8,random actual routes,0.42981366650868397,0.15698931840467448
256521,8,depth-preserving ancestry shuffle,0.47335058578052,0.02102653683590093
256521,8,depth bins,0.5417891050695376,
256521,16,dense SVD oracle,0.9188533508770859,
256521,16,morphology-selected actual routes,0.8889532270421798,
256521,16,random actual routes,0.6447434633552004,0.11827355149215876
256521,16,depth-preserving ancestry shuffle,0.5481896026043644,0.02513739922571647
256521,16,depth bins,0.6126893726573406,
256530,1,dense SVD oracle,0.5226213692766063,
256530,1,morphology-selected actual routes,0.4662032669112752,
256530,1,random actual routes,0.053399400431434874,0.09370784463043712
256530,1,depth-preserving ancestry shuffle,0.20807718724461619,0.02735879857718623
256530,1,depth bins,0.43007830032929284,
256530,2,dense SVD oracle,0.664783490336404,
256530,2,morphology-selected actual routes,0.6587653535769367,
256530,2,random actual routes,0.11327435543351022,0.12825840799676763
256530,2,depth-preserving ancestry shuffle,0.40290885124299974,0.018475399580455073
256530,2,depth bins,0.44566411370078574,
256530,4,dense SVD oracle,0.7732389592608132,
256530,4,morphology-selected actual routes,0.7658024009668214,
256530,4,random actual routes,0.20688317507869308,0.16310550170126353
256530,4,depth-preserving ancestry shuffle,0.4308191877341669,0.02050022557000245
256530,4,depth bins,0.5084437761557005,
256530,8,dense SVD oracle,0.8562507748064462,
256530,8,morphology-selected actual routes,0.8341085522152675,
256530,8,random actual routes,0.39184537448280793,0.18104650715373558
256530,8,depth-preserving ancestry shuffle,0.47796195535197333,0.023665661528041868
256530,8,depth bins,0.5316955218791298,
256530,16,dense SVD oracle,0.9346262006267333,
256530,16,morphology-selected actual routes,0.9164008072310847,
