task_id,family,candidate_id,shape,normalized_mse,mean_restart_error,restart_std,centered_cut_bound,centered_cut_sum,full_cut_bound,pilot_error,optimization_gap_above_bound
matching_008,quadratic_matching,mixed_p0,mixed,0.4999999999999999,0.5,6.409875621278546e-17,0.5,1.75,0.5,0.5,-1.1102230246251565e-16
matching_008,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.0,0.5,0.75,0.0
matching_008,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_008,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.0,0.5,0.7499999999999999,0.0
matching_009,quadratic_matching,balanced_p0,balanced,0.5,0.5625,0.125,0.5,1.75,0.5,0.5,0.0
matching_009,quadratic_matching,balanced_p1,balanced,0.5,0.5625,0.125,0.5,1.75,0.5,0.5,0.0
matching_009,quadratic_matching,balanced_p2,balanced,0.5,0.5,0.0,0.5,2.0,0.5,0.5,0.0
matching_009,quadratic_matching,balanced_p3,balanced,0.5,0.5625,0.125,0.5,1.75,0.5,0.5,0.0
matching_009,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.5,0.5,0.7500000016773061,0.25
matching_009,quadratic_matching,comb_p1,comb,0.75,0.7500000056565217,6.575066984472275e-09,0.75,2.5,0.5,0.7504620087822855,0.0
matching_009,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,2.75,0.5,0.7500010084885744,0.0
matching_009,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.75,2.75,0.5,0.7500140024091826,0.0
matching_009,quadratic_matching,mixed_p0,mixed,0.25,0.25,0.0,0.25,1.25,0.25,0.25,0.0
matching_009,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.7500000000018103,0.0
matching_009,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_009,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_010,quadratic_matching,balanced_p0,balanced,0.5,0.5625,0.12499999999999999,0.5,1.75,0.5,0.5,0.0
matching_010,quadratic_matching,balanced_p1,balanced,0.5,0.5625,0.12499999999999999,0.5,1.75,0.5,0.5,0.0
matching_010,quadratic_matching,balanced_p2,balanced,0.5,0.5625,0.12499999999999999,0.5,1.75,0.5,0.5,0.0
matching_010,quadratic_matching,balanced_p3,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_010,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.75,0.5,0.7500000316165601,0.25
matching_010,quadratic_matching,comb_p1,comb,0.7499999999999999,0.75,6.409875621278546e-17,0.75,2.5,0.5,0.7500000134159515,-1.1102230246251565e-16
matching_010,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,2.75,0.5,0.7500000141316543,0.0
matching_010,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500000704026639,0.0
matching_010,quadratic_matching,mixed_p0,mixed,0.5,0.5,0.0,0.5,1.75,0.5,0.4999999999999999,0.0
matching_010,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.75,0.0
matching_010,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_010,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.75,0.0
matching_011,quadratic_matching,balanced_p0,balanced,0.5,0.5,0.0,0.5,1.5,0.5,0.5000000017767663,0.0
matching_011,quadratic_matching,balanced_p1,balanced,0.5,0.5,0.0,0.5,1.5,0.5,0.5000000000000544,0.0
matching_011,quadratic_matching,balanced_p2,balanced,0.5,0.5,0.0,0.5,2.0,0.5,0.5,0.0
matching_011,quadratic_matching,balanced_p3,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_011,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.75,0.5,0.7500000022069142,0.25
matching_011,quadratic_matching,comb_p1,comb,0.75,0.7500135189493009,2.6693163403477435e-05,0.75,2.25,0.5,0.7500003998806126,0.0
matching_011,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.5,2.25,0.5,0.7500001111033849,0.25
matching_011,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500000006343763,0.0
matching_011,quadratic_matching,mixed_p0,mixed,0.5,0.5,0.0,0.5,1.75,0.5,0.5,0.0
matching_011,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.0,0.5,0.75,0.0
matching_011,quadratic_matching,mixed_p2,mixed,0.4999999999999999,0.5,6.409875621278546e-17,0.5,1.75,0.5,0.4999999999999999,-1.1102230246251565e-16
matching_011,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_012,quadratic_matching,balanced_p0,balanced,0.7499999999999999,0.75,6.409875621278546e-17,0.5,1.75,0.5,0.75,0.2499999999999999
matching_012,quadratic_matching,balanced_p1,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_012,quadratic_matching,balanced_p2,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_012,quadratic_matching,balanced_p3,balanced,0.5,0.6875,0.125,0.5,1.75,0.5,0.7498652045916333,0.0
matching_012,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.5,0.5,0.7500000000657574,0.25
matching_012,quadratic_matching,comb_p1,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500011274613063,0.0
matching_012,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500011274613063,0.0
matching_012,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.75,2.75,0.5,0.7500004726580403,0.0
matching_012,quadratic_matching,mixed_p0,mixed,0.25,0.25,0.0,0.25,1.25,0.25,0.25,0.0
matching_012,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_012,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.75,0.0
