task_id,family,shape,best_assignment_nmse,oracle_shape_tied,oracle_shape_weight,n_tied_shapes
quartet_018,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_018,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_019,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_019,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_019,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_020,quartic_partition,balanced,3.208372489948156e-31,True,1.0,1
quartet_020,quartic_partition,comb,0.5,False,0.0,1
quartet_020,quartic_partition,mixed,0.5,False,0.0,1
quartet_021,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_021,quartic_partition,comb,0.4999999999999999,True,0.3333333333333333,3
quartet_021,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_022,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_022,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_022,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_023,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_023,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_023,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_024,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_024,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_024,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_025,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_025,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_025,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_026,quartic_partition,balanced,1.0572148177165567e-31,True,1.0,1
quartet_026,quartic_partition,comb,0.5,False,0.0,1
quartet_026,quartic_partition,mixed,0.5,False,0.0,1
quartet_027,quartic_partition,balanced,0.4999999999999999,True,0.3333333333333333,3
quartet_027,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_027,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_028,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_028,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_028,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_029,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_029,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_029,quartic_partition,mixed,0.4999999999999999,True,0.3333333333333333,3
quartet_030,quartic_partition,balanced,0.4999999999999999,True,0.3333333333333333,3
quartet_030,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_030,quartic_partition,mixed,0.4999999999999999,True,0.3333333333333333,3
quartet_031,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_031,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_031,quartic_partition,mixed,0.5,True,0.3333333333333333,3
quartet_032,quartic_partition,balanced,5.089707332982235e-31,True,1.0,1
quartet_032,quartic_partition,comb,0.4999999999999999,False,0.0,1
quartet_032,quartic_partition,mixed,0.5,False,0.0,1
quartet_033,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_033,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_033,quartic_partition,mixed,0.4999999999999999,True,0.3333333333333333,3
quartet_034,quartic_partition,balanced,0.5,True,0.3333333333333333,3
quartet_034,quartic_partition,comb,0.5,True,0.3333333333333333,3
quartet_034,quartic_partition,mixed,0.5,True,0.3333333333333333,3
