arm,regime,task_id,split,seed,rank,noise_sd,angle_pi,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,checkpoint,test_loss,population_loss,observed_objective,population_objective
feedback_only,fixed_cache,s6102_r2_n750_a000,development,6102,2,0.75,0.0,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.3048662162662071,0.3012778287933247,0.3287655635247829,0.32517717605190055
feedback_only,fixed_cache,s6102_r2_n750_a250,development,6102,2,0.75,0.25,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.2943447802727831,0.2920078330282308,0.31824412753135894,0.31590718028680664
feedback_only,fixed_cache,s6102_r2_n750_a500,development,6102,2,0.75,0.5,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,256,0.2926570239504388,0.2900867812963593,0.33777642459990764,0.33520618194582813
feedback_only,fixed_cache,s6102_r4_n000_a000,development,6102,4,0.0,0.0,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,1.2686377550042784e-17,1.2325528110950095e-17,0.04389934725857588,0.04389934725857588
feedback_only,fixed_cache,s6102_r4_n000_a250,development,6102,4,0.0,0.25,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,3.812024485918751e-10,3.6853703875814733e-10,0.04389934763977832,0.04389934762711291
feedback_only,fixed_cache,s6102_r4_n000_a500,development,6102,4,0.0,0.5,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,256,0.0040620630831371,0.0038358369268606,0.04918146373260595,0.04895523757632945
feedback_only,fixed_cache,s6102_r4_n750_a000,development,6102,4,0.75,0.0,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,0.3001716901267791,0.2940055975991002,0.34407103738535494,0.3379049448576761
feedback_only,fixed_cache,s6102_r4_n750_a250,development,6102,4,0.75,0.25,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,0.2958423438514068,0.290510723847967,0.33974169110998265,0.33441007110654286
feedback_only,fixed_cache,s6102_r4_n750_a500,development,6102,4,0.75,0.5,balanced_permutation_a_k4,balanced_permutation_a,balanced,4,0.5639925081183607,0.5,0.6399250811836067,64,64,32,256,0.2970729562791648,0.2911524405521621,0.34219235692863365,0.33627184120163095
feedback_only,fixed_cache,s6102_r8_n000_a000,development,6102,8,0.0,0.0,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,2.014721113067026e-08,2.0876620376041253e-08,0.08389936740578699,0.08389936813519623
