task,budget,rate,left,right,seed,difference
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090807,1.0907498386463768e-05
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090808,5.903335274117689e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090809,4.5515039742832484e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090810,2.645304686042499e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090811,-8.836822848498758e-07
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090812,5.781120138702667e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090813,1.266061285962435e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090814,1.2672710878486884e-07
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090815,5.242210129044893e-07
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090816,3.831594565239705e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090817,5.910801246034995e-06
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090818,9.400769130522612e-07
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090819,1.0182625156032168e-07
aligned_strong,4096,0.03,hard_distal_unit_proximal,exact,2026090820,-5.610037009838115e-07
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090801,0.007074200847458608
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090802,0.003948730885020986
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090803,0.0071739672368618225
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090804,0.008279863477505821
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090805,0.0023165752189131107
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090806,0.0028129111850141767
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090807,0.009625816925982226
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090808,0.011920518945292023
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090809,0.0041088380966544415
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090810,0.0029865904940945234
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090811,0.0007123050894192756
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090812,0.0060580452570686795
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090813,0.010746929927360403
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090814,0.00838727411335391
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090815,0.00035705505149841675
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090816,0.0018956913543007354
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090817,0.001664099679839102
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090818,0.0002872542535758829
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090819,0.015356673854555393
aligned_strong,4096,0.03,swapped_distal_unit_proximal,hard_distal_unit_proximal,2026090820,0.0016886950655432811
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090801,2.1744934688717572e-05
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090802,-2.6893256513658105e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090803,1.6494977938132304e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090804,-1.2505057642646346e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090805,-4.33541675551867e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090806,6.968270219402541e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090807,-4.198499615803562e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090808,1.4671825572958397e-05
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090809,-3.7430222037460113e-07
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090810,-5.340793441373925e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090811,5.874719233952321e-07
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090812,-2.055610228093418e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090813,6.167499180151095e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090814,-8.592749821143017e-07
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090815,1.547726652434983e-08
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090816,-1.3308401159182294e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090817,-4.214500902864067e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090818,2.5400923059846055e-06
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090819,8.310352958174423e-07
aligned_strong,4096,0.03,hard_distal_and_proximal,hard_distal_unit_proximal,2026090820,-3.51095562791225e-07
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090801,3.4453708651891075e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090802,2.831139315393093e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090803,2.97318184934592e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090804,7.110623828520228e-07
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090805,8.348967573273471e-07
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090806,2.9530768611710536e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090807,1.0355112713399173e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090808,8.704705258342259e-07
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090809,1.3076815543637354e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090810,1.4696450836605557e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090811,4.6889577942927536e-07
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090812,1.798427051251205e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090813,1.4277585830884873e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090814,2.118708386530149e-07
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090815,2.845442196896847e-07
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090816,1.4551120609253377e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090817,2.5995870817437005e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090818,3.4486438352142716e-06
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090819,5.806269745445425e-07
aligned_strong,4096,0.03,ancestry_two_leaf_oracle_unit_proximal,exact,2026090820,1.1794281841067065e-07
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090801,4.54681490645631e-06
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090802,6.0797584575321436e-06
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090803,3.867764593565934e-06
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090804,-4.984796921792406e-07
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090805,5.425375659169197e-06
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090806,-1.5906846106449365e-07
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090807,1.0594084030164263e-05
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090808,6.212355905149897e-06
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090809,4.511193880684126e-06
aligned_strong,4096,0.03,shunt_proportional_unit_proximal,exact,2026090810,2.5789621623715086e-06
