seed,condition_id,architecture,feedback_family,budget_k,train_loss,train_accuracy,heldout_loss,heldout_accuracy,retained_context_loss_before_switch,retained_context_accuracy_before_switch,retained_context_accuracy_after_switch,retained_context_forgetting,initial_gradient_cosine,initial_gradient_capture,norm_matched_one_step_progress
4210,flat_compartment__depth_interleaved_bins__k2,flat_compartment,depth_interleaved_bins,2,5.861483059,0.2075195312,5.833216827,0.19921875,5.873823744,0.2021484375,0.18359375,0.0185546875,0.513353173,0.2635314803,-1.003577515
4210,flat_compartment__random_sparse_matched__k2,flat_compartment,random_sparse_matched,2,5.597987997,0.2065429688,5.546405385,0.205078125,4.908060722,0.205078125,0.1826171875,0.0224609375,0.5115227778,0.2616555522,-1.005984979
4210,flat_compartment__random_rank_k__k2,flat_compartment,random_rank_k,2,3.284889544,0.3559570312,3.253688047,0.353515625,3.187032415,0.3447265625,0.337890625,0.0068359375,0.4523496794,0.2046202325,-0.03405432315
4210,flat_compartment__learned_rank_k_upper_bound__k2,flat_compartment,learned_rank_k_upper_bound,2,0.6003171706,0.6391601562,0.6002744766,0.6357421875,0.5969486227,0.630859375,0.630859375,0,0.5311455275,0.2821155714,0.5359290158
4210,flat_compartment__correct_ancestry_subtrees__k4,flat_compartment,correct_ancestry_subtrees,4,0.3932897834,0.818359375,0.4210505158,0.8032226562,0.4073762144,0.81640625,0.81640625,0,0.7240073068,0.5241865803,0.9778175182
4210,flat_compartment__within_neuron_route_derangement__k4,flat_compartment,within_neuron_route_derangement,4,17.53682052,0.1884765625,17.25281473,0.19140625,16.9900348,0.1875,0.1826171875,0.0048828125,0,0,-1.085741823
4210,flat_compartment__depth_interleaved_bins__k4,flat_compartment,depth_interleaved_bins,4,0.524697787,0.7890625,0.5393716281,0.759765625,0.5346025599,0.7626953125,0.19140625,0.5712890625,0.7192248098,0.5172843271,0.7793700564
4210,flat_compartment__random_sparse_matched__k4,flat_compartment,random_sparse_matched,4,0.4329677963,0.8154296875,0.4555897823,0.7973632812,0.4465728628,0.8056640625,0.8056640625,0,0.7208847838,0.5196748715,0.9330955663
4210,flat_compartment__random_rank_k__k4,flat_compartment,random_rank_k,4,0.4074311607,0.8266601562,0.4309631159,0.8115234375,0.4120755399,0.8134765625,0.8095703125,0.00390625,0.7108094079,0.5052500144,0.9671825867
4210,flat_compartment__learned_rank_k_upper_bound__k4,flat_compartment,learned_rank_k_upper_bound,4,0.5233262685,0.7451171875,0.5223887908,0.7436523438,0.5116467027,0.75,0.75,0,0.7279560204,0.5299199676,0.750771368
