seed,effective_sample_size,parameterization,optimizer,route_rank,address_residual,checkpoint,population_loss,field_estimation_error,coefficient_norm,gram_condition_number,gram_lambda_max
9101,64,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,80,0.02408030667,0.04816061334,0.5658156896,15,30
9101,64,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,1,0.4656687669,0.9313375338,0.003960068016,388.5198166,807.7404929
9101,64,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,5,0.4100276621,0.8200553242,0.01166742838,388.5198166,807.7404929
9101,64,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,20,0.3207120596,0.6414241193,0.02648757771,388.5198166,807.7404929
9101,64,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,80,0.2319627875,0.4639255751,0.06201597894,388.5198166,807.7404929
9101,64,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,1,0.2652056365,0.5304112729,0.09948567303,388.5198166,807.7404929
9101,64,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,5,0.0777401626,0.1554803252,0.2145353765,388.5198166,807.7404929
9101,64,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,20,0.01330594021,0.02661188043,0.3451729093,388.5198166,807.7404929
9101,64,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,80,0.02408030667,0.04816061334,0.3385768798,388.5198166,807.7404929
9101,256,tree_haar,vanilla_local,8,1.59190147e-31,1,0.2975153719,0.5950307439,0.2413131025,1,1
9101,256,tree_haar,vanilla_local,8,1.59190147e-31,5,0.045813818,0.09162763601,0.7240443333,1,1
9101,256,tree_haar,vanilla_local,8,1.59190147e-31,20,0.006382387101,0.0127647742,0.9555025383,1,1
9101,256,tree_haar,vanilla_local,8,1.59190147e-31,80,0.006708687298,0.0134173746,1.041214589,1,1
9101,256,tree_haar,gram_preconditioned_control,8,1.59190147e-31,1,0.2975153719,0.5950307439,0.2413131025,1,1
9101,256,tree_haar,gram_preconditioned_control,8,1.59190147e-31,5,0.045813818,0.09162763601,0.7240443333,1,1
9101,256,tree_haar,gram_preconditioned_control,8,1.59190147e-31,20,0.006382387101,0.0127647742,0.9555025383,1,1
