task_id,arm,method,seconds,calibration_fitting_shared_seconds,regime,pilot_update_seconds,pilot_evaluation_seconds
s6100_r2_n750_a500,joint_forward_feedback,empirical_split_fullbatch,0.01070329500362277,,,,
s6100_r2_n750_a500,joint_forward_feedback,original_scalar,0.0317214330425486,,,,
s6100_r4_n000_a000,feedback_only,gaussian_plugin_fullbatch,0.0007164649432525039,0.003629756043665111,,,
s6100_r4_n000_a000,feedback_only,gaussian_plugin_sgd,0.049302879022434354,0.003629756043665111,,,
s6100_r4_n000_a000,feedback_only,gaussian_oracle_fullbatch,0.0007165790302678943,0.0,,,
s6100_r4_n000_a000,feedback_only,gaussian_oracle_sgd,0.04960818903055042,0.0,,,
s6100_r4_n000_a000,feedback_only,empirical_split_fullbatch,0.010781503980979323,,,,
s6100_r4_n000_a000,feedback_only,original_scalar,0.031081725959666073,,,,
s6100_r4_n000_a000,joint_forward_feedback,gaussian_plugin_fullbatch,0.0006762080593034625,0.0036045850720256567,,,
s6100_r4_n000_a000,joint_forward_feedback,gaussian_plugin_sgd,0.049636462004855275,0.0036045850720256567,,,
s6100_r4_n000_a000,joint_forward_feedback,gaussian_oracle_fullbatch,0.0006978159071877599,0.0,,,
s6100_r4_n000_a000,joint_forward_feedback,gaussian_oracle_sgd,0.05013879400212318,0.0,,,
s6100_r4_n000_a000,joint_forward_feedback,empirical_split_fullbatch,0.010964514920488,,,,
s6100_r4_n000_a000,joint_forward_feedback,original_scalar,0.03057793900370598,,,,
s6100_r4_n000_a250,feedback_only,gaussian_plugin_fullbatch,0.0007107279961928725,0.003522883984260261,,,
s6100_r4_n000_a250,feedback_only,gaussian_plugin_sgd,0.04946113598998636,0.003522883984260261,,,
s6100_r4_n000_a250,feedback_only,gaussian_oracle_fullbatch,0.0007207429734990001,0.0,,,
s6100_r4_n000_a250,feedback_only,gaussian_oracle_sgd,0.04964624799322337,0.0,,,
s6100_r4_n000_a250,feedback_only,empirical_split_fullbatch,0.011029391083866358,,,,
s6100_r4_n000_a250,feedback_only,original_scalar,0.030968175968155265,,,,
s6100_r4_n000_a250,joint_forward_feedback,gaussian_plugin_fullbatch,0.0007054359884932637,0.0035281360615044832,,,
s6100_r4_n000_a250,joint_forward_feedback,gaussian_plugin_sgd,0.04991554608568549,0.0035281360615044832,,,
s6100_r4_n000_a250,joint_forward_feedback,gaussian_oracle_fullbatch,0.000724214012734592,0.0,,,
s6100_r4_n000_a250,joint_forward_feedback,gaussian_oracle_sgd,0.04957394301891327,0.0,,,
s6100_r4_n000_a250,joint_forward_feedback,empirical_split_fullbatch,0.01107577490620315,,,,
s6100_r4_n000_a250,joint_forward_feedback,original_scalar,0.0314073720946908,,,,
s6100_r4_n000_a500,feedback_only,gaussian_plugin_fullbatch,0.0006965070497244596,0.003567329957149923,,,
s6100_r4_n000_a500,feedback_only,gaussian_plugin_sgd,0.04977058502845466,0.003567329957149923,,,
s6100_r4_n000_a500,feedback_only,gaussian_oracle_fullbatch,0.0007062539225444198,0.0,,,
s6100_r4_n000_a500,feedback_only,gaussian_oracle_sgd,0.04959197202697396,0.0,,,
s6100_r4_n000_a500,feedback_only,empirical_split_fullbatch,0.011151239974424243,,,,
s6100_r4_n000_a500,feedback_only,original_scalar,0.03132693096995354,,,,
s6100_r4_n000_a500,joint_forward_feedback,gaussian_plugin_fullbatch,0.0007316659903153777,0.0035400850465521216,,,
s6100_r4_n000_a500,joint_forward_feedback,gaussian_plugin_sgd,0.04976876801811159,0.0035400850465521216,,,
s6100_r4_n000_a500,joint_forward_feedback,gaussian_oracle_fullbatch,0.0007139029912650585,0.0,,,
s6100_r4_n000_a500,joint_forward_feedback,gaussian_oracle_sgd,0.04977598099503666,0.0,,,
s6100_r4_n000_a500,joint_forward_feedback,empirical_split_fullbatch,0.011005624895915389,,,,
s6100_r4_n000_a500,joint_forward_feedback,original_scalar,0.030734382919035852,,,,
s6100_r4_n750_a000,feedback_only,gaussian_plugin_fullbatch,0.0006824899464845657,0.0037003729958087206,,,
s6100_r4_n750_a000,feedback_only,gaussian_plugin_sgd,0.050899878959171474,0.0037003729958087206,,,
s6100_r4_n750_a000,feedback_only,gaussian_oracle_fullbatch,0.0009260900551453233,0.0,,,
s6100_r4_n750_a000,feedback_only,gaussian_oracle_sgd,0.04995251493528485,0.0,,,
s6100_r4_n750_a000,feedback_only,empirical_split_fullbatch,0.011447711964137852,,,,
s6100_r4_n750_a000,feedback_only,original_scalar,0.0328217149944976,,,,
s6100_r4_n750_a000,joint_forward_feedback,gaussian_plugin_fullbatch,0.0007011090638116002,0.004014570033177733,,,
s6100_r4_n750_a000,joint_forward_feedback,gaussian_plugin_sgd,0.05022259592078626,0.004014570033177733,,,
s6100_r4_n750_a000,joint_forward_feedback,gaussian_oracle_fullbatch,0.0007243960862979293,0.0,,,
s6100_r4_n750_a000,joint_forward_feedback,gaussian_oracle_sgd,0.049419274902902544,0.0,,,
s6100_r4_n750_a000,joint_forward_feedback,empirical_split_fullbatch,0.01123730605468154,,,,
s6100_r4_n750_a000,joint_forward_feedback,original_scalar,0.031811469001695514,,,,
s6100_r4_n750_a250,feedback_only,gaussian_plugin_fullbatch,0.0007377470610663295,0.0036900710547342896,,,
s6100_r4_n750_a250,feedback_only,gaussian_plugin_sgd,0.04966150806285441,0.0036900710547342896,,,
s6100_r4_n750_a250,feedback_only,gaussian_oracle_fullbatch,0.0007369359955191612,0.0,,,
s6100_r4_n750_a250,feedback_only,gaussian_oracle_sgd,0.05008562502916902,0.0,,,
s6100_r4_n750_a250,feedback_only,empirical_split_fullbatch,0.011237228056415915,,,,
s6100_r4_n750_a250,feedback_only,original_scalar,0.03251835599076003,,,,
s6100_r4_n750_a250,joint_forward_feedback,gaussian_plugin_fullbatch,0.0007307950872927904,0.00366153905633837,,,
s6100_r4_n750_a250,joint_forward_feedback,gaussian_plugin_sgd,0.05030888703186065,0.00366153905633837,,,
s6100_r4_n750_a250,joint_forward_feedback,gaussian_oracle_fullbatch,0.0007136400090530515,0.0,,,
