seed,depth,config_index,record_index_distal_to_soma,is_soma_stage,module_name,component,mean,std,min,q05,q50,q95,max,n
10209,1,9,1,True,core_network.layers.0.populations.e.branch_layers.1,path_gain,1,0,1,1,1,1,1,8192
10200,2,10,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.4880787197,0.3458515168,0.0002162456512,0.001378595008,0.4870396703,0.9647743016,0.9866541028,49152
10200,2,10,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,82.2485519,62.44785796,6.703569412,9.723521519,66.5719223,206.7274246,473.3274841,49152
10200,2,10,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.02848976721,0.03315453193,0.002112702234,0.00483728745,0.01502134791,0.1028433986,0.1491742581,49152
10200,2,10,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,49152
10200,2,10,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1142086004,0.02681045826,0.05817452818,0.07807946019,0.1031269804,0.1488812007,0.1540379077,49152
10200,2,10,1,False,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3771386674,0.2671636361,0.1069544032,0.1426072396,0.2913953811,0.8901464403,0.9204121828,16384
10200,2,10,1,False,core_network.layers.0.populations.e.branch_layers.1,total_conductance,70.97482938,13.43345677,52.16970825,53.9493784,71.69566345,93.6266922,123.085762,16384
10200,2,10,1,False,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.01458862139,0.00267782585,0.008124416694,0.01068071509,0.01394784497,0.01853589462,0.01916821115,16384
10200,2,10,1,False,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,16384
10200,2,10,1,False,core_network.layers.0.populations.e.branch_layers.1,path_gain,0.4848854805,0.01039950603,0.4693477452,0.4714868367,0.4848507941,0.4983361661,0.5004786253,16384
10200,2,10,2,True,core_network.layers.0.populations.e.branch_layers.2,branch_voltage,0.3683710041,0.1831417701,0.1589704156,0.188123101,0.2308703139,0.5933057368,0.6107211113,8192
10200,2,10,2,True,core_network.layers.0.populations.e.branch_layers.2,total_conductance,33.08092207,0.06712884293,32.99467087,32.99880219,33.1281395,33.15228271,33.16152191,8192
10200,2,10,2,True,core_network.layers.0.populations.e.branch_layers.2,input_resistance,0.03022902791,6.137597185e-05,0.03015543148,0.03016383573,0.03018581774,0.03030413017,0.03030792437,8192
10200,2,10,2,True,core_network.layers.0.populations.e.branch_layers.2,activation_derivative,1,0,1,1,1,1,1,8192
10200,2,10,2,True,core_network.layers.0.populations.e.branch_layers.2,path_gain,1,0,1,1,1,1,1,8192
10201,2,11,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.5066074851,0.3608017618,0.0002212016116,0.001287266065,0.5022373796,0.9688609242,0.9830272794,49152
10201,2,11,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,87.94823568,65.18410573,6.95915699,9.78521843,68.02715302,220.6328606,391.6652832,49152
10201,2,11,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.02659462511,0.03201721962,0.002553200582,0.004532416491,0.01470001275,0.1021949615,0.1436955631,49152
10201,2,11,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,49152
10201,2,11,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1188449265,0.02754111511,0.05987877771,0.07989404127,0.1118893325,0.1507132821,0.1553116739,49152
10201,2,11,1,False,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.4047065537,0.2786983673,0.1121528447,0.1512871072,0.3020292819,0.8984304637,0.9221349359,16384
