cohort,root_id,channels,method,total_capture,residual_capture,dictionary_rank,nonzero_coefficients,wiring_density,coverage,incremental_total_capture
pinky,648518346349538440,4,common-constrained SVD,0.8183664180008283,0.7692746309419948,4.0,52.0,1.0,1.0,0.6055948998133696
pinky,648518346349538440,8,common + ancestry,0.9887190087521492,0.9856699909766004,7.0,22.0,0.2115384615384615,1.0,0.7759474905646904
pinky,648518346349538440,8,common + depth bins,0.645826155591441,0.5501003170094947,8.0,24.0,0.2307692307692307,1.0,0.4330546374039822
pinky,648518346349538440,8,common + random routes,0.522278188691518,0.39315989913302013,2.995,16.02,0.15403846153846149,1.0,0.3095066705040593
pinky,648518346349538440,8,common + shuffled routes,0.5843681129486881,0.47203144112069323,6.53,22.0,0.2115384615384615,1.0,0.37159659476122925
pinky,648518346349538440,8,common + surrogate ancestry,0.6843718760685857,0.5990641456407909,6.86,26.26,0.25249999999999995,1.0,0.4716003578811269
pinky,648518346349538440,8,common-constrained SVD,0.9991293808053496,0.9988940705084172,8.0,104.0,1.0,1.0,0.7863578626178909
pinky,648518346349538466,1,common + ancestry,0.3341185110991558,1.0885009326373479e-32,1.0,10.0,1.0,1.0,5.551115123125783e-17
pinky,648518346349538466,1,common + depth bins,0.3341185110991558,1.0885009326373479e-32,1.0,10.0,1.0,1.0,5.551115123125783e-17
pinky,648518346349538466,1,common + random routes,0.3341185110991558,1.0885009326373479e-32,1.0,10.0,1.0,1.0,5.551115123125783e-17
pinky,648518346349538466,1,common + shuffled routes,0.3341185110991558,1.0885009326373479e-32,1.0,10.0,1.0,1.0,5.551115123125783e-17
pinky,648518346349538466,1,common + surrogate ancestry,0.3341185110991558,1.0885009326373479e-32,1.0,10.0,1.0,1.0,5.551115123125783e-17
pinky,648518346349538466,1,common-constrained SVD,0.3341185110991558,1.0885009326373479e-32,1.0,10.0,1.0,1.0,5.551115123125783e-17
pinky,648518346349538466,2,common + ancestry,0.4882439338753033,0.2314607409053509,2.0,11.0,0.55,1.0,0.1541254227761475
pinky,648518346349538466,2,common + depth bins,0.4444151096142183,0.1656399830202921,2.0,14.0,0.7,1.0,0.1102965985150625
pinky,648518346349538466,2,common + random routes,0.4248699070298689,0.13628760889646346,1.75,11.02,0.551,1.0,0.09075139593071306
pinky,648518346349538466,2,common + shuffled routes,0.4216904107506494,0.131512740797235,2.0,11.0,0.55,1.0,0.08757189965149367
pinky,648518346349538466,2,common + surrogate ancestry,0.46029575667030526,0.1894890422309644,2.0,11.895,0.59475,1.0,0.1261772455711495
pinky,648518346349538466,2,common-constrained SVD,0.5739403121479766,0.3601568823375602,2.0,20.0,1.0,1.0,0.2398218010488208
pinky,648518346349538466,4,common + ancestry,0.7306787489696838,0.5955417660357567,4.0,14.0,0.35,1.0,0.396560237870528
pinky,648518346349538466,4,common + depth bins,0.6374573970075127,0.4555448543990485,4.0,17.0,0.425,1.0,0.3033388859083569
pinky,648518346349538466,4,common + random routes,0.5838872724855605,0.375094916362208,3.28,13.225,0.330625,1.0,0.24976876138640475
pinky,648518346349538466,4,common + shuffled routes,0.567200293807526,0.3500349335331624,3.925,14.0,0.35,1.0,0.2330817827083702
pinky,648518346349538466,4,common + surrogate ancestry,0.6966515960855076,0.5444408517569351,3.8,15.38,0.3845,1.0,0.36253308498635184
pinky,648518346349538466,4,common-constrained SVD,0.8301820384468296,0.7449726950159177,4.0,40.0,1.0,1.0,0.4960635273476738
