cohort,regime,root_id,focal_segment_id,dose,perturbation,category,n_sites,median_abs_log_gradient_change,mean_abs_log_gradient_change,synapse_weighted_median_abs_log_gradient_change,median_signed_log_gradient_change,gradient_sign_flip_fraction
original_eight,Ra150_Rm300,864691135277186789,1647,1.0,matched additive,depth-matched unrelated,3,0.0022839294653751543,0.0022839294653751543,0.0022839294653751543,0.0022839294653751543,0.0
original_eight,Ra150_Rm300,864691135277186789,1647,1.0,focal shunt,descendant,3,0.29716033410488024,0.26663547043963215,0.29716033410488024,-0.29716033410488024,0.0
original_eight,Ra150_Rm300,864691135277186789,1647,1.0,focal shunt,depth-matched unrelated,3,0.002208573452221443,0.002208573452221443,0.002208573452221443,-0.002208573452221443,0.0
original_eight,Ra150_Rm300,864691135277186789,2152,1.0,matched additive,descendant,5,0.0048912222153443255,0.006550477851941477,0.0031601878310240214,0.0048912222153443255,0.0
original_eight,Ra150_Rm300,864691135277186789,2152,1.0,matched additive,depth-matched unrelated,5,0.0003861550899022677,0.0002999169706183078,0.00017055979169236794,0.0003861550899022677,0.0
original_eight,Ra150_Rm300,864691135277186789,2152,1.0,focal shunt,descendant,5,0.021389723086314757,0.019772870222963774,0.023076267309131936,-0.021389723086314757,0.0
original_eight,Ra150_Rm300,864691135277186789,2152,1.0,focal shunt,depth-matched unrelated,5,0.002098629260554789,0.0013247238057491068,0.00016386562354058393,-0.002098629260554789,0.0
original_eight,Ra150_Rm300,864691135277186789,2484,1.0,matched additive,descendant,6,0.018480961868207926,0.023357277457478776,0.012993511681912318,0.018480961868207926,0.0
original_eight,Ra150_Rm300,864691135277186789,2484,1.0,matched additive,depth-matched unrelated,6,0.00016992198142104048,0.001353760335064534,0.00016992198142104048,0.00016992198142104048,0.0
original_eight,Ra150_Rm300,864691135277186789,2484,1.0,focal shunt,descendant,6,0.06316190765351802,0.05864609297252075,0.06823752565083584,-0.06316190765351802,0.0
original_eight,Ra150_Rm300,864691135277186789,2484,1.0,focal shunt,depth-matched unrelated,6,0.0013853822370813531,0.002997986282615836,0.0013853822370813531,-0.0013853822370813531,0.0
original_eight,Ra150_Rm300,864691135277186789,2634,1.0,matched additive,descendant,3,0.018862771688296195,0.02957507806727878,0.012456473153730399,0.018862771688296195,0.0
original_eight,Ra150_Rm300,864691135277186789,2634,1.0,matched additive,depth-matched unrelated,3,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0
original_eight,Ra150_Rm300,864691135277186789,2634,1.0,focal shunt,descendant,3,0.11123569608666488,0.10171271101921699,0.11691352587930719,-0.11123569608666488,0.0
original_eight,Ra150_Rm300,864691135277186789,2634,1.0,focal shunt,depth-matched unrelated,3,0.005436166553772697,0.0054361665537728835,0.005436166553772697,-0.005436166553772697,0.0
original_eight,Ra150_Rm300,864691135277186789,2737,1.0,matched additive,descendant,4,0.13061328737024352,0.11206832515469224,0.051325216566256694,0.13061328737024352,0.0
original_eight,Ra150_Rm300,864691135277186789,2737,1.0,matched additive,depth-matched unrelated,4,0.0,0.0001498011628293085,0.000599204651317234,0.0,0.0
original_eight,Ra150_Rm300,864691135277186789,2737,1.0,focal shunt,descendant,4,0.13723331714410064,0.1520894086500166,0.20078609409046858,-0.13723331714410064,0.0
original_eight,Ra150_Rm300,864691135277186789,2737,1.0,focal shunt,depth-matched unrelated,4,0.00147507634400855,0.0019219414284948515,0.0032625366819539225,-0.00147507634400855,0.0
original_eight,Ra150_Rm300,864691135277186789,3172,1.0,matched additive,descendant,3,0.0029539761121907433,0.005734124107313263,0.002416408886026185,0.0029539761121907433,0.0
original_eight,Ra150_Rm300,864691135277186789,3172,1.0,matched additive,depth-matched unrelated,3,0.0,0.0,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135277186789,3172,1.0,focal shunt,descendant,3,0.029728698254511805,0.02702610480456503,0.03025119640809374,-0.029728698254511805,0.0
original_eight,Ra150_Rm300,864691135277186789,3172,1.0,focal shunt,depth-matched unrelated,3,0.004092027922762377,0.004092027922763826,0.004092027922760036,-0.004092027922762377,0.0
original_eight,Ra150_Rm300,864691135277186789,3520,1.0,matched additive,descendant,3,0.11922754936581731,0.13499885038270298,0.11922754936581731,0.11922754936581731,0.0
original_eight,Ra150_Rm300,864691135277186789,3520,1.0,matched additive,depth-matched unrelated,3,0.0,7.401486830834377e-17,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135277186789,3520,1.0,focal shunt,descendant,3,0.2848166010373385,0.27321548666840784,0.2848166010373385,-0.2848166010373385,0.0
original_eight,Ra150_Rm300,864691135277186789,3520,1.0,focal shunt,depth-matched unrelated,3,0.001884637239310334,0.0018846372393104824,0.0018846372393086655,-0.001884637239310334,0.0
original_eight,Ra150_Rm300,864691135277186789,3758,1.0,matched additive,descendant,5,0.006049498051585336,0.009147940501372904,0.004661087227849499,0.006049498051585336,0.0
original_eight,Ra150_Rm300,864691135277186789,3758,1.0,matched additive,depth-matched unrelated,5,0.0,0.0,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135277186789,3758,1.0,focal shunt,descendant,5,0.05131154070662807,0.048366433691291934,0.05263063081435291,-0.05131154070662807,0.0
original_eight,Ra150_Rm300,864691135277186789,3758,1.0,focal shunt,depth-matched unrelated,5,0.005572657495617898,0.005572657495620556,0.005572657495617898,-0.005572657495617898,0.0
original_eight,Ra150_Rm300,864691135277186789,3909,1.0,matched additive,descendant,3,0.0012783332162851822,0.00212806794143978,0.0008437247518923688,0.0012783332162851822,0.0
original_eight,Ra150_Rm300,864691135277186789,3909,1.0,matched additive,depth-matched unrelated,3,0.0,0.0,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135277186789,3909,1.0,focal shunt,descendant,3,0.011469413994132321,0.010628579408609602,0.011899461340364707,-0.011469413994132321,0.0
original_eight,Ra150_Rm300,864691135277186789,3909,1.0,focal shunt,depth-matched unrelated,3,0.0021729510058775946,0.0021729510058770382,0.002172951005875147,-0.0021729510058775946,0.0
original_eight,Ra150_Rm300,864691135277186789,3960,1.0,matched additive,descendant,5,0.01244676852149122,0.012401344151521321,0.0077305168798932,0.01244676852149122,0.0
original_eight,Ra150_Rm300,864691135277186789,3960,1.0,matched additive,depth-matched unrelated,5,0.0,8.88178419700125e-17,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135277186789,3960,1.0,focal shunt,descendant,5,0.029438705794006363,0.029481858710919982,0.033973496931455974,-0.029438705794006363,0.0
original_eight,Ra150_Rm300,864691135277186789,3960,1.0,focal shunt,depth-matched unrelated,5,0.0017794571228852021,0.001779457122885291,0.001779457122884535,-0.0017794571228852021,0.0
original_eight,Ra150_Rm300,864691135277186789,4009,1.0,matched additive,descendant,3,0.0008598645548571663,0.0016751974515477428,0.0008598645548571663,0.0008598645548571663,0.0
original_eight,Ra150_Rm300,864691135277186789,4009,1.0,matched additive,depth-matched unrelated,3,0.0,1.4802973661668758e-16,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135277186789,4009,1.0,focal shunt,descendant,3,0.009705295989921496,0.008896881196448365,0.009705295989921496,-0.009705295989921496,0.0
