panel,task,series,x_name,x_label,unit,mean,signed_mean,n_seeds,interval,endpoint,drop_radius_pt,record,x,ci95_low,ci95_high,seed,value,noise,common_rate,ci_low,ci_high,positive_seeds
C,Pairwise,unit broadcast,training updates,,test NMSE,0.022996807091115543,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,3584.0,0.022711666626609877,0.023313799219035442,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.022949167850466905,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,3840.0,0.022690382483045217,0.02323273858100754,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023111918542054105,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,4096.0,0.022847972734141686,0.02340315526970677,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023046485164047194,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,4352.0,0.02279870384510622,0.023317294803939622,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023109321079033192,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,4608.0,0.022815180311850897,0.02342725314522752,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02316149313663726,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,4864.0,0.02288805008957728,0.023456061088546053,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023025937080600786,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,5120.0,0.022750099726630616,0.02331613302714191,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.022931704196214785,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,5376.0,0.022645407260552267,0.023226968083571792,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023113501648876357,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,5632.0,0.022868046975739516,0.02338395023630351,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023117732288130466,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,5888.0,0.022821126598207696,0.023426234366012495,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02307754770300885,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,6144.0,0.022825465052611457,0.023346736080918477,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023144335539394264,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,6400.0,0.0228553654233213,0.023454108600111104,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023118529027130897,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,6656.0,0.02286441068267963,0.023381228405006796,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023110667439419787,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,6912.0,0.02284629204659026,0.023403529356833708,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02304309867022563,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,7168.0,0.022733338784651554,0.023376974487612712,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023099467103243045,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,7424.0,0.02280025021585219,0.023417448362343864,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023100676500459244,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,7680.0,0.02280908718340116,0.023409953077431624,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023102672550447352,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,7936.0,0.022826466787416042,0.023393228845072233,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023124269324838846,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,8192.0,0.022833687634707608,0.023433094371146372,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023137572773796022,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,8448.0,0.022869861798818454,0.023418972146348964,,,,,,,
