panel,noise_variance,rank,captured_energy,twice_L_times_bound,rate_policy,architecture,arm,metric,mean,ci_low,ci_high,n,positive,contrast,record_type,checkpoint,coordinate,basis,cohort,seed,checkpoint_sha256,forward_max_difference,n_fields,mean_capture,ensemble_energy_capture,task,source,label,mean_pp,low_pp,high_pp,n_seeds,source_table,source_contrast
C,0.28,2.0,1.0,0.641025641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.29,2.0,1.0,0.6329113924050632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.3,2.0,1.0,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.31,2.0,1.0,0.6172839506172839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.32,2.0,1.0,0.6097560975609756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.33,2.0,1.0,0.6024096385542168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.34,2.0,1.0,0.5952380952380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.35000000000000003,2.0,1.0,0.588235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.36,2.0,1.0,0.5813953488372093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.37,2.0,1.0,0.5747126436781609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.38,2.0,1.0,0.5681818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.39,2.0,1.0,0.5617977528089888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.4,2.0,1.0,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.41000000000000003,2.0,1.0,0.5494505494505494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.42,2.0,1.0,0.5434782608695653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.43,2.0,1.0,0.5376344086021506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,0.44,2.0,1.0,0.5319148936170213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
