hierarchy,regime,architecture,mechanism,credit,depth,seed,train_accuracy_clean,valid_accuracy_clean,test_accuracy_clean,train_accuracy_historical,valid_accuracy_historical,test_accuracy_historical,_merge,train_accuracy_difference,train_accuracy_absolute_difference,valid_accuracy_difference,valid_accuracy_absolute_difference,test_accuracy_difference,test_accuracy_absolute_difference
3,rewired_tree,grouped_point,shunting,full_bp,3,10202,0.6168000102043152,0.6132999658584595,0.6168999671936035,0.6168999671936035,0.6134999990463257,0.6169999837875366,both,-9.995698928833008e-05,9.995698928833008e-05,-0.00020003318786621094,0.00020003318786621094,-0.00010001659393310547,0.00010001659393310547
3,rewired_tree,grouped_point,shunting,full_bp,3,10203,0.6243999600410461,0.6197999715805054,0.6129999756813049,0.6238999962806702,0.6200999617576599,0.6141999959945679,both,0.0004999637603759766,0.0004999637603759766,-0.000299990177154541,0.000299990177154541,-0.0012000203132629395,0.0012000203132629395
3,rewired_tree,grouped_point,shunting,full_bp,3,10204,0.6261999607086182,0.6122999787330627,0.6017999649047852,0.6262999773025513,0.6122999787330627,0.6017000079154968,both,-0.00010001659393310547,0.00010001659393310547,0.0,0.0,9.995698928833008e-05,9.995698928833008e-05
3,rewired_tree,grouped_point,shunting,full_bp,3,10205,0.6155999898910522,0.6055999994277954,0.6125999689102173,0.6155999898910522,0.6055999994277954,0.6125999689102173,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,3,10206,0.6125999689102173,0.6116999983787537,0.6108999848365784,0.6125999689102173,0.6116999983787537,0.6108999848365784,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,3,10207,0.6234999895095825,0.6179999709129333,0.6103000044822693,0.6234999895095825,0.6179999709129333,0.6103000044822693,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,3,10208,0.6177999973297119,0.6115999817848206,0.6140999794006348,0.6177999973297119,0.6115999817848206,0.6140999794006348,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,grouped_point,shunting,full_bp,3,10209,0.6200999617576599,0.6146999597549438,0.6057999730110168,0.6200999617576599,0.6146999597549438,0.6057999730110168,both,0.0,0.0,0.0,0.0,0.0,0.0
3,rewired_tree,serial_tree,shunting,full_bp,1,10200,0.6134999990463257,0.6111999750137329,0.6083999872207642,0.6133999825,0.6116999984,0.6093999743,both,0.00010001654632563195,0.00010001654632563195,-0.00050002338626709,0.00050002338626709,-0.0009999870792358756,0.0009999870792358756
3,rewired_tree,serial_tree,shunting,full_bp,1,10201,0.6232999563217163,0.6114999651908875,0.6150000095367432,0.6232999563,0.6117999554,0.6143999696,both,2.171629542857545e-11,2.171629542857545e-11,-0.0002999902091125328,0.0002999902091125328,0.0006000399367431797,0.0006000399367431797
3,rewired_tree,serial_tree,shunting,full_bp,1,10202,0.616599977016449,0.6129999756813049,0.6166999936103821,0.6166999936,0.6132999659,0.6168000102,both,-0.0001000165835510769,0.0001000165835510769,-0.0002999902186950898,0.0002999902186950898,-0.00010001658961789062,0.00010001658961789062
