cohort,seed,family,step,structure,common_rate,model,optimizer,rate,rule,selected_rate,field,dimensions,total_energy,effective_rank,rank95,rank99,leading_fraction
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,exact,True,loss_credit,6,0.2201705500110496,1.7469114703700328,3,4,0.7346508538360197
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,exact,True,parameter_jacobian_nonroot,24,2.1882876767926653,8.362361763508002,11,13,0.23048037817575273
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,exact,True,parameter_gradient_nonroot,24,0.9430655660009933,7.44815851114622,11,13,0.25244065143076655
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,unit_broadcast,True,path_q,6,0.43569030839282874,1.7166383746769487,3,4,0.7419217058172359
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,unit_broadcast,True,loss_credit,6,0.2630864479711949,1.9252900400218975,3,4,0.6865948665543672
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,unit_broadcast,True,parameter_jacobian_nonroot,24,2.0177161884338166,8.583880846213262,11,13,0.21823925948853357
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,unit_broadcast,True,parameter_gradient_nonroot,24,1.1555589515398161,7.507602892242325,11,13,0.23838760120717917
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,path_q,6,0.4446085071437454,1.5835072215148462,3,4,0.7812874786574168
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,loss_credit,6,0.2248281048030823,1.7952857319167932,3,4,0.7223150956351194
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,parameter_jacobian_nonroot,24,2.0838265097556015,8.520777744365525,11,13,0.22276474397815355
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,calibrated_broadcast,False,parameter_gradient_nonroot,24,0.9801188615283055,7.415484120591188,11,13,0.2500903461828711
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,path_q,6,0.7013243783013129,1.40447476812308,2,4,0.8338378897412038
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,loss_credit,6,0.2172757288187286,1.685177618262262,3,4,0.7442198806512745
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,parameter_jacobian_nonroot,24,3.4353930486827435,8.97617898802385,12,14,0.2146354440518057
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,adam,0.01,calibrated_broadcast,True,parameter_gradient_nonroot,24,1.050054486860182,7.805215644340737,11,14,0.21729957204315742
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,sign_broadcast,False,path_q,6,0.4446085123904744,1.583507209334761,3,4,0.7812874821713272
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,sign_broadcast,False,loss_credit,6,0.22482810108321402,1.795285725944679,3,4,0.7223150969930427
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,sign_broadcast,False,parameter_jacobian_nonroot,24,2.083826523092806,8.520777729420855,11,13,0.22276474662803558
matched_fresh_algebraic,211200,matching,16,compatible,True,algebraic,adam,0.003,sign_broadcast,False,parameter_gradient_nonroot,24,0.9801188442788307,7.415483990685492,11,13,0.25009035165515925
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,adam,0.01,sign_broadcast,True,path_q,6,0.701324402466447,1.4044747368819974,2,4,0.8338379005955934
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,adam,0.01,sign_broadcast,True,loss_credit,6,0.21727571275054613,1.6851775798112296,3,4,0.7442198921438915
matched_fresh_algebraic,211200,matching,16,compatible,False,algebraic,adam,0.01,sign_broadcast,True,parameter_jacobian_nonroot,24,3.4353931731441048,8.97617890632891,12,14,0.2146354491900782
