optimizer,rule,step,dictionary,metric,contrast,mean,ci95_low,ci95_high,n_seeds,status
adam,broadcast,1,ancestry_K4,mean_per_example_fidelity,quartet_minus_matching,0.041779114220241845,-0.08920313817412033,0.1728090210877145,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K4,error_weighted_energy_fidelity,quartet_minus_matching,0.0518621873310023,-0.09082253917243809,0.1874930173550903,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K4,eligibility_weighted_update_fidelity,quartet_minus_matching,0.030656695820398837,-0.12457169649101826,0.1810540442716138,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K4,population_gradient_cosine_nonroot,quartet_minus_matching,0.07442600617783621,-0.02976999559246577,0.18261226657112656,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K4,population_gradient_cosine_full,quartet_minus_matching,0.019112445174231198,-0.040946103597798836,0.08699376820340153,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K4,population_nmse,quartet_minus_matching,0.307320891387329,-0.15963562831832484,0.8826197570614424,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K5,field_energy_fidelity,quartet_minus_matching,0.01948771541737699,-0.10727782739251723,0.14465665180100262,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K5,mean_per_example_fidelity,quartet_minus_matching,0.015042255864792114,-0.1031764056725142,0.13794847493699983,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K5,error_weighted_energy_fidelity,quartet_minus_matching,0.01759376979596949,-0.10773627960517786,0.1431115795033626,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K5,eligibility_weighted_update_fidelity,quartet_minus_matching,0.000264125120708153,-0.12925883230836765,0.13116222604042577,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K5,population_gradient_cosine_nonroot,quartet_minus_matching,0.04713610918075849,-0.05950432915468847,0.15852084709257225,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K5,population_gradient_cosine_full,quartet_minus_matching,0.025513918794422615,-0.040577905005482647,0.10274293699856825,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K5,population_nmse,quartet_minus_matching,0.307320891387329,-0.15817500979492444,0.8773671587360701,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K6,field_energy_fidelity,quartet_minus_matching,0.0,0.0,0.0,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K6,mean_per_example_fidelity,quartet_minus_matching,0.0,0.0,0.0,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K6,error_weighted_energy_fidelity,quartet_minus_matching,0.0,0.0,0.0,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K6,eligibility_weighted_update_fidelity,quartet_minus_matching,0.0,0.0,0.0,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K6,population_gradient_cosine_nonroot,quartet_minus_matching,3.3306690738754695e-17,-4.4408920985006264e-17,1.1102230246251565e-16,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K6,population_gradient_cosine_full,quartet_minus_matching,5.551115123125783e-17,0.0,1.1102230246251565e-16,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,ancestry_K6,population_nmse,quartet_minus_matching,0.307320891387329,-0.16769681950376597,0.8747557910280236,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,best_fixed_rank1_error,field_energy_fidelity,quartet_minus_matching,0.11571610668066037,-0.004423828003964081,0.2297816242744107,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,best_fixed_rank1_error,mean_per_example_fidelity,quartet_minus_matching,0.08420809745427801,-0.047205069897123704,0.20632437143583868,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,best_fixed_rank1_error,error_weighted_energy_fidelity,quartet_minus_matching,0.10786136724299764,0.0045640857068938,0.20622415975340128,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,best_fixed_rank1_error,eligibility_weighted_update_fidelity,quartet_minus_matching,0.08704532166349636,-0.025953286591733432,0.2010525826381762,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,best_fixed_rank1_error,population_gradient_cosine_nonroot,quartet_minus_matching,0.033433469760890594,-0.027104945857024425,0.1024181470818262,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,best_fixed_rank1_error,population_gradient_cosine_full,quartet_minus_matching,-0.0074602110353822635,-0.03706019747781089,0.024650423319013463,20,posthoc descriptive; no multiplicity adjustment
adam,broadcast,1,best_fixed_rank1_error,population_nmse,quartet_minus_matching,0.307320891387329,-0.15948331662243156,0.872856547965378,20,posthoc descriptive; no multiplicity adjustment
