channels,method,residual,wiring_nonzeros,root_id,residual_sd,actual_channels
8,depth-only bins,0.6209639242095136,19.0,864691135082534135,,8.0
16,dense PCA oracle,0.021663127923773683,304.0,864691135082534135,,
16,morphology-aware paths,0.15015953571907922,25.0,864691135082534135,,
16,random paths,0.7900645146700271,9.515625,864691135082534135,0.12444064111698307,
16,shuffled ancestry,0.5006577991274734,25.0,864691135082534135,0.17911697153170833,
16,depth-only bins,0.10797103011354972,19.0,864691135082534135,,16.0
1,dense PCA oracle,0.6084087746719959,16.0,864691135416557754,,
1,morphology-aware paths,0.610503264879853,3.0,864691135416557754,,
1,random paths,0.9576140559754021,0.65625,864691135416557754,0.09537504779997902,
1,shuffled ancestry,0.957209068288059,3.0,864691135416557754,0.06363305452217602,
1,depth-only bins,0.9110612283638957,16.0,864691135416557754,,1.0
2,dense PCA oracle,0.507875245066041,32.0,864691135416557754,,
2,morphology-aware paths,0.5156360895614188,6.0,864691135416557754,,
2,random paths,0.950092016544511,0.921875,864691135416557754,0.11018830693403782,
2,shuffled ancestry,0.9002197290771723,6.0,864691135416557754,0.10806922540194867,
2,depth-only bins,0.8073655128478106,16.0,864691135416557754,,2.0
4,dense PCA oracle,0.3246997194645662,64.0,864691135416557754,,
4,morphology-aware paths,0.4121793669489435,11.0,864691135416557754,,
4,random paths,0.8864588091101168,2.21875,864691135416557754,0.1454326848777207,
4,shuffled ancestry,0.7867810116425894,11.0,864691135416557754,0.13470485739398588,
4,depth-only bins,0.5794622236655089,16.0,864691135416557754,,4.0
8,dense PCA oracle,0.10686504409197572,128.0,864691135416557754,,
8,morphology-aware paths,0.30495164904017247,16.0,864691135416557754,,
8,random paths,0.7077430559146225,4.90625,864691135416557754,0.2042212413085909,
8,shuffled ancestry,0.6414568388141438,16.0,864691135416557754,0.18219071465022948,
8,depth-only bins,0.39868393988400247,16.0,864691135416557754,,8.0
16,dense PCA oracle,0.0,256.0,864691135416557754,,
16,morphology-aware paths,0.10242287431842531,27.0,864691135416557754,,
16,random paths,0.5617255422095049,8.609375,864691135416557754,0.21702255270223722,
16,shuffled ancestry,0.3673001886165168,27.0,864691135416557754,0.21056646367823262,
16,depth-only bins,1.5880199338311297e-16,16.0,864691135416557754,,16.0
1,dense PCA oracle,0.8097606066267373,20.0,864691136419314071,,
1,morphology-aware paths,0.9244032372987587,1.0,864691136419314071,,
1,random paths,0.9817849082200765,1.09375,864691136419314071,0.03640039786902364,
1,shuffled ancestry,0.973993841758154,1.0,864691136419314071,0.03701886673528718,
1,depth-only bins,0.9625724729751637,20.0,864691136419314071,,1.0
2,dense PCA oracle,0.7130622943700677,40.0,864691136419314071,,
2,morphology-aware paths,0.7184021359187773,3.0,864691136419314071,,
2,random paths,0.9726636636468711,0.90625,864691136419314071,0.04401618196650373,
2,shuffled ancestry,0.9469838545984517,3.0,864691136419314071,0.04099887190469936,
2,depth-only bins,0.9340740902049735,20.0,864691136419314071,,2.0
4,dense PCA oracle,0.537106334661694,80.0,864691136419314071,,
4,morphology-aware paths,0.6347846754331197,6.0,864691136419314071,,
4,random paths,0.9182189713451705,3.0625,864691136419314071,0.07785611023174158,
