seed,branches,conflict_probability,condition,train_loss_new,train_accuracy_new,test_loss_new,test_accuracy_new,initial_gradient_cosine_new,initial_gradient_capture_new,initial_signed_utility_new,theoretical_shared_relative_signal_new,theoretical_deranged_relative_signal_new,feedback_rank_new,feedback_nonzeros_per_example_new,forward_parameters_new,active_forward_branches_per_example_new,simultaneously_driven_branches_per_example_new,train_loss_historical,train_accuracy_historical,test_loss_historical,test_accuracy_historical,initial_gradient_cosine_historical,initial_gradient_capture_historical,initial_signed_utility_historical,theoretical_shared_relative_signal_historical,theoretical_deranged_relative_signal_historical,feedback_rank_historical,feedback_nonzeros_per_example_historical,forward_parameters_historical,active_forward_branches_per_example_historical,simultaneously_driven_branches_per_example_historical,test_accuracy_replay_error,test_loss_replay_error
11012,4,0.5,gated_point_emulation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.25,0,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.25,0,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.5714285714,neuron_shared_k1,0.582023859024,0.78955078125,0.582508325577,0.778500020504,0.959080696106,0.919835805893,0.144420742989,0.142857142857,-0.142857142857,1,4,200,1,4,0.582023859,0.7895507812,0.5825083256,0.7785000205,0.9590806961,0.9198358059,0.144420743,0.1428571429,-0.1428571429,1,4,200,1,4,3.99780208937e-12,2.32177610471e-11
11012,4,0.5714285714,correct_path,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.142857142857,-0.142857142857,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.1428571429,-0.1428571429,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.5714285714,within_neuron_deranged,1.49921262264,0.453125,1.48778057098,0.430000007153,-0.869577944279,0.756165802479,-0.137407317758,0.142857142857,-0.142857142857,4,1,200,1,4,1.499212623,0.453125,1.487780571,0.4300000072,-0.8695779443,0.7561658025,-0.1374073178,0.1428571429,-0.1428571429,4,1,200,1,4,4.74426053998e-11,1.61133328902e-11
11012,4,0.5714285714,backpropagation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.142857142857,-0.142857142857,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.1428571429,-0.1428571429,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.5714285714,gated_point_emulation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.142857142857,-0.142857142857,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.1428571429,-0.1428571429,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.6,neuron_shared_k1,0.60885155201,0.778564453125,0.609538197517,0.773500025272,0.920439004898,0.847207963467,0.101117938757,0.1,-0.2,1,4,200,1,4,0.608851552,0.7785644531,0.6095381975,0.7735000253,0.9204390049,0.8472079635,0.1011179388,0.1,-0.2,1,4,200,1,4,2.76305645031e-11,1.73949743498e-11
11012,4,0.6,correct_path,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.1,-0.2,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.1,-0.2,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.6,within_neuron_deranged,1.55456340313,0.421997070312,1.5485432148,0.398500025272,-0.929263710976,0.863531053066,-0.191368788481,0.1,-0.2,4,1,200,1,4,1.554563403,0.4219970703,1.548543215,0.3985000253,-0.929263711,0.8635310531,-0.1913687885,0.1,-0.2,4,1,200,1,4,2.76306200142e-11,2.02026395613e-10
11012,4,0.6,backpropagation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.1,-0.2,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.1,-0.2,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.6,gated_point_emulation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0.1,-0.2,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0.1,-0.2,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.6666666667,neuron_shared_k1,0.705443561077,0.42724609375,0.706660568714,0.417000025511,-0.188787028193,0.0356405414641,-0.00835793092847,0,-0.333333333333,1,4,200,1,4,0.7054435611,0.4272460938,0.7066605687,0.4170000255,-0.1887870282,0.03564054146,-0.008357930928,0,-0.3333333333,1,4,200,1,4,1.07879816191e-11,1.41417988431e-11
11012,4,0.6666666667,correct_path,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0,-0.333333333333,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0,-0.3333333333,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.6666666667,within_neuron_deranged,1.70893216133,0.207153320312,1.74976611137,0.220000013709,-0.974054098129,0.948781371117,-0.338644534349,0,-0.333333333333,4,1,200,1,4,1.708932161,0.2071533203,1.749766111,0.2200000137,-0.9740540981,0.9487813711,-0.3386445343,0,-0.3333333333,4,1,200,1,4,9.06830166514e-12,3.73901354322e-10
11012,4,0.6666666667,backpropagation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0,-0.333333333333,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0,-0.3333333333,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.6666666667,gated_point_emulation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,0,-0.333333333333,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,0,-0.3333333333,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.75,neuron_shared_k1,0.889167249203,0.198852539062,0.895590603352,0.219000011683,-0.944796264172,0.892639994621,-0.125771954656,-0.125,-0.5,1,4,200,1,4,0.8891672492,0.1988525391,0.8955906034,0.2190000117,-0.9447962642,0.8926399946,-0.1257719547,-0.125,-0.5,1,4,200,1,4,1.74896208627e-11,4.8406945119e-11
11012,4,0.75,correct_path,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,-0.125,-0.5,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,-0.125,-0.5,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.75,within_neuron_deranged,2.72970342636,0.215087890625,2.7894077301,0.227500006557,-0.986489593983,0.973161697388,-0.495304554701,-0.125,-0.5,4,1,200,1,4,2.729703426,0.2150878906,2.78940773,0.2275000066,-0.986489594,0.9731616974,-0.4953045547,-0.125,-0.5,4,1,200,1,4,4.34890734535e-11,1.02538866287e-10
11012,4,0.75,backpropagation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,-0.125,-0.5,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,-0.125,-0.5,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,0.75,gated_point_emulation,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,-0.125,-0.5,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,-0.125,-0.5,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,1,neuron_shared_k1,2.767973423,0.193725585938,2.84326434135,0.217500016093,-0.992290079594,0.984639585018,-0.504268407822,-0.5,-1,1,4,200,1,4,2.767973423,0.1937255859,2.843264341,0.2175000161,-0.9922900796,0.984639585,-0.5042684078,-0.5,-1,1,4,200,1,4,6.74590938665e-12,3.54370310873e-10
11012,4,1,correct_path,0.421435773373,0.81640625,0.43101722002,0.803000032902,1,1,1,-0.5,-1,4,1,200,1,4,0.4214357734,0.81640625,0.43101722,0.8030000329,1,1,1,-0.5,-1,4,1,200,1,4,1.76392234152e-12,2.02942107563e-11
11012,4,1,within_neuron_deranged,6.94971561432,0.211669921875,7.10555076599,0.225000008941,-0.995003283024,0.990031540394,-1.00267720222,-0.5,-1,4,1,200,1,4,6.949715614,0.2116699219,7.105550766,0.2250000089,-0.995003283,0.9900315404,-1.002677202,-0.5,-1,4,1,200,1,4,4.06967237687e-11,8.78941364135e-12
