seed,branches,conflict_probability,epoch,condition,state_comparison,gradient_cosine,signed_signal_ratio,gradient_inner_product
11002,2,0.571428571429,250,backpropagation,common_exact_state,1,1,0.00166084966622
11002,2,0.571428571429,250,gated_point_emulation,own_state,1,1,0.00166084966622
11002,2,0.571428571429,250,gated_point_emulation,common_exact_state,1,1,0.00166084966622
11002,2,0.6,0,neuron_shared_k1,own_state,0.99872636795,0.408249497414,0.178932413459
11002,2,0.6,0,neuron_shared_k1,common_exact_state,0.99872636795,0.408249497414,0.178932413459
11002,2,0.6,0,correct_path,own_state,1,1,0.438291817904
11002,2,0.6,0,correct_path,common_exact_state,1,1,0.438291817904
11002,2,0.6,0,within_neuron_deranged,own_state,-0.975654244423,-0.183501079679,-0.0804270207882
11002,2,0.6,0,within_neuron_deranged,common_exact_state,-0.975654244423,-0.183501079679,-0.0804270207882
11002,2,0.6,0,backpropagation,own_state,1,1,0.438291817904
11002,2,0.6,0,backpropagation,common_exact_state,1,1,0.438291817904
11002,2,0.6,0,gated_point_emulation,own_state,1,1,0.438291817904
11002,2,0.6,0,gated_point_emulation,common_exact_state,1,1,0.438291817904
11002,2,0.6,1,neuron_shared_k1,own_state,0.99873393774,0.405210524797,0.171704232693
11002,2,0.6,1,neuron_shared_k1,common_exact_state,0.998711466789,0.400714546442,0.161602437496
11002,2,0.6,1,correct_path,own_state,1,1,0.403285682201
11002,2,0.6,1,correct_path,common_exact_state,1,1,0.403285682201
11002,2,0.6,1,within_neuron_deranged,own_state,-0.974853992462,-0.18096922338,-0.0804798528552
11002,2,0.6,1,within_neuron_deranged,common_exact_state,-0.979612290859,-0.198570922017,-0.080080807209
11002,2,0.6,1,backpropagation,own_state,1,1,0.403285682201
11002,2,0.6,1,backpropagation,common_exact_state,1,1,0.403285682201
11002,2,0.6,1,gated_point_emulation,own_state,1,1,0.403285682201
11002,2,0.6,1,gated_point_emulation,common_exact_state,1,1,0.403285682201
11002,2,0.6,10,neuron_shared_k1,own_state,0.997945129871,0.378062367439,0.12035433948
11002,2,0.6,10,neuron_shared_k1,common_exact_state,0.989968001842,0.327373981476,0.0654207617044
11002,2,0.6,10,correct_path,own_state,1,1,0.199834942818
11002,2,0.6,10,correct_path,common_exact_state,1,1,0.199834942818
11002,2,0.6,10,within_neuron_deranged,own_state,-0.966339766979,-0.160677880049,-0.0806779116392
11002,2,0.6,10,within_neuron_deranged,common_exact_state,-0.96526736021,-0.345252037048,-0.0689934194088
11002,2,0.6,10,backpropagation,own_state,1,1,0.199834942818
11002,2,0.6,10,backpropagation,common_exact_state,1,1,0.199834942818
11002,2,0.6,10,gated_point_emulation,own_state,1,1,0.199834942818
11002,2,0.6,10,gated_point_emulation,common_exact_state,1,1,0.199834942818
11002,2,0.6,50,neuron_shared_k1,own_state,0.974619746208,0.269520938396,0.0350610911846
11002,2,0.6,50,neuron_shared_k1,common_exact_state,-0.0681008920074,-0.0212486777455,-0.000578192877583
11002,2,0.6,50,correct_path,own_state,1,1,0.0272107701749
11002,2,0.6,50,correct_path,common_exact_state,1,1,0.0272107701749
11002,2,0.6,50,within_neuron_deranged,own_state,-0.878419458866,-0.109653457999,-0.0814349204302
11002,2,0.6,50,within_neuron_deranged,common_exact_state,-0.858548998833,-1.04249727726,-0.0283671543002
11002,2,0.6,50,backpropagation,own_state,1,1,0.0272107701749
11002,2,0.6,50,backpropagation,common_exact_state,1,1,0.0272107701749
11002,2,0.6,50,gated_point_emulation,own_state,1,1,0.0272107701749
11002,2,0.6,50,gated_point_emulation,common_exact_state,1,1,0.0272107701749
11002,2,0.6,100,neuron_shared_k1,own_state,0.892104387283,0.172195598483,0.0126193696633
11002,2,0.6,100,neuron_shared_k1,common_exact_state,-0.397057324648,-0.359309703112,-0.00270948326215
11002,2,0.6,100,correct_path,own_state,1,1,0.00754080200568
11002,2,0.6,100,correct_path,common_exact_state,1,1,0.00754080200568
11002,2,0.6,100,within_neuron_deranged,own_state,-0.735684752464,-0.173195704818,-0.20806697011
11002,2,0.6,100,within_neuron_deranged,common_exact_state,-0.719040811062,-1.71861946583,-0.0129597689956
11002,2,0.6,100,backpropagation,own_state,1,1,0.00754080200568
11002,2,0.6,100,backpropagation,common_exact_state,1,1,0.00754080200568
11002,2,0.6,100,gated_point_emulation,own_state,1,1,0.00754080200568
11002,2,0.6,100,gated_point_emulation,common_exact_state,1,1,0.00754080200568
11002,2,0.6,250,neuron_shared_k1,own_state,0.50358068943,0.0516811423004,0.00220466661267
11002,2,0.6,250,neuron_shared_k1,common_exact_state,-0.18369320035,-0.443671822548,-0.000736872199923
11002,2,0.6,250,correct_path,own_state,1,1,0.00166084966622
11002,2,0.6,250,correct_path,common_exact_state,1,1,0.00166084966622
11002,2,0.6,250,within_neuron_deranged,own_state,-0.942607522011,-0.358546435833,-0.808894813061
11002,2,0.6,250,within_neuron_deranged,common_exact_state,-0.369364142418,-1.88734376431,-0.0031345942989
11002,2,0.6,250,backpropagation,own_state,1,1,0.00166084966622
11002,2,0.6,250,backpropagation,common_exact_state,1,1,0.00166084966622
11002,2,0.6,250,gated_point_emulation,own_state,1,1,0.00166084966622
11002,2,0.6,250,gated_point_emulation,common_exact_state,1,1,0.00166084966622
11002,2,0.666666666667,0,neuron_shared_k1,own_state,0.997558772564,0.344133168459,0.150830745697
11002,2,0.666666666667,0,neuron_shared_k1,common_exact_state,0.997558772564,0.344133168459,0.150830745697
11002,2,0.666666666667,0,correct_path,own_state,1,1,0.438291817904
11002,2,0.666666666667,0,correct_path,common_exact_state,1,1,0.438291817904
11002,2,0.666666666667,0,within_neuron_deranged,own_state,-0.988265991211,-0.311733752489,-0.136630356312
11002,2,0.666666666667,0,within_neuron_deranged,common_exact_state,-0.988265991211,-0.311733752489,-0.136630356312
11002,2,0.666666666667,0,backpropagation,own_state,1,1,0.438291817904
11002,2,0.666666666667,0,backpropagation,common_exact_state,1,1,0.438291817904
11002,2,0.666666666667,0,gated_point_emulation,own_state,1,1,0.438291817904
11002,2,0.666666666667,0,gated_point_emulation,common_exact_state,1,1,0.438291817904
11002,2,0.666666666667,1,neuron_shared_k1,own_state,0.997576773167,0.341266214848,0.145371556282
11002,2,0.666666666667,1,neuron_shared_k1,common_exact_state,0.997525513172,0.335734367371,0.13539686799
11002,2,0.666666666667,1,correct_path,own_state,1,1,0.403285682201
11002,2,0.666666666667,1,correct_path,common_exact_state,1,1,0.403285682201
11002,2,0.666666666667,1,within_neuron_deranged,own_state,-0.987777888775,-0.306922405958,-0.137901365757
11002,2,0.666666666667,1,within_neuron_deranged,common_exact_state,-0.989783644676,-0.328531235456,-0.13249194622
11002,2,0.666666666667,1,backpropagation,own_state,1,1,0.403285682201
11002,2,0.666666666667,1,backpropagation,common_exact_state,1,1,0.403285682201
11002,2,0.666666666667,1,gated_point_emulation,own_state,1,1,0.403285682201
11002,2,0.666666666667,1,gated_point_emulation,common_exact_state,1,1,0.403285682201
11002,2,0.666666666667,10,neuron_shared_k1,own_state,0.996788740158,0.315943807364,0.105763293803
11002,2,0.666666666667,10,neuron_shared_k1,common_exact_state,0.980488479137,0.25399556756,0.0507571920753
11002,2,0.666666666667,10,correct_path,own_state,1,1,0.199834942818
11002,2,0.666666666667,10,correct_path,common_exact_state,1,1,0.199834942818
11002,2,0.666666666667,10,within_neuron_deranged,own_state,-0.981996417046,-0.269531548023,-0.14863973856
11002,2,0.666666666667,10,within_neuron_deranged,common_exact_state,-0.979240179062,-0.492008835077,-0.0983205586672
11002,2,0.666666666667,10,backpropagation,own_state,1,1,0.199834942818
11002,2,0.666666666667,10,backpropagation,common_exact_state,1,1,0.199834942818
11002,2,0.666666666667,10,gated_point_emulation,own_state,1,1,0.199834942818
11002,2,0.666666666667,10,gated_point_emulation,common_exact_state,1,1,0.199834942818
11002,2,0.666666666667,50,neuron_shared_k1,own_state,0.972672104836,0.21836771071,0.0341903865337
11002,2,0.666666666667,50,neuron_shared_k1,common_exact_state,-0.365940034389,-0.135268226266,-0.0036807525903
11002,2,0.666666666667,50,correct_path,own_state,1,1,0.0272107701749
11002,2,0.666666666667,50,correct_path,common_exact_state,1,1,0.0272107701749
