root_id,draw,dose_relative_to_local_input_conductance,perturbation,localization_index,signed_localization,descendant_attenuated_fraction,descendant_enhanced_fraction,descendant_sign_flip_fraction,descendant_gradient_energy_ratio,transport_selectivity
864691135060651419,37,4,focal shunt,1.359825449,-1.359825449,1,0,0,0.06348854152,74.82303092
864691135060651419,37,4,matched additive,0.6294623613,0.6294623613,0,1,0,5.165168246,74.82303092
864691135060651419,38,0.25,focal shunt,0.1605956492,-0.1605956492,1,0,0,0.7224010879,74.75250871
864691135060651419,38,0.25,matched additive,0.05537732125,0.05537732125,0,1,0,1.160764075,74.75250871
864691135060651419,38,1,focal shunt,0.5375068646,-0.5375068646,1,0,0,0.3358220795,74.75250871
864691135060651419,38,1,matched additive,0.2031228754,0.2031228754,0,1,0,1.72224818,74.75250871
864691135060651419,38,4,focal shunt,1.360189433,-1.360189433,1,0,0,0.06344794077,74.75250871
864691135060651419,38,4,matched additive,0.6282390591,0.6282390591,0,1,0,5.156062792,74.75250871
864691135060651419,39,0.25,focal shunt,0.1594218569,-0.1594218569,1,0,0,0.7241709542,73.76483532
864691135060651419,39,0.25,matched additive,0.05674087616,0.05674087616,0,1,0,1.164237353,73.76483532
864691135060651419,39,1,focal shunt,0.5347169342,-0.5347169342,1,0,0,0.3377542893,73.76483532
864691135060651419,39,1,matched additive,0.2077395386,0.2077395386,0,1,0,1.73943694,73.76483532
864691135060651419,39,4,focal shunt,1.355914393,-1.355914393,1,0,0,0.06399878518,73.76483532
864691135060651419,39,4,matched additive,0.63979344,0.63979344,0,1,0,5.277548222,73.76483532
864691135060651419,40,0.25,focal shunt,0.1589728932,-0.1589728932,1,0,0,0.7246963871,73.36902217
864691135060651419,40,0.25,matched additive,0.05727053299,0.05727053299,0,1,0,1.165269986,73.36902217
864691135060651419,40,1,focal shunt,0.5336598365,-0.5336598365,1,0,0,0.338331225,73.36902217
864691135060651419,40,1,matched additive,0.2095178538,0.2095178538,0,1,0,1.744618452,73.36902217
864691135060651419,40,4,focal shunt,1.354311278,-1.354311278,1,0,0,0.0641639356,73.36902217
864691135060651419,40,4,matched additive,0.6441446525,0.6441446525,0,1,0,5.315089946,73.36902217
864691135060651419,41,0.25,focal shunt,0.1603916915,-0.1603916915,1,0,0,0.7226818443,74.40316849
864691135060651419,41,0.25,matched additive,0.05560782466,0.05560782466,0,1,0,1.161315217,74.40316849
864691135060651419,41,1,focal shunt,0.5370252349,-0.5370252349,1,0,0,0.3361275574,74.40316849
864691135060651419,41,1,matched additive,0.2038911655,0.2038911655,0,1,0,1.724962927,74.40316849
864691135060651419,41,4,focal shunt,1.359454808,-1.359454808,1,0,0,0.06353477285,74.40316849
864691135060651419,41,4,matched additive,0.630098813,0.630098813,0,1,0,5.175084648,74.40316849
864691135060651419,42,0.25,focal shunt,0.1592197345,-0.1592197345,1,0,0,0.7245312288,73.83062105
864691135060651419,42,0.25,matched additive,0.05699936741,0.05699936741,0,1,0,1.164946289,73.83062105
864691135060651419,42,1,focal shunt,0.5342495941,-0.5342495941,1,0,0,0.3381468187,73.83062105
864691135060651419,42,1,matched additive,0.2086098929,0.2086098929,0,1,0,1.742959373,73.83062105
864691135060651419,42,4,focal shunt,1.355221131,-1.355221131,1,0,0,0.0641103485,73.83062105
864691135060651419,42,4,matched additive,0.6419231581,0.6419231581,0,1,0,5.302624933,73.83062105
864691135060651419,43,0.25,focal shunt,0.1607627436,-0.1607627436,1,0,0,0.7221068072,74.90583651
864691135060651419,43,0.25,matched additive,0.05519923202,0.05519923202,0,1,0,1.16018787,74.90583651
864691135060651419,43,1,focal shunt,0.5379107464,-0.5379107464,1,0,0,0.3354997347,74.90583651
864691135060651419,43,1,matched additive,0.202519244,0.202519244,0,1,0,1.719398028,74.90583651
864691135060651419,43,4,focal shunt,1.360821252,-1.360821252,1,0,0,0.06335569916,74.90583651
864691135060651419,43,4,matched additive,0.6267238117,0.6267238117,0,1,0,5.135936872,74.90583651
864691135060651419,44,0.25,focal shunt,0.160544439,-0.160544439,1,0,0,0.7225133471,74.70915151
864691135060651419,44,0.25,matched additive,0.05545138457,0.05545138457,0,1,0,1.160988446,74.70915151
864691135060651419,44,1,focal shunt,0.5373973875,-0.5373973875,1,0,0,0.3359412001,74.70915151
864691135060651419,44,1,matched additive,0.2033609733,0.2033609733,0,1,0,1.723364189,74.70915151
864691135060651419,44,4,focal shunt,1.360041661,-1.360041661,1,0,0,0.06348073262,74.70915151
864691135060651419,44,4,matched additive,0.628765943,0.628765943,0,1,0,5.16402321,74.70915151
864691135060651419,45,0.25,focal shunt,0.1600203466,-0.1600203466,1,0,0,0.7232997086,74.18273733
