seed,family,optimizer,rule,reference,population_nmse,accuracy,balanced_accuracy
2026213,or4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026213,or4,sgd,exact,uniform_random_candidate_expectation,0.0008012107010309749,1.0,1.0
2026213,or_of_ands,adam,broadcast,constant_mean_predictor,1.0,0.5625,0.5
2026213,or_of_ands,adam,broadcast,uniform_random_candidate_expectation,0.21976865628998574,0.921875,0.9226190476190477
2026213,or_of_ands,adam,exact,constant_mean_predictor,1.0,0.5625,0.5
2026213,or_of_ands,adam,exact,uniform_random_candidate_expectation,0.21186301830576273,0.9375,0.9444444444444444
2026213,or_of_ands,sgd,broadcast,constant_mean_predictor,1.0,0.5625,0.5
2026213,or_of_ands,sgd,broadcast,uniform_random_candidate_expectation,0.21346026405444302,0.90625,0.9087301587301587
2026213,or_of_ands,sgd,exact,constant_mean_predictor,1.0,0.5625,0.5
2026213,or_of_ands,sgd,exact,uniform_random_candidate_expectation,0.21261420137729337,0.90625,0.9087301587301587
2026213,parity4,adam,broadcast,constant_mean_predictor,1.0,0.5,0.5
2026213,parity4,adam,broadcast,uniform_random_candidate_expectation,0.984526399161699,0.46875,0.46875
2026213,parity4,adam,exact,constant_mean_predictor,1.0,0.5,0.5
2026213,parity4,adam,exact,uniform_random_candidate_expectation,0.00044092807539135,1.0,1.0
2026213,parity4,sgd,broadcast,constant_mean_predictor,1.0,0.5,0.5
2026213,parity4,sgd,broadcast,uniform_random_candidate_expectation,0.9271618191590041,0.578125,0.578125
2026213,parity4,sgd,exact,constant_mean_predictor,1.0,0.5,0.5
2026213,parity4,sgd,exact,uniform_random_candidate_expectation,0.000251112886994075,1.0,1.0
2026213,xor_of_ands,adam,broadcast,constant_mean_predictor,1.0,0.625,0.5
2026213,xor_of_ands,adam,broadcast,uniform_random_candidate_expectation,0.39507542780035354,0.875,0.8916666666666667
2026213,xor_of_ands,adam,exact,constant_mean_predictor,1.0,0.625,0.5
2026213,xor_of_ands,adam,exact,uniform_random_candidate_expectation,0.37706265705905595,0.859375,0.8625
2026213,xor_of_ands,sgd,broadcast,constant_mean_predictor,1.0,0.625,0.5
2026213,xor_of_ands,sgd,broadcast,uniform_random_candidate_expectation,0.39342184605653785,0.875,0.8916666666666667
2026213,xor_of_ands,sgd,exact,constant_mean_predictor,1.0,0.625,0.5
2026213,xor_of_ands,sgd,exact,uniform_random_candidate_expectation,0.37670281295912406,0.859375,0.8625
