seed,task_group,task_group_name,compatible,phase,step,optimizer,learning_rate,student_group,student_group_name,credit_rule,rule_id,state,gradient_cosine,exact_gradient_norm,delivered_gradient_norm,gradient_relative_error,path_capture
15410,1,02_13,True,fresh,1000,sgd,0.3,1,02_13,calibrated_broadcast,1,common_exact_state,0.937802302433539,0.0035668444535938,0.0038694153268182,0.377019377451333,0.9098533576908407
15410,1,02_13,True,fresh,1000,sgd,0.3,1,02_13,subtree_projection,2,common_exact_state,0.9685570542062016,0.0035668444535938,0.0037491650421345,0.2621318540892245,0.9598263153631388
15410,1,02_13,True,fresh,1000,sgd,0.3,1,02_13,broadcast_projection,3,common_exact_state,0.947287136363222,0.0035668444535938,0.0037085788797692,0.3334576324440653,0.9155158946962398
15410,1,02_13,False,fresh,1000,sgd,0.3,2,03_12,exact_path,0,common_exact_state,1.0000000000000002,0.013566073088015,0.013566073088015,0.0,1.0
15410,1,02_13,False,fresh,1000,sgd,0.3,2,03_12,calibrated_broadcast,1,common_exact_state,0.8882232528816856,0.013566073088015,0.0127818606097379,0.4625712903418933,0.8621314977908062
15410,1,02_13,False,fresh,1000,sgd,0.3,2,03_12,subtree_projection,2,common_exact_state,0.9392366718152776,0.013566073088015,0.0115607970500024,0.3541363536936115,0.9553149987580396
15410,1,02_13,False,fresh,1000,sgd,0.3,2,03_12,broadcast_projection,3,common_exact_state,0.8901232878561236,0.013566073088015,0.0121038549674512,0.4557245966644868,0.8724841261443572
15410,1,02_13,False,fresh,1000,adam,0.01,0,01_23,exact_path,0,common_exact_state,1.0,0.0208127007019517,0.0208127007019517,0.0,1.0
15410,1,02_13,False,fresh,1000,adam,0.01,0,01_23,calibrated_broadcast,1,common_exact_state,0.947349951003929,0.0208127007019517,0.0190705542263565,0.3217025615382095,0.9617095973281726
15410,1,02_13,False,fresh,1000,adam,0.01,0,01_23,subtree_projection,2,common_exact_state,0.9578176850146468,0.0208127007019517,0.0185581009498887,0.2948907314920412,0.977235801931148
15410,1,02_13,False,fresh,1000,adam,0.01,0,01_23,broadcast_projection,3,common_exact_state,0.95257255764855,0.0208127007019517,0.0186122709168166,0.3098453918920874,0.9650902956338462
15410,1,02_13,True,fresh,1000,adam,0.01,1,02_13,exact_path,0,common_exact_state,1.0000000000000002,0.0030938577956823,0.0030938577956823,0.0,1.0
15410,1,02_13,True,fresh,1000,adam,0.01,1,02_13,calibrated_broadcast,1,common_exact_state,0.9643932351435262,0.0030938577956823,0.0031404736421415,0.2692833843582205,0.914982283419027
15410,1,02_13,True,fresh,1000,adam,0.01,1,02_13,subtree_projection,2,common_exact_state,0.9739750195749562,0.0030938577956823,0.0030318704367112,0.226734500424778,0.960660904951574
15410,1,02_13,True,fresh,1000,adam,0.01,1,02_13,broadcast_projection,3,common_exact_state,0.9683319946095914,0.0030938577956823,0.0030891564813542,0.2514797740283755,0.9194440771712366
15410,1,02_13,False,fresh,1000,adam,0.01,2,03_12,exact_path,0,common_exact_state,1.0,0.0225000518298715,0.0225000518298715,0.0,1.0
15410,1,02_13,False,fresh,1000,adam,0.01,2,03_12,calibrated_broadcast,1,common_exact_state,0.9010747241551912,0.0225000518298715,0.0218556478756319,0.4393225990758966,0.8737855855128049
15410,1,02_13,False,fresh,1000,adam,0.01,2,03_12,subtree_projection,2,common_exact_state,0.933560824482393,0.0225000518298715,0.0219490860452042,0.3608658280596279,0.9553506649502111
15410,1,02_13,False,fresh,1000,adam,0.01,2,03_12,broadcast_projection,3,common_exact_state,0.900992456983789,0.0225000518298715,0.0203889380443049,0.4338656817831997,0.8823267204674762
15410,2,03_12,False,fresh,0,sgd,0.3,0,01_23,exact_path,0,common_exact_state,1.0000000000000002,0.5965608042519609,0.5965608042519609,0.0,1.0
15410,2,03_12,False,fresh,0,sgd,0.3,0,01_23,calibrated_broadcast,1,common_exact_state,0.9975258304724938,0.5965608042519609,0.6195906543861502,0.0814227450743362,0.9872803907576088
15410,2,03_12,False,fresh,0,sgd,0.3,0,01_23,subtree_projection,2,common_exact_state,0.9978264600362436,0.5965608042519609,0.6081037318537573,0.0693222952342913,0.9895163337964366
15410,2,03_12,False,fresh,0,sgd,0.3,0,01_23,broadcast_projection,3,common_exact_state,0.9974954137500096,0.5965608042519609,0.6113499656112362,0.0758151194021383,0.9886783553662216
15410,2,03_12,False,fresh,0,sgd,0.3,1,02_13,exact_path,0,common_exact_state,0.9999999999999998,1.0141999652161222,1.0141999652161222,0.0,1.0
15410,2,03_12,False,fresh,0,sgd,0.3,1,02_13,calibrated_broadcast,1,common_exact_state,0.999805763685129,1.0141999652161222,1.0248619200390217,0.0224292856818542,0.9872803907576088
15410,2,03_12,False,fresh,0,sgd,0.3,1,02_13,subtree_projection,2,common_exact_state,0.9997908835735048,1.0141999652161222,1.0199888226303706,0.0212884734837454,0.9895163337964366
15410,2,03_12,False,fresh,0,sgd,0.3,1,02_13,broadcast_projection,3,common_exact_state,0.999789834863558,1.0141999652161222,1.0210516967294572,0.021652038365447,0.9886783553662216
15410,2,03_12,True,fresh,0,sgd,0.3,2,03_12,exact_path,0,common_exact_state,1.0,0.9939033280246574,0.9939033280246574,0.0,1.0
15410,2,03_12,True,fresh,0,sgd,0.3,2,03_12,calibrated_broadcast,1,common_exact_state,0.9997001852073676,0.9939033280246574,1.0033677923403028,0.0263821522447103,0.9872803907576088
15410,2,03_12,True,fresh,0,sgd,0.3,2,03_12,subtree_projection,2,common_exact_state,0.999727850547104,0.9939033280246574,0.9981214889424832,0.0237617500655784,0.9895163337964366
15410,2,03_12,True,fresh,0,sgd,0.3,2,03_12,broadcast_projection,3,common_exact_state,0.9996727955336604,0.9939033280246574,0.998782257866016,0.0261097341082569,0.9886783553662216
15410,2,03_12,False,fresh,0,adam,0.01,0,01_23,exact_path,0,common_exact_state,1.0000000000000002,0.5965608042519609,0.5965608042519609,0.0,1.0
15410,2,03_12,False,fresh,0,adam,0.01,0,01_23,calibrated_broadcast,1,common_exact_state,0.9975258304724938,0.5965608042519609,0.6195906543861502,0.0814227450743362,0.9872803907576088
15410,2,03_12,False,fresh,0,adam,0.01,0,01_23,subtree_projection,2,common_exact_state,0.9978264600362436,0.5965608042519609,0.6081037318537573,0.0693222952342913,0.9895163337964366
15410,2,03_12,False,fresh,0,adam,0.01,0,01_23,broadcast_projection,3,common_exact_state,0.9974954137500096,0.5965608042519609,0.6113499656112362,0.0758151194021383,0.9886783553662216
15410,2,03_12,False,fresh,0,adam,0.01,1,02_13,exact_path,0,common_exact_state,0.9999999999999998,1.0141999652161222,1.0141999652161222,0.0,1.0
15410,2,03_12,False,fresh,0,adam,0.01,1,02_13,calibrated_broadcast,1,common_exact_state,0.999805763685129,1.0141999652161222,1.0248619200390217,0.0224292856818542,0.9872803907576088
15410,2,03_12,False,fresh,0,adam,0.01,1,02_13,subtree_projection,2,common_exact_state,0.9997908835735048,1.0141999652161222,1.0199888226303706,0.0212884734837454,0.9895163337964366
15410,2,03_12,False,fresh,0,adam,0.01,1,02_13,broadcast_projection,3,common_exact_state,0.999789834863558,1.0141999652161222,1.0210516967294572,0.021652038365447,0.9886783553662216
15410,2,03_12,True,fresh,0,adam,0.01,2,03_12,exact_path,0,common_exact_state,1.0,0.9939033280246574,0.9939033280246574,0.0,1.0
15410,2,03_12,True,fresh,0,adam,0.01,2,03_12,calibrated_broadcast,1,common_exact_state,0.9997001852073676,0.9939033280246574,1.0033677923403028,0.0263821522447103,0.9872803907576088
15410,2,03_12,True,fresh,0,adam,0.01,2,03_12,subtree_projection,2,common_exact_state,0.999727850547104,0.9939033280246574,0.9981214889424832,0.0237617500655784,0.9895163337964366
15410,2,03_12,True,fresh,0,adam,0.01,2,03_12,broadcast_projection,3,common_exact_state,0.9996727955336604,0.9939033280246574,0.998782257866016,0.0261097341082569,0.9886783553662216
15410,2,03_12,False,fresh,10,sgd,0.3,0,01_23,exact_path,0,common_exact_state,1.0,0.0619932634021373,0.0619932634021373,0.0,1.0
15410,2,03_12,False,fresh,10,sgd,0.3,0,01_23,calibrated_broadcast,1,common_exact_state,0.9714953547707956,0.0619932634021373,0.0717499146384778,0.3012487098470936,0.9573778663062268
15410,2,03_12,False,fresh,10,sgd,0.3,0,01_23,subtree_projection,2,common_exact_state,0.9859645990785572,0.0619932634021373,0.0647254848553735,0.1767777737450946,0.9893946552662356
15410,2,03_12,False,fresh,10,sgd,0.3,0,01_23,broadcast_projection,3,common_exact_state,0.9746998643060236,0.0619932634021373,0.0690509316965823,0.2632902320918145,0.959258626249282
15410,2,03_12,False,fresh,10,sgd,0.3,1,02_13,exact_path,0,common_exact_state,1.0,0.0856228846546729,0.0856228846546729,0.0,1.0
