root_id,channels,method,capture,wiring_nonzeros,control_sd
864691135409937097,2,dense SVD oracle,0.36463041947840363,,
864691135409937097,2,morphology paths,0.09412691948076288,2.0,
864691135409937097,2,random real paths,0.07685659642530529,,0.05377563573508778
864691135409937097,2,row-shuffled paths,0.027095985212502706,,0.019167566108211433
864691135409937097,2,degree-depth surrogate tree,0.1631618952191951,,0.03241865550139024
864691135409937097,2,depth bins,0.28457480152756365,,
864691135409937097,4,dense SVD oracle,0.4623438294649059,,
864691135409937097,4,morphology paths,0.1884887422755291,8.0,
864691135409937097,4,random real paths,0.1483971039614309,,0.07303385732458147
864691135409937097,4,row-shuffled paths,0.07580450486967066,,0.0280025562916044
864691135409937097,4,degree-depth surrogate tree,0.24849443393015924,,0.024395291164789112
864691135409937097,4,depth bins,0.3178356726674859,,
864691135409937097,8,dense SVD oracle,0.6007038156349869,,
864691135409937097,8,morphology paths,0.4130931779488741,54.0,
864691135409937097,8,random real paths,0.27514952232933937,,0.08283171375720186
864691135409937097,8,row-shuffled paths,0.24101123057132173,,0.034477125001344956
864691135409937097,8,degree-depth surrogate tree,0.3648553779292435,,0.017102131811162963
864691135409937097,8,depth bins,0.3661322271342235,,
864691135409937097,16,dense SVD oracle,0.7727620847219298,,
864691135409937097,16,morphology paths,0.58698844387694,66.0,
864691135409937097,16,random real paths,0.4709512050649238,,0.0684284645364618
864691135409937097,16,row-shuffled paths,0.34458643130970074,,0.04750737282378737
864691135409937097,16,degree-depth surrogate tree,0.560434319212628,,0.020800367975087733
864691135409937097,16,depth bins,0.4565860621002898,,
864691135739661169,1,dense SVD oracle,0.5298802396567204,,
864691135739661169,1,morphology paths,0.2230137941406022,3.0,
864691135739661169,1,random real paths,0.09279133130787669,,0.09686064817324985
864691135739661169,1,row-shuffled paths,0.0698207589787684,,0.04490508463876079
864691135739661169,1,degree-depth surrogate tree,0.22064157723905772,,0.0477117965685993
864691135739661169,1,depth bins,0.5211053406685912,,
864691135739661169,2,dense SVD oracle,0.669136142417553,,
864691135739661169,2,morphology paths,0.2924188456357522,6.0,
864691135739661169,2,random real paths,0.17643948646861546,,0.12549748752476564
