group,run_name,run_dir,seed,strategy,network_type,router_mode,variant,display_label,train_accuracy,valid_accuracy,test_accuracy,router_mean_max_assignment,router_assignment_entropy
cue_hard_learned_additive_standard,cue_hard_learned_additive_standard_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_38,45,standard,dendritic_additive,learned,baseline,"Learned
Additive
BP",0.9938750267028809,0.9950000643730164,0.9940000176429749,0.9999987483024597,1.8238006305182353e-05
cue_hard_learned_additive_standard,cue_hard_learned_additive_standard_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_39,46,standard,dendritic_additive,learned,baseline,"Learned
Additive
BP",0.9920000433921814,0.9940000176429749,0.9970000386238098,0.9999986886978149,1.9984965547337197e-05
cue_hard_fixed_additive_localca,cue_hard_fixed_additive_localca_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_4,46,local_ca,dendritic_additive,fixed,baseline,"Fixed
Additive",0.9906250238418579,0.9920000433921814,0.9950000643730164,,
cue_hard_learned_shunting_standard,cue_hard_learned_shunting_standard_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_40,42,standard,dendritic_shunting,learned,baseline,"Learned
Shunting
BP",0.9918750524520874,0.9970000386238098,0.9930000305175781,0.9999983906745911,2.3928678274387494e-05
cue_hard_learned_shunting_standard,cue_hard_learned_shunting_standard_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_41,43,standard,dendritic_shunting,learned,baseline,"Learned
Shunting
BP",0.9938750267028809,0.9960000514984131,0.9860000610351562,0.9999978542327881,2.992954250657931e-05
cue_hard_learned_shunting_standard,cue_hard_learned_shunting_standard_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_42,44,standard,dendritic_shunting,learned,baseline,"Learned
Shunting
BP",0.9922500252723694,0.9880000352859497,0.9890000224113464,0.9999983310699463,2.321412648598198e-05
cue_hard_learned_shunting_standard,cue_hard_learned_shunting_standard_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_43,45,standard,dendritic_shunting,learned,baseline,"Learned
Shunting
BP",0.9946250319480896,0.9940000176429749,0.9940000176429749,0.9999986290931702,2.066535671474412e-05
cue_hard_learned_shunting_standard,cue_hard_learned_shunting_standard_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_44,46,standard,dendritic_shunting,learned,baseline,"Learned
Shunting
BP",0.9917500615119934,0.9960000514984131,0.9970000386238098,0.9999984502792358,2.1712647139793262e-05
cue_hard_fixed_shunting_localca,cue_hard_fixed_shunting_localca_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_5,42,local_ca,dendritic_shunting,fixed,baseline,"Fixed
Shunting",0.9798750281333923,0.987000048160553,0.9820000529289246,,
cue_hard_fixed_shunting_localca,cue_hard_fixed_shunting_localca_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_6,43,local_ca,dendritic_shunting,fixed,baseline,"Fixed
Shunting",0.8726250529289246,0.8760000467300415,0.8730000257492065,,
cue_hard_fixed_shunting_localca,cue_hard_fixed_shunting_localca_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_7,44,local_ca,dendritic_shunting,fixed,baseline,"Fixed
Shunting",0.8865000605583191,0.8890000581741333,0.8600000143051147,,
cue_hard_fixed_shunting_localca,cue_hard_fixed_shunting_localca_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_8,45,local_ca,dendritic_shunting,fixed,baseline,"Fixed
Shunting",0.9937500357627869,0.9960000514984131,0.9930000305175781,,
cue_hard_fixed_shunting_localca,cue_hard_fixed_shunting_localca_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_9,46,local_ca,dendritic_shunting,fixed,baseline,"Fixed
Shunting",0.9078750610351562,0.9130000472068787,0.9340000152587891,,
cue_hard_learned_shunting_localca_e140,cue_hard_learned_shunting_localca_e140_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_tuning_20260307000918/results/config_0,42,local_ca,dendritic_shunting,learned,baseline_e140,"Learned
Shunting
per-soma
140 ep",0.749125063419342,0.7750000357627869,0.7260000109672546,0.9387871026992798,0.18565544486045837
cue_hard_learned_shunting_localca_e140,cue_hard_learned_shunting_localca_e140_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_tuning_20260307000918/results/config_1,43,local_ca,dendritic_shunting,learned,baseline_e140,"Learned
Shunting
per-soma
140 ep",0.9936250448226929,0.9970000386238098,0.9850000739097595,0.9895715713500977,0.04171978682279587
cue_hard_learned_shunting_localca_pathway_vector_e140,cue_hard_learned_shunting_localca_pathway_vector_e140_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_tuning_20260307000918/results/config_10,42,local_ca,dendritic_shunting,learned,pathway_vector_e140,"Learned
Shunting
pathway-vector
140 ep",0.9911250472068787,0.9970000386238098,0.9890000224113464,0.9806950092315674,0.07565122097730637
cue_hard_learned_shunting_localca_pathway_vector_e140,cue_hard_learned_shunting_localca_pathway_vector_e140_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_tuning_20260307000918/results/config_11,43,local_ca,dendritic_shunting,learned,pathway_vector_e140,"Learned
Shunting
pathway-vector
140 ep",0.9942500591278076,0.9950000643730164,0.9860000610351562,0.9999880194664001,0.00013955305621493608
cue_hard_learned_shunting_localca_pathway_vector_e140,cue_hard_learned_shunting_localca_pathway_vector_e140_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_tuning_20260307000918/results/config_12,44,local_ca,dendritic_shunting,learned,pathway_vector_e140,"Learned
Shunting
pathway-vector
140 ep",0.9921250343322754,0.9910000562667847,0.9890000224113464,0.987542450428009,0.053035374730825424
