scan,partner_index,measured_split_half_spearman,clipped_measured_spearman,pearson_signal_fraction,simulated_mean_split_half_spearman,simulated_se,n_simulated,pre_pt_root_id,repeat_reliability
target258209_ses4_scan7_automatic_conservative,8,0.0959543914889556,0.0959543914889556,0.1004409355341793,0.1005526930967034,0.0026632471147948,1000,864691135347693215,0.0959543914889556
target258209_ses4_scan7_automatic_conservative,9,0.1554649110252373,0.1554649110252373,0.162622741101784,0.1589471924049425,0.0026702211119613,1000,864691135442839112,0.1554649110252373
target258209_ses4_scan7_automatic_conservative,10,0.0847001574352368,0.0847001574352368,0.0886687248064419,0.0825938457134678,0.0026911357271012,1000,864691135943762036,0.0847001574352368
target258209_ses4_scan7_automatic_conservative,11,0.0352273269405085,0.0352273269405085,0.0368878787740782,0.0379529554887648,0.0026678275951664,1000,864691135582973549,0.0352273269405085
target258209_ses8_scan5_automatic_conservative,0,0.1127856495396212,0.1127856495396212,0.1180402186720974,0.1176932684509327,0.0027344098681549,1000,864691135545285672,0.1127856495396212
target258209_ses8_scan5_automatic_conservative,1,0.3782882496064119,0.3782882496064119,0.3935573461196543,0.3794268260102094,0.0024295055822724,1000,864691135102434592,0.3782882496064119
target258209_ses8_scan5_automatic_conservative,2,0.3955011688373646,0.3955011688373646,0.4112140175251107,0.3968008158007728,0.002411744417201,1000,864691136335276211,0.3955011688373646
target258209_ses8_scan5_automatic_conservative,3,0.4294833261771862,0.4294833261771862,0.4459728118246706,0.4325290301035256,0.0023130583301409,1000,864691135376325193,0.4294833261771861
target258209_ses8_scan5_automatic_conservative,4,0.2805686751586279,0.2805686751586279,0.2927551709088559,0.2818433710223749,0.0026082058261099,1000,864691135294476214,0.2805686751586279
target258209_ses8_scan5_automatic_conservative,5,0.1436381852010877,0.1436381852010877,0.1502757932520056,0.1423469824912933,0.002688320871383,1000,864691135347693215,0.1436381852010877
target258209_ses8_scan5_automatic_conservative,6,0.2466151424073279,0.2466151424073279,0.2575376863745997,0.2442197557368446,0.0025095812804857,1000,864691135739736689,0.2466151424073278
target258209_ses8_scan5_automatic_conservative,7,0.397881780449406,0.397881780449406,0.4136534048707149,0.3909756786412862,0.0022894700567979,1000,864691135442905672,0.397881780449406
target258209_ses8_scan5_automatic_conservative,8,0.3387910882114402,0.3387910882114402,0.3529234481830123,0.3416095749248604,0.0024540062247487,1000,864691135442668872,0.3387910882114402
target258209_ses8_scan5_automatic_conservative,9,0.4290587281141167,0.4290587281141167,0.445539358050116,0.4299810696054578,0.002267401762948,1000,864691135582973549,0.4290587281141166
target258209_ses8_scan5_automatic_conservative,10,0.2618959019130766,0.2618959019130766,0.2733980255590412,0.2641258289203759,0.0026092152291771,1000,864691136093372084,0.2618959019130766
target258209_ses8_scan5_automatic_conservative,11,0.5007442393015601,0.5007442393015601,0.5183908602197669,0.4995724631458423,0.0021208263124903,1000,864691136086755436,0.50074423930156
target258209_ses8_scan5_automatic_conservative,12,0.2964123849053003,0.2964123849053003,0.3091576927053201,0.2940191593912504,0.0025577997806388,1000,864691135470787666,0.2964123849053003
target258209_ses8_scan5_automatic_conservative,13,0.2461142121082009,0.2461142121082009,0.2570174718001188,0.2478202709794379,0.0026651579920187,1000,864691136906009522,0.2461142121082009
target258209_ses8_scan5_automatic_conservative,14,0.2910214207337436,0.2910214207337436,0.3035789191948229,0.2907224130528124,0.0025378959878524,1000,864691136665194974,0.2910214207337435
target258209_ses8_scan5_automatic_conservative,15,0.2048948046371833,0.2048948046371833,0.2141539819675601,0.2019740088736224,0.002644955119955,1000,864691136118618136,0.2048948046371833
target258209_ses8_scan5_automatic_conservative,16,0.1565955822718381,0.1565955822718381,0.163802828053318,0.1567911406898525,0.0026162363857242,1000,864691135943762036,0.1565955822718381
target264871_ses7_scan3_automatic_conservative,0,0.2971900195601354,0.2971900195601354,0.3099622162011496,0.2971180668861218,0.0025331826239902,1000,864691135134507936,0.2971900195601354
target264871_ses7_scan3_automatic_conservative,1,0.426344162969324,0.426344162969324,0.4427676565273906,0.4256030723725013,0.0022909817823863,1000,864691135134945184,0.4263441629693238
target264871_ses7_scan3_automatic_conservative,2,0.2566862268021563,0.2566862268021563,0.2679926694544559,0.259169137922809,0.0023973191505473,1000,864691135349884119,0.2566862268021563
