method,mode,field_match,update_match,update_cosine,static_update_match_replay_error,target_root_id,session,scan_idx,replicate,n_sites,dictionary_channels,exact_heldout_normalized_mse,exact_endpoint_replay_error
topology-matched routes,trialwise_update_oracle,,0.0366377935946,0.191410014353,3.92928675708e-11,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
site-shuffled routes,frozen_baseline,0.915405651728,0.969492473913,0.985975599322,5.62117019598e-12,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
site-shuffled routes,trialwise_field_projection,0.924452215003,0.974813362969,0.987326371049,5.62117019598e-12,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
site-shuffled routes,trialwise_update_oracle,,0.974813362969,0.987326371049,5.62117019598e-12,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
random anatomical routes,frozen_baseline,0.912327667781,0.957516128184,0.979765696093,3.02262659346e-11,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
random anatomical routes,trialwise_field_projection,0.920788555079,0.96158604161,0.980608989803,3.02262659346e-11,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
random anatomical routes,trialwise_update_oracle,,0.965067979456,0.982378735242,3.02262659346e-11,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
unprojected baseline transfer,frozen_baseline,0.989575581702,0.993631896052,0.99827782508,,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
topology-matched routes,frozen_baseline,0.0716612094103,0.0443495745933,0.213314709391,2.5703213169e-10,864691135810666525,6,4,6,6,4,0.795059573478,5.37136668477e-10
topology-matched routes,trialwise_field_projection,0.0732042042105,0.0457757321476,0.213952639964,2.5703213169e-10,864691135810666525,6,4,6,6,4,0.795059573478,5.37136668477e-10
topology-matched routes,trialwise_update_oracle,,0.0457757321476,0.213952639964,2.5703213169e-10,864691135810666525,6,4,6,6,4,0.795059573478,5.37136668477e-10
site-shuffled routes,frozen_baseline,0.0268905678198,-0.000368300799624,0.0529266921225,6.04510029274e-12,864691135810666525,6,4,6,6,4,0.795059573478,5.37136668477e-10
site-shuffled routes,trialwise_field_projection,0.0398758137837,0.00327242703388,0.0572051311849,6.04510029274e-12,864691135810666525,6,4,6,6,4,0.795059573478,5.37136668477e-10
site-shuffled routes,trialwise_update_oracle,,0.00327242703388,0.0572051311849,6.04510029274e-12,864691135810666525,6,4,6,6,4,0.795059573478,5.37136668477e-10
random anatomical routes,frozen_baseline,0.0759122149082,0.00722215387052,0.0959538006277,1.00994074215e-11,864691135810666525,6,4,6,6,4,0.795059573478,5.37136668477e-10
