config_id,model_type,ie_synapses,dataset,seed,strategy,broadcast_mode,layer_name,is_shunting,R_tot_mean,R_tot_std,R_tot_median,R_tot_q25,R_tot_q75,R_tot_max,R_tot_min,g_tot_mean,g_tot_std,voltage_mean,voltage_std,sensitivity_exc_mean,sensitivity_exc_std,sensitivity_inh_mean,sensitivity_inh_std
config_5,dendritic_shunting,2,mnist,43,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,True,0.7723516821861267,0.18100307881832123,0.7960042357444763,0.652316689491272,0.9228193461894989,1.0,0.055753741413354874,1.48931884765625,1.2796063423156738,0.2710218131542206,0.21931272745132446,0.5940501093864441,0.27040669322013855,0.1783016175031662,0.109102763235569
config_5,dendritic_shunting,2,mnist,43,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,True,0.019904037937521935,0.0012252185260877013,0.020328745245933533,0.02012014575302601,0.020491767674684525,0.02113911882042885,0.013454016298055649,50.46422576904297,3.631218433380127,0.2879253327846527,0.2565871477127075,0.014157067984342575,0.0051847961731255054,0.005746970418840647,0.005161586683243513
config_5,dendritic_shunting,2,mnist,43,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,True,0.019956693053245544,7.698794070165604e-05,0.019963080063462257,0.019916565157473087,0.02001917641609907,0.02006632275879383,0.019802305847406387,50.10924530029297,0.19366994500160217,0.30706140398979187,0.2663947343826294,0.01382623054087162,0.005310276057571173,0.0061304643750190735,0.005319593939930201
config_50,dendritic_additive,10,mnist,44,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4878104627132416,0.024997754022479057,0.512189507484436,0.024997754022479057,0.4878104627132416,0.024997754022479057
config_50,dendritic_additive,10,mnist,44,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.508258581161499,0.03793153911828995,0.49174144864082336,0.03793153911828995,0.508258581161499,0.03793153911828995
config_50,dendritic_additive,10,mnist,44,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5487618446350098,0.004059724509716034,0.45123815536499023,0.004059724509716034,0.5487618446350098,0.004059724509716034
config_51,dendritic_additive,10,mnist,45,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4879116415977478,0.02720092423260212,0.5120883584022522,0.02720092423260212,0.4879116415977478,0.02720092423260212
config_51,dendritic_additive,10,mnist,45,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5038589239120483,0.04381968453526497,0.4961410462856293,0.04381968453526497,0.5038589239120483,0.04381968453526497
config_51,dendritic_additive,10,mnist,45,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5465525388717651,0.004349496215581894,0.4534474313259125,0.004349496215581894,0.5465525388717651,0.004349496215581894
config_52,dendritic_additive,10,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.485956072807312,0.023777272552251816,0.514043927192688,0.023777272552251816,0.485956072807312,0.023777272552251816
config_52,dendritic_additive,10,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.519798219203949,0.030038531869649887,0.48020172119140625,0.03003852814435959,0.519798219203949,0.030038531869649887
config_52,dendritic_additive,10,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5519498586654663,0.002965531311929226,0.4480501115322113,0.002965531311929226,0.5519498586654663,0.002965531311929226
