seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,validation_nmse,test_nmse,gradient_clipped_steps,projected_steps,bound
2111,opposed_strong,bound_sensitivity,12288,sgd,calibrated_broadcast,0.3,True,True,0.5270629675503098,0.5252087640801513,0,4032,7.0
2111,opposed_strong,bound_sensitivity,12288,sgd,ancestry_three_oracle,0.3,True,True,0.0002195006067618246,0.0002217819569176441,0,0,7.0
2111,opposed_strong,bound_sensitivity,16384,adam,exact,0.03,True,True,1.8243550361825407e-06,1.8124294334643722e-06,0,0,7.0
2111,opposed_strong,bound_sensitivity,16384,adam,unit_broadcast,0.03,True,True,1.0067020481482571,1.0061190817266314,0,5567,7.0
2111,opposed_strong,bound_sensitivity,16384,adam,calibrated_broadcast,0.03,True,True,1.0067020346974065,1.0061191116978694,0,5467,7.0
2111,opposed_strong,bound_sensitivity,16384,adam,ancestry_three_oracle,0.03,True,True,6.825498033237733e-08,6.611094310148542e-08,0,0,7.0
2111,opposed_strong,bound_sensitivity,16384,sgd,exact,0.3,True,True,0.00020676088905918343,0.00020983683820312217,0,0,7.0
2111,opposed_strong,bound_sensitivity,16384,sgd,unit_broadcast,0.3,True,True,0.8960561702976769,0.894328961785197,0,2039,7.0
2111,opposed_strong,bound_sensitivity,16384,sgd,calibrated_broadcast,0.3,True,True,0.5072432607217159,0.5066226027914372,0,6654,7.0
2111,opposed_strong,bound_sensitivity,16384,sgd,ancestry_three_oracle,0.3,True,True,0.00019961244024645238,0.00020262954255624027,0,0,7.0
2111,aligned_strong,bound_sensitivity,0,adam,exact,0.03,True,True,1.8136191181625936,1.758503020902279,0,0,20.0
2111,aligned_strong,bound_sensitivity,0,adam,unit_broadcast,0.03,True,True,1.8136191181625936,1.758503020902279,0,0,20.0
2111,aligned_strong,bound_sensitivity,0,adam,calibrated_broadcast,0.03,True,True,1.8136191181625936,1.758503020902279,0,0,20.0
2111,aligned_strong,bound_sensitivity,0,adam,ancestry_three_oracle,0.03,True,True,1.8136191181625936,1.758503020902279,0,0,20.0
2111,aligned_strong,bound_sensitivity,0,sgd,exact,0.3,True,True,1.8136191181625936,1.758503020902279,0,0,20.0
2111,aligned_strong,bound_sensitivity,0,sgd,unit_broadcast,0.3,True,True,1.8136191181625936,1.758503020902279,0,0,20.0
2111,aligned_strong,bound_sensitivity,0,sgd,calibrated_broadcast,0.3,True,True,1.8136191181625936,1.758503020902279,0,0,20.0
2111,aligned_strong,bound_sensitivity,0,sgd,ancestry_three_oracle,0.3,True,True,1.8136191181625936,1.758503020902279,0,0,20.0
2111,aligned_strong,bound_sensitivity,64,adam,exact,0.03,True,True,0.030945843545768223,0.03045496074206234,0,0,20.0
2111,aligned_strong,bound_sensitivity,64,adam,unit_broadcast,0.03,True,True,0.022892124825934237,0.022503394307883205,0,0,20.0
2111,aligned_strong,bound_sensitivity,64,adam,calibrated_broadcast,0.03,True,True,0.022892146851085888,0.022503417447908555,0,0,20.0
2111,aligned_strong,bound_sensitivity,64,adam,ancestry_three_oracle,0.03,True,True,0.03318906866335492,0.03281227410827424,0,0,20.0
2111,aligned_strong,bound_sensitivity,64,sgd,exact,0.3,True,True,0.09395453927062673,0.09465068180375032,0,0,20.0
2111,aligned_strong,bound_sensitivity,64,sgd,unit_broadcast,0.3,True,True,0.01387321848816092,0.014045842607957734,0,0,20.0
2111,aligned_strong,bound_sensitivity,64,sgd,calibrated_broadcast,0.3,True,True,0.1382087573763286,0.13862671254737574,0,0,20.0
