root_id,channels,method,credit_capture,seed_capture_sd,wiring_nonzeros,wiring_density,n_monte_carlo_streams
864691135495249040,4,dense PCA oracle,0.5641078812700878,0.012015262271708934,148.0,1.0,20
864691135495249040,4,depth-only bins,0.19988206948106485,0.0068474557887915856,37.0,0.25,20
864691135495249040,4,morphology-aware paths,0.5495239361281056,0.012780896660024542,9.0,0.0608108108108108,20
864691135495249040,4,random paths,0.1150424453352403,0.010921027393341103,7.56171875,0.0510926942567567,20
864691135495249040,4,shuffled ancestry,0.12954316990416032,0.00827323543402649,9.0,0.0608108108108108,20
864691135495249040,8,dense PCA oracle,0.7830453311901574,0.007474660285623761,296.0,1.0,20
864691135495249040,8,depth-only bins,0.29837699417661073,0.007697413334596587,37.0,0.125,20
864691135495249040,8,morphology-aware paths,0.6888705844787837,0.008850234247536054,15.0,0.0506756756756756,20
864691135495249040,8,random paths,0.2370039620037025,0.009033564421459467,15.259375,0.051551942567567524,20
864691135495249040,8,shuffled ancestry,0.23999045282626064,0.01044601178284301,15.0,0.0506756756756756,20
864691135495249040,16,dense PCA oracle,0.9636137483973071,0.0012410989801996868,592.0,1.0,20
864691135495249040,16,depth-only bins,0.5604479005984363,0.008032842516527259,37.0,0.0625,20
864691135495249040,16,morphology-aware paths,0.9342745526431189,0.002739056012889383,30.0,0.0506756756756756,20
864691135495249040,16,random paths,0.44253152803450657,0.02020408970128693,29.97578125,0.05063476562499995,20
864691135495249040,16,shuffled ancestry,0.44050322128300123,0.01420739084295563,30.0,0.0506756756756756,20
864691135502788957,1,dense PCA oracle,0.20269165568737604,0.011840563687728402,38.0,1.0,20
864691135502788957,1,depth-only bins,0.04597857717979237,0.003565877380247175,38.0,1.0,20
864691135502788957,1,morphology-aware paths,0.1694658261261688,0.008972542889880575,1.0,0.0263157894736842,20
864691135502788957,1,random paths,0.021332734226398285,0.004317876142725124,1.66875,0.04391447368421049,20
864691135502788957,1,shuffled ancestry,0.028499914769685795,0.005026935053471686,1.0,0.0263157894736842,20
864691135502788957,2,dense PCA oracle,0.3713280330863666,0.011391672947388796,76.0,1.0,20
864691135502788957,2,depth-only bins,0.0830942121789173,0.004832498499745796,38.0,0.5,20
864691135502788957,2,morphology-aware paths,0.3661769028499888,0.01275434719206117,2.0,0.0263157894736842,20
864691135502788957,2,random paths,0.04078513995134912,0.005779743816118315,3.375,0.04440789473684205,20
864691135502788957,2,shuffled ancestry,0.04751900183589238,0.008738670016020831,2.0,0.0263157894736842,20
864691135502788957,4,dense PCA oracle,0.580289326471369,0.010175860092479925,152.0,1.0,20
864691135502788957,4,depth-only bins,0.14915975269372372,0.005331424395327185,38.0,0.25,20
864691135502788957,4,morphology-aware paths,0.5170706364794199,0.011489369904956769,5.0,0.0328947368421052,20
864691135502788957,4,random paths,0.08454231805353712,0.009417487406373196,6.59921875,0.043415912828947315,20
