seed,topology,owner,active_contacts,unique_input_features,input_coverage_fraction,repeated_contact_fraction,mean_pairwise_branch_jaccard,feature_degree_cv
42,random,25,336,283,0.36096938775510207,0.15773809523809523,0.01254143214509068,1.4766704288891124
42,random,26,336,268,0.34183673469387754,0.20238095238095233,0.015214196372732958,1.536590742882148
42,random,27,336,267,0.3405612244897959,0.2053571428571429,0.017279549718574108,1.5811388300841898
42,random,28,336,271,0.34566326530612246,0.19345238095238093,0.01546904315196998,1.5411035007422442
42,random,29,336,279,0.35586734693877553,0.1696428571428571,0.013204346466541589,1.49071198499986
42,random,30,336,272,0.3469387755102041,0.19047619047619047,0.015469824890556597,1.5411035007422442
42,random,31,336,284,0.3622448979591837,0.15476190476190477,0.011483739837398373,1.4529663145135578
42,random,32,336,279,0.35586734693877553,0.1696428571428571,0.013120700437773606,1.49071198499986
42,random,33,336,276,0.3520408163265306,0.1785714285714286,0.014494996873045654,1.51840559652405
42,random,34,336,275,0.350765306122449,0.18154761904761907,0.014423940949935817,1.51840559652405
42,random,35,336,282,0.3596938775510204,0.1607142857142857,0.011931676047529706,1.4624940645653537
42,random,36,336,281,0.35841836734693877,0.16369047619047616,0.012287367104440276,1.4719601443879746
42,random,37,336,273,0.3482142857142857,0.1875,0.014103510417695272,1.5092308563562362
42,random,38,336,279,0.35586734693877553,0.1696428571428571,0.012479674796747968,1.4766704288891124
42,random,39,336,274,0.3494897959183674,0.18452380952380953,0.01320521049340048,1.49071198499986
42,random,40,336,284,0.3622448979591837,0.15476190476190477,0.011453252032520326,1.4529663145135578
42,random,41,336,274,0.3494897959183674,0.18452380952380953,0.014380863039399623,1.51840559652405
42,random,42,336,272,0.3469387755102041,0.19047619047619047,0.015235303314571607,1.536590742882148
42,random,43,336,271,0.34566326530612246,0.19345238095238093,0.015449499687304564,1.5411035007422442
42,random,44,336,274,0.3494897959183674,0.18452380952380953,0.014615384615384615,1.522972240208089
42,random,45,336,274,0.3494897959183674,0.18452380952380953,0.013365384615384616,1.4953632037438633
42,random,46,336,268,0.34183673469387754,0.20238095238095233,0.01599671669793621,1.5545631755148026
42,random,47,336,275,0.350765306122449,0.18154761904761907,0.014146341463414636,1.513825177048746
42,random,48,336,273,0.3482142857142857,0.1875,0.0149906191369606,1.532064692570853
42,random,49,336,282,0.3596938775510204,0.1607142857142857,0.012917448405253282,1.4860462083439174
42,random,50,336,275,0.350765306122449,0.18154761904761907,0.014199499687304567,1.513825177048746
42,random,51,336,280,0.35714285714285715,0.16666666666666663,0.01197467166979362,1.4624940645653537
42,random,52,336,273,0.3482142857142857,0.1875,0.014281582238899313,1.513825177048746
42,random,53,336,280,0.35714285714285715,0.16666666666666663,0.013536585365853658,1.5000000000000002
42,random,54,336,273,0.3482142857142857,0.1875,0.014167448405253283,1.513825177048746
42,random,55,336,275,0.350765306122449,0.18154761904761907,0.014284009742931435,1.513825177048746
42,random,56,336,275,0.350765306122449,0.18154761904761907,0.013932926829268293,1.5092308563562362
42,random,57,336,271,0.34566326530612246,0.19345238095238093,0.015236085053158223,1.536590742882148
42,random,58,336,281,0.35841836734693877,0.16369047619047616,0.01236944965603502,1.4719601443879746
42,random,59,336,271,0.34566326530612246,0.19345238095238093,0.015490931832395248,1.5411035007422442
42,random,60,336,278,0.35459183673469385,0.17261904761904767,0.012735303314571607,1.481365736219265
42,random,61,336,287,0.36607142857142855,0.14583333333333337,0.011738586616635398,1.4577379737113252
42,random,62,336,266,0.3392857142857143,0.20833333333333337,0.016762038774233896,1.5679073101855652
42,random,63,336,269,0.34311224489795916,0.19940476190476186,0.019114454757907903,1.6158932858054431
42,random,64,336,270,0.34438775510204084,0.1964285714285714,0.015127505677890788,1.532064692570853
42,random,65,336,275,0.350765306122449,0.18154761904761907,0.0143528027385537,1.51840559652405
42,random,66,336,292,0.37244897959183676,0.13095238095238093,0.010052376485303315,1.4191155304938667
42,random,67,336,277,0.35331632653061223,0.17559523809523814,0.014412132582864291,1.51840559652405
42,random,68,336,278,0.35459183673469385,0.17261904761904767,0.013805585727922055,1.5046225071056492
42,random,69,336,278,0.35459183673469385,0.17261904761904767,0.013130081300813008,1.49071198499986
42,random,70,336,276,0.3520408163265306,0.1785714285714286,0.014860068792995621,1.5275252316519465
42,random,71,336,272,0.3469387755102041,0.19047619047619047,0.014657598499061916,1.522972240208089
42,random,72,336,278,0.35459183673469385,0.17261904761904767,0.012886178861788618,1.4860462083439174
42,random,73,336,275,0.350765306122449,0.18154761904761907,0.01593973206938547,1.5500896031448563
42,random,74,336,284,0.3622448979591837,0.15476190476190477,0.011932457786116324,1.4624940645653537
42,random,75,336,275,0.350765306122449,0.18154761904761907,0.014818636647904941,1.5275252316519465
42,random,76,336,274,0.3494897959183674,0.18452380952380953,0.014969512195121952,1.532064692570853
42,random,77,336,268,0.34183673469387754,0.20238095238095233,0.01582473420888055,1.5500896031448566
42,random,78,336,275,0.350765306122449,0.18154761904761907,0.014473108192620387,1.51840559652405
42,random,79,336,289,0.36862244897959184,0.13988095238095233,0.010651188242651658,1.4337208778404378
42,random,80,336,275,0.350765306122449,0.18154761904761907,0.014573952470293933,1.522972240208089
42,random,81,336,282,0.3596938775510204,0.1607142857142857,0.011891025641025642,1.4624940645653537
42,random,82,336,278,0.35459183673469385,0.17261904761904767,0.013212945590994372,1.49071198499986
42,random,83,336,271,0.34566326530612246,0.19345238095238093,0.01504377736085053,1.532064692570853
42,random,84,336,273,0.3482142857142857,0.1875,0.015183708567854908,1.536590742882148
42,random,85,336,274,0.3494897959183674,0.18452380952380953,0.013975140712945592,1.5092308563562362
42,random,86,336,279,0.35586734693877553,0.1696428571428571,0.013162914321450907,1.49071198499986
42,random,87,336,279,0.35586734693877553,0.1696428571428571,0.011901188242651656,1.4624940645653537
42,random,88,336,284,0.3622448979591837,0.15476190476190477,0.012115384615384615,1.4672347384715843
42,random,89,336,269,0.34311224489795916,0.19940476190476186,0.016657285803627266,1.5679073101855652
42,random,90,336,281,0.35841836734693877,0.16369047619047616,0.011728424015009379,1.4577379737113252
42,random,91,336,267,0.3405612244897959,0.2053571428571429,0.016593347816069255,1.5634719199411433
42,random,92,336,266,0.3392857142857143,0.20833333333333337,0.018141025641025644,1.5986105077709067
42,random,93,336,280,0.35714285714285715,0.16666666666666663,0.013183239524702938,1.49071198499986
42,random,94,336,279,0.35586734693877553,0.1696428571428571,0.012360932819854514,1.4719601443879746
42,random,95,336,281,0.35841836734693877,0.16369047619047616,0.012307692307692306,1.4719601443879746
42,random,96,336,274,0.3494897959183674,0.18452380952380953,0.014625547217010633,1.522972240208089
42,random,97,336,276,0.3520408163265306,0.1785714285714286,0.014842952832362333,1.5275252316519465
