target_root_id,session,scan_idx,replicate,method,nmse,n_features,n_available
864691135060651419,9,4,5,ridge_all,0.844462613762,13,13
864691135060651419,9,4,5,ridge_raw,0.857216916107,13,13
864691135060651419,9,4,5,training_mean,1,0,13
864691135060651419,9,4,5,training_reliability_ge_0,0.844462613762,13,13
864691135060651419,9,4,5,training_reliability_ge_0.1,0.910371929491,12,13
864691135060651419,9,4,5,training_reliability_ge_0.2,0.957134563615,8,13
864691135060651419,9,4,6,keep_0.25,0.943109860356,3,13
864691135060651419,9,4,6,keep_0.5,0.912455692785,6,13
864691135060651419,9,4,6,keep_0.75,0.878138572694,10,13
864691135060651419,9,4,6,manual_only,0.877792436311,5,13
864691135060651419,9,4,6,noise_0.25,0.816263142377,13,13
864691135060651419,9,4,6,noise_0.5,0.849062456616,13,13
864691135060651419,9,4,6,noise_1,0.885248022706,13,13
864691135060651419,9,4,6,ols_all,0.839023410999,13,13
864691135060651419,9,4,6,ridge_all,0.835405954222,13,13
864691135060651419,9,4,6,ridge_raw,0.856977411987,13,13
864691135060651419,9,4,6,training_mean,1,0,13
864691135060651419,9,4,6,training_reliability_ge_0,0.856334005319,13,13
864691135060651419,9,4,6,training_reliability_ge_0.1,0.876398643086,11,13
864691135060651419,9,4,6,training_reliability_ge_0.2,0.979435611179,6,13
864691135060651419,9,4,7,keep_0.25,0.953160342576,3,13
864691135060651419,9,4,7,keep_0.5,0.845659278889,6,13
864691135060651419,9,4,7,keep_0.75,0.734030254883,10,13
864691135060651419,9,4,7,manual_only,0.867768110572,5,13
864691135060651419,9,4,7,noise_0.25,0.711053330167,13,13
864691135060651419,9,4,7,noise_0.5,0.741119003128,13,13
864691135060651419,9,4,7,noise_1,0.845970864295,13,13
864691135060651419,9,4,7,ols_all,0.692178933841,13,13
864691135060651419,9,4,7,ridge_all,0.702695659079,13,13
864691135060651419,9,4,7,ridge_raw,0.713258485546,13,13
864691135060651419,9,4,7,training_mean,1,0,13
864691135060651419,9,4,7,training_reliability_ge_0,0.702695659079,13,13
864691135060651419,9,4,7,training_reliability_ge_0.1,0.804492791161,11,13
864691135060651419,9,4,7,training_reliability_ge_0.2,0.961660628161,5,13
864691135060651419,9,4,8,keep_0.25,0.965095882666,3,13
864691135060651419,9,4,8,keep_0.5,0.972215123891,6,13
864691135060651419,9,4,8,keep_0.75,1.03179828316,10,13
864691135060651419,9,4,8,manual_only,0.91738827505,5,13
864691135060651419,9,4,8,noise_0.25,0.991391901592,13,13
864691135060651419,9,4,8,noise_0.5,1.0072647843,13,13
864691135060651419,9,4,8,noise_1,0.963445855748,13,13
864691135060651419,9,4,8,ols_all,1.04058405469,13,13
864691135060651419,9,4,8,ridge_all,1.0023715893,13,13
864691135060651419,9,4,8,ridge_raw,1.04805456766,13,13
864691135060651419,9,4,8,training_mean,1,0,13
864691135060651419,9,4,8,training_reliability_ge_0,1.0023715893,13,13
864691135060651419,9,4,8,training_reliability_ge_0.1,1.00666255356,11,13
864691135060651419,9,4,8,training_reliability_ge_0.2,1.00482924737,6,13
864691135060651419,9,4,9,keep_0.25,0.93326605707,3,13
864691135060651419,9,4,9,keep_0.5,0.887091753862,6,13
864691135060651419,9,4,9,keep_0.75,0.847974425885,10,13
864691135060651419,9,4,9,manual_only,1.00858956871,5,13
864691135060651419,9,4,9,noise_0.25,0.82024506301,13,13
864691135060651419,9,4,9,noise_0.5,0.866505711876,13,13
864691135060651419,9,4,9,noise_1,0.980149341827,13,13
864691135060651419,9,4,9,ols_all,0.905256420724,13,13
864691135060651419,9,4,9,ridge_all,0.792624741952,13,13
864691135060651419,9,4,9,ridge_raw,0.799098818889,13,13
864691135060651419,9,4,9,training_mean,1,0,13
864691135060651419,9,4,9,training_reliability_ge_0,0.792624741952,13,13
864691135060651419,9,4,9,training_reliability_ge_0.1,0.844043672914,11,13
864691135060651419,9,4,9,training_reliability_ge_0.2,0.949716217306,8,13
864691135196576298,7,3,0,keep_0.25,1.06899089765,2,9
864691135196576298,7,3,0,keep_0.5,1.01434727422,4,9
864691135196576298,7,3,0,keep_0.75,0.991560468368,7,9
864691135196576298,7,3,0,manual_only,0.88175772749,3,9
864691135196576298,7,3,0,noise_0.25,0.934892120723,9,9
864691135196576298,7,3,0,noise_0.5,0.923439040363,9,9
864691135196576298,7,3,0,noise_1,0.995785772739,9,9
864691135196576298,7,3,0,ols_all,0.919349788552,9,9
864691135196576298,7,3,0,ridge_all,0.907204916173,9,9
864691135196576298,7,3,0,ridge_raw,0.877219061838,9,9
864691135196576298,7,3,0,training_mean,1,0,9
864691135196576298,7,3,0,training_reliability_ge_0,0.934789256336,8,9
864691135196576298,7,3,0,training_reliability_ge_0.1,0.942268253872,7,9
864691135196576298,7,3,0,training_reliability_ge_0.2,0.848456534319,5,9
864691135196576298,7,3,1,keep_0.25,0.842497440807,2,9
864691135196576298,7,3,1,keep_0.5,0.766083350047,4,9
864691135196576298,7,3,1,keep_0.75,0.691764501714,7,9
864691135196576298,7,3,1,manual_only,0.941222875583,3,9
864691135196576298,7,3,1,noise_0.25,0.726651981681,9,9
864691135196576298,7,3,1,noise_0.5,0.744915500242,9,9
864691135196576298,7,3,1,noise_1,0.798002130686,9,9
864691135196576298,7,3,1,ols_all,0.63757395319,9,9
864691135196576298,7,3,1,ridge_all,0.719715485089,9,9
