dataset,network_type,rule_variant,error_broadcast_mode,decoder_update_mode,dynamics_mode,lr,decoder_lr,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
mnist,dendritic_shunting,3f,per_soma,local,auto,0.0008,0.0015,0.8966944416364034,0.011479835051958254,0.8989666700363159,0.011300587543331455,-0.34076199928919476,0.032777427181596736
mnist,dendritic_shunting,3f,per_soma,local,auto,0.003,0.0015,0.8966944416364034,0.011479835051958254,0.8989666700363159,0.011300587543331455,-0.34076199928919476,0.032777427181596736
mnist,dendritic_shunting,3f,per_soma,local,auto,0.0015,0.0015,0.8966944416364034,0.011479835051958254,0.8989666700363159,0.011300587543331455,-0.34076199928919476,0.032777427181596736
mnist,dendritic_shunting,4f,per_soma,backprop,auto,0.0008,0.0015,0.8963333169619242,0.01382355440447295,0.898366649945577,0.014860109995299417,-0.34683382511138916,0.04552279029347645
mnist,dendritic_shunting,4f,per_soma,backprop,auto,0.0015,0.0015,0.8963333169619242,0.01382355440447295,0.898366649945577,0.014860109995299417,-0.34683382511138916,0.04552279029347645
mnist,dendritic_shunting,4f,per_soma,backprop,auto,0.003,0.0015,0.8963333169619242,0.01382355440447295,0.898366649945577,0.014860109995299417,-0.34683382511138916,0.04552279029347645
mnist,dendritic_additive,5f,per_soma,backprop,auto,0.003,0.0015,0.8929166595141093,0.003031078156827621,0.9000333150227865,0.0009504174789993089,-0.3573796550432841,0.016651200674809078
mnist,dendritic_additive,5f,per_soma,backprop,auto,0.0008,0.0015,0.8929166595141093,0.003031078156827621,0.9000333150227865,0.0009504174789993089,-0.3573796550432841,0.016651200674809078
mnist,dendritic_additive,5f,per_soma,backprop,auto,0.0015,0.0015,0.8929166595141093,0.003031078156827621,0.9000333150227865,0.0009504174789993089,-0.3573796550432841,0.016651200674809078
mnist,dendritic_additive,5f,per_soma,local,auto,0.0015,0.0015,0.8911110957463583,0.0030119434834960128,0.8937999606132507,0.007313694082745019,-0.3649636209011078,0.012110089112194421
mnist,dendritic_additive,5f,per_soma,local,auto,0.0008,0.0015,0.8911110957463583,0.0030119434834960128,0.8937999606132507,0.007313694082745019,-0.3649636209011078,0.012110089112194421
mnist,dendritic_additive,5f,per_soma,local,auto,0.003,0.0015,0.8911110957463583,0.0030119434834960128,0.8937999606132507,0.007313694082745019,-0.3649636209011078,0.012110089112194421
mnist,dendritic_additive,4f,per_soma,local,auto,0.0015,0.0015,0.8891666332880656,0.0047573087676524035,0.8973999619483948,0.0057262593529245525,-0.3615453739960988,0.019586683036229402
mnist,dendritic_additive,4f,per_soma,local,auto,0.003,0.0015,0.8891666332880656,0.0047573087676524035,0.8973999619483948,0.0057262593529245525,-0.3615453739960988,0.019586683036229402
mnist,dendritic_additive,4f,per_soma,local,auto,0.0008,0.0015,0.8891666332880656,0.0047573087676524035,0.8973999619483948,0.0057262593529245525,-0.3615453739960988,0.019586683036229402
mnist,dendritic_additive,4f,per_soma,backprop,auto,0.0015,0.0015,0.8858333230018616,0.0026783715055153676,0.8927666346232096,0.0021031641178673364,-0.37975427508354187,0.01355203907344924
mnist,dendritic_additive,4f,per_soma,backprop,auto,0.003,0.0015,0.8858333230018616,0.0026783715055153676,0.8927666346232096,0.0021031641178673364,-0.37975427508354187,0.01355203907344924
mnist,dendritic_additive,4f,per_soma,backprop,auto,0.0008,0.0015,0.8858333230018616,0.0026783715055153676,0.8927666346232096,0.0021031641178673364,-0.37975427508354187,0.01355203907344924
mnist,dendritic_additive,3f,per_soma,backprop,auto,0.0015,0.0015,0.876111110051473,0.009002449837161032,0.8808333079020182,0.010206028333097346,-0.4137758215268453,0.02721478210806519
mnist,dendritic_additive,3f,per_soma,backprop,auto,0.0008,0.0015,0.876111110051473,0.009002449837161017,0.8808333079020182,0.010206028333097361,-0.4137758215268453,0.027214782108065185
mnist,dendritic_additive,3f,per_soma,backprop,auto,0.003,0.0015,0.876111110051473,0.009002449837161032,0.8808333079020182,0.010206028333097346,-0.4137758215268453,0.02721478210806519
mnist,dendritic_additive,3f,per_soma,local,auto,0.003,0.0015,0.8711666464805603,0.014716983974513405,0.8761333028475443,0.015097770728481093,-0.42670561869939166,0.05273081167915813
mnist,dendritic_additive,3f,per_soma,local,auto,0.0008,0.0015,0.8711666464805603,0.014716983974513405,0.8761333028475443,0.015097770728481093,-0.42670561869939166,0.05273081167915813
